molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL566757,O=C(/C=C/c1cccnc1)NCCCCC1CCN(C(=O)c2ccccc2)CC1,IC50,14800.0,nM,4.83,,CHEMBL1763209,9,CHEMBL1744525,CHEMBL1759927,8dsd,P43490
CHEMBL566757,O=C(/C=C/c1cccnc1)NCCCCC1CCN(C(=O)c2ccccc2)CC1,IC50,14800.0,nM,4.83,,CHEMBL1763209,9,CHEMBL1744525,CHEMBL1759927,8dsd,P43490
CHEMBL566757,O=C(/C=C/c1cccnc1)NCCCCC1CCN(C(=O)c2ccccc2)CC1,IC50,14800.0,nM,4.83,,CHEMBL1763209,9,CHEMBL1744525,CHEMBL1759927,8dsd,P43490
CHEMBL566757,O=C(/C=C/c1cccnc1)NCCCCC1CCN(C(=O)c2ccccc2)CC1,IC50,14800.0,nM,4.83,,CHEMBL1763209,9,CHEMBL1744525,CHEMBL1759927,8dsd,P43490
CHEMBL566757,O=C(/C=C/c1cccnc1)NCCCCC1CCN(C(=O)c2ccccc2)CC1,IC50,14800.0,nM,4.83,,CHEMBL1763209,9,CHEMBL1744525,CHEMBL1759927,8dsd,P43490
CHEMBL566757,O=C(/C=C/c1cccnc1)NCCCCC1CCN(C(=O)c2ccccc2)CC1,IC50,14800.0,nM,4.83,,CHEMBL1763209,9,CHEMBL1744525,CHEMBL1759927,8dsd,P43490
CHEMBL566757,O=C(/C=C/c1cccnc1)NCCCCC1CCN(C(=O)c2ccccc2)CC1,IC50,14800.0,nM,4.83,,CHEMBL1763209,9,CHEMBL1744525,CHEMBL1759927,8dsd,P43490
CHEMBL566757,O=C(/C=C/c1cccnc1)NCCCCC1CCN(C(=O)c2ccccc2)CC1,IC50,14800.0,nM,4.83,,CHEMBL1763209,9,CHEMBL1744525,CHEMBL1759927,8dsd,P43490
CHEMBL566757,O=C(/C=C/c1cccnc1)NCCCCC1CCN(C(=O)c2ccccc2)CC1,IC50,14800.0,nM,4.83,,CHEMBL1763209,9,CHEMBL1744525,CHEMBL1759927,8dsd,P43490
CHEMBL566757,O=C(/C=C/c1cccnc1)NCCCCC1CCN(C(=O)c2ccccc2)CC1,IC50,14800.0,nM,4.83,,CHEMBL1763209,9,CHEMBL1744525,CHEMBL1759927,8dsd,P43490
CHEMBL566757,O=C(/C=C/c1cccnc1)NCCCCC1CCN(C(=O)c2ccccc2)CC1,IC50,14800.0,nM,4.83,,CHEMBL1763209,9,CHEMBL1744525,CHEMBL1759927,8dsd,P43490
CHEMBL566757,O=C(/C=C/c1cccnc1)NCCCCC1CCN(C(=O)c2ccccc2)CC1,IC50,14800.0,nM,4.83,,CHEMBL1763209,9,CHEMBL1744525,CHEMBL1759927,8dsd,P43490
CHEMBL566757,O=C(/C=C/c1cccnc1)NCCCCC1CCN(C(=O)c2ccccc2)CC1,IC50,14800.0,nM,4.83,,CHEMBL1763209,9,CHEMBL1744525,CHEMBL1759927,8dsd,P43490
CHEMBL566757,O=C(/C=C/c1cccnc1)NCCCCC1CCN(C(=O)c2ccccc2)CC1,IC50,14800.0,nM,4.83,,CHEMBL1763209,9,CHEMBL1744525,CHEMBL1759927,8dsd,P43490
CHEMBL566757,O=C(/C=C/c1cccnc1)NCCCCC1CCN(C(=O)c2ccccc2)CC1,IC50,14800.0,nM,4.83,,CHEMBL1763209,9,CHEMBL1744525,CHEMBL1759927,8dsd,P43490
CHEMBL566757,O=C(/C=C/c1cccnc1)NCCCCC1CCN(C(=O)c2ccccc2)CC1,IC50,14800.0,nM,4.83,,CHEMBL1763209,9,CHEMBL1744525,CHEMBL1759927,8dsd,P43490
CHEMBL566757,O=C(/C=C/c1cccnc1)NCCCCC1CCN(C(=O)c2ccccc2)CC1,IC50,14800.0,nM,4.83,,CHEMBL1763209,9,CHEMBL1744525,CHEMBL1759927,8dsd,P43490
CHEMBL566757,O=C(/C=C/c1cccnc1)NCCCCC1CCN(C(=O)c2ccccc2)CC1,IC50,14800.0,nM,4.83,,CHEMBL1763209,9,CHEMBL1744525,CHEMBL1759927,8dsd,P43490
CHEMBL566757,O=C(/C=C/c1cccnc1)NCCCCC1CCN(C(=O)c2ccccc2)CC1,IC50,14800.0,nM,4.83,,CHEMBL1763209,9,CHEMBL1744525,CHEMBL1759927,8dsd,P43490
CHEMBL566757,O=C(/C=C/c1cccnc1)NCCCCC1CCN(C(=O)c2ccccc2)CC1,IC50,14800.0,nM,4.83,,CHEMBL1763209,9,CHEMBL1744525,CHEMBL1759927,8dsd,P43490
CHEMBL566757,O=C(/C=C/c1cccnc1)NCCCCC1CCN(C(=O)c2ccccc2)CC1,IC50,14800.0,nM,4.83,,CHEMBL1763209,9,CHEMBL1744525,CHEMBL1759927,8dsd,P43490
CHEMBL566757,O=C(/C=C/c1cccnc1)NCCCCC1CCN(C(=O)c2ccccc2)CC1,IC50,14800.0,nM,4.83,,CHEMBL1763209,9,CHEMBL1744525,CHEMBL1759927,8dsd,P43490
CHEMBL566757,O=C(/C=C/c1cccnc1)NCCCCC1CCN(C(=O)c2ccccc2)CC1,IC50,14800.0,nM,4.83,,CHEMBL1763209,9,CHEMBL1744525,CHEMBL1759927,8dsd,P43490
CHEMBL566757,O=C(/C=C/c1cccnc1)NCCCCC1CCN(C(=O)c2ccccc2)CC1,IC50,14800.0,nM,4.83,,CHEMBL1763209,9,CHEMBL1744525,CHEMBL1759927,8dsd,P43490
CHEMBL566757,O=C(/C=C/c1cccnc1)NCCCCC1CCN(C(=O)c2ccccc2)CC1,IC50,14800.0,nM,4.83,,CHEMBL1763209,9,CHEMBL1744525,CHEMBL1759927,8dsd,P43490
CHEMBL566757,O=C(/C=C/c1cccnc1)NCCCCC1CCN(C(=O)c2ccccc2)CC1,IC50,14800.0,nM,4.83,,CHEMBL1763209,9,CHEMBL1744525,CHEMBL1759927,8dsd,P43490
CHEMBL566757,O=C(/C=C/c1cccnc1)NCCCCC1CCN(C(=O)c2ccccc2)CC1,IC50,14800.0,nM,4.83,,CHEMBL1763209,9,CHEMBL1744525,CHEMBL1759927,8dsd,P43490
CHEMBL566757,O=C(/C=C/c1cccnc1)NCCCCC1CCN(C(=O)c2ccccc2)CC1,IC50,14800.0,nM,4.83,,CHEMBL1763209,9,CHEMBL1744525,CHEMBL1759927,8dsd,P43490
CHEMBL566757,O=C(/C=C/c1cccnc1)NCCCCC1CCN(C(=O)c2ccccc2)CC1,IC50,14800.0,nM,4.83,,CHEMBL1763209,9,CHEMBL1744525,CHEMBL1759927,8dsd,P43490
CHEMBL566757,O=C(/C=C/c1cccnc1)NCCCCC1CCN(C(=O)c2ccccc2)CC1,IC50,14800.0,nM,4.83,,CHEMBL1763209,9,CHEMBL1744525,CHEMBL1759927,8dsd,P43490
CHEMBL1762233,O=C(/C=C/c1ccc[nH]1)NCCCCC1CCN(C(=O)c2ccccc2)CC1,IC50,20300.0,nM,4.69,,CHEMBL1763209,9,CHEMBL1744525,CHEMBL1759927,8dsd,P43490
CHEMBL1801562,CC(C)=CCN(Cc1ccccc1Cl)c1ccc(C(=O)NCc2cccnc2)cc1,IC50,1.9,nM,8.72,,CHEMBL1805766,8,CHEMBL1744525,CHEMBL1800028,8dsd,P43490
CHEMBL1801561,O=C(NCc1cccnc1)c1ccc(N(Cc2ccccc2Cl)CC2CC2)cc1,IC50,1.3,nM,8.89,,CHEMBL1805766,8,CHEMBL1744525,CHEMBL1800028,8dsd,P43490
CHEMBL1801560,C#CCN(Cc1ccccc1Cl)c1ccc(C(=O)NCc2cccnc2)cc1,IC50,4.2,nM,8.38,,CHEMBL1805766,8,CHEMBL1744525,CHEMBL1800028,8dsd,P43490
CHEMBL1801559,CC(C)CCN(Cc1ccccc1Cl)c1ccc(C(=O)NCc2cccnc2)cc1,IC50,6.1,nM,8.21,,CHEMBL1805766,8,CHEMBL1744525,CHEMBL1800028,8dsd,P43490
CHEMBL1801558,CC(C)CN(Cc1ccccc1Cl)c1ccc(C(=O)NCc2cccnc2)cc1,IC50,420.0,nM,6.38,,CHEMBL1805766,8,CHEMBL1744525,CHEMBL1800028,8dsd,P43490
CHEMBL1801557,CCCCN(Cc1ccccc1Cl)c1ccc(C(=O)NCc2cccnc2)cc1,IC50,10000.0,nM,,,CHEMBL1805766,8,CHEMBL1744525,CHEMBL1800028,8dsd,P43490
CHEMBL1801556,CCCN(Cc1ccccc1Cl)c1ccc(C(=O)NCc2cccnc2)cc1,IC50,15.0,nM,7.82,,CHEMBL1805766,8,CHEMBL1744525,CHEMBL1800028,8dsd,P43490
CHEMBL1801555,CCN(Cc1ccccc1Cl)c1ccc(C(=O)NCc2cccnc2)cc1,IC50,330.0,nM,6.48,,CHEMBL1805766,8,CHEMBL1744525,CHEMBL1800028,8dsd,P43490
CHEMBL1801554,CN(Cc1ccccc1Cl)c1ccc(C(=O)NCc2cccnc2)cc1,IC50,10000.0,nM,,,CHEMBL1805766,8,CHEMBL1744525,CHEMBL1800028,8dsd,P43490
CHEMBL1801553,CC(C)=CCN(Cc1ccc2nc(C)n(C)c(=O)c2c1)c1ccc(C(=O)NCc2nc3ccccc3[nH]2)cc1,IC50,31.0,nM,7.51,,CHEMBL1805766,8,CHEMBL1744525,CHEMBL1800028,8dsd,P43490
CHEMBL1801552,CC(C)=CCN(Cc1ccc2nc(C)n(C)c(=O)c2c1)c1ccc(C(=O)NCc2cccnc2)cc1,IC50,1.4,nM,8.85,,CHEMBL1805766,8,CHEMBL1744525,CHEMBL1800028,8dsd,P43490
CHEMBL1801551,C#CCN(Cc1ccc2nc(C)n(C)c(=O)c2c1)c1ccc(C(=O)NCc2cccc(F)c2)cc1,IC50,250.0,nM,6.6,,CHEMBL1805766,8,CHEMBL1744525,CHEMBL1800028,8dsd,P43490
CHEMBL1801550,C#CCN(Cc1ccc2nc(C)n(C)c(=O)c2c1)c1ccc(C(=O)NCc2ccc(F)c(F)c2)cc1,IC50,30.0,nM,7.52,,CHEMBL1805766,8,CHEMBL1744525,CHEMBL1800028,8dsd,P43490
CHEMBL1801549,C#CCN(Cc1ccc2nc(C)n(C)c(=O)c2c1)c1ccc(C(=O)NCc2ccc(Cl)cc2)cc1,IC50,150.0,nM,6.82,,CHEMBL1805766,8,CHEMBL1744525,CHEMBL1800028,8dsd,P43490
CHEMBL1801548,C#CCN(Cc1ccc2nc(C)n(C)c(=O)c2c1)c1ccc(C(=O)NCc2ccc(F)c(F)c2F)cc1,IC50,98.0,nM,7.01,,CHEMBL1805766,8,CHEMBL1744525,CHEMBL1800028,8dsd,P43490
CHEMBL1801547,C#CCN(Cc1ccc2nc(C)n(C)c(=O)c2c1)c1ccc(C(=O)NCc2ccc(F)cc2F)cc1,IC50,49.0,nM,7.31,,CHEMBL1805766,8,CHEMBL1744525,CHEMBL1800028,8dsd,P43490
CHEMBL1801941,C#CCN(Cc1ccc2nc(C)n(C)c(=O)c2c1)c1ccc(C(=O)NCc2ccccc2F)cc1,IC50,34.0,nM,7.47,,CHEMBL1805766,8,CHEMBL1744525,CHEMBL1800028,8dsd,P43490
CHEMBL1801940,C#CCN(Cc1ccc2nc(C)n(C)c(=O)c2c1)c1ccc(C(=O)NCc2ccc3c(c2)OCO3)cc1,IC50,85.0,nM,7.07,,CHEMBL1805766,8,CHEMBL1744525,CHEMBL1800028,8dsd,P43490
CHEMBL1801939,C#CCN(Cc1ccc2nc(C)n(C)c(=O)c2c1)c1ccc(C(=O)NCC2CCCNC2)cc1,IC50,10000.0,nM,,,CHEMBL1805766,8,CHEMBL1744525,CHEMBL1800028,8dsd,P43490
CHEMBL1801938,C#CCN(Cc1ccc2nc(C)n(C)c(=O)c2c1)c1ccc(C(=O)NCc2nc3ccccc3[nH]2)cc1,IC50,130.0,nM,6.89,,CHEMBL1805766,8,CHEMBL1744525,CHEMBL1800028,8dsd,P43490
CHEMBL1801937,C#CCN(Cc1ccc2nc(C)n(C)c(=O)c2c1)c1ccc(C(=O)NCc2cccnc2)cc1,IC50,3.6,nM,8.44,,CHEMBL1805766,8,CHEMBL1744525,CHEMBL1800028,8dsd,P43490
CHEMBL1801936,CC(C)=CCN(Cc1cc2c(=O)n(C)c(C)nc2cc1Cl)c1ccc(C(=O)NCc2nc3ccccc3[nH]2)cc1,IC50,25.0,nM,7.6,,CHEMBL1805766,8,CHEMBL1744525,CHEMBL1800028,8dsd,P43490
CHEMBL1801935,CC(C)=CCN(Cc1cc2c(=O)n(C)c(C)nc2cc1Cl)c1ccc(C(=O)NCc2cccnc2)cc1,IC50,11.0,nM,7.96,,CHEMBL1805766,8,CHEMBL1744525,CHEMBL1800028,8dsd,P43490
CHEMBL1801934,C#CCN(Cc1cc2c(=O)n(C)c(C)nc2cc1Cl)c1ccc(C(=O)NCc2cccnc2)cc1,IC50,0.55,nM,9.26,,CHEMBL1805766,8,CHEMBL1744525,CHEMBL1800028,8dsd,P43490
CHEMBL1801933,C#CCN(Cc1cc2c(=O)n(C)c(C)nc2cc1Cl)c1ccc(C(=O)NCc2nc3ccccc3[nH]2)cc1,IC50,40.0,nM,7.4,,CHEMBL1805766,8,CHEMBL1744525,CHEMBL1800028,8dsd,P43490
CHEMBL123756,C#CCN(Cc1cc2c(=O)n(C)c(CN3CCN(C)CC3)nc2cc1Cl)c1ccc(C(=O)NCc2cccnc2)cc1,IC50,0.31,nM,9.51,,CHEMBL1805766,8,CHEMBL1744525,CHEMBL1800028,8dsd,P43490
CHEMBL1801563,C/C=C/CN(Cc1ccccc1Cl)c1ccc(C(=O)NCc2cccnc2)cc1,IC50,1.5,nM,8.82,,CHEMBL1805766,8,CHEMBL1744525,CHEMBL1800028,8dsd,P43490
CHEMBL1801564,O=C(NCc1cccnc1)c1ccc(N(Cc2ccccc2)Cc2ccccc2Cl)cc1,IC50,110.0,nM,6.96,,CHEMBL1805766,8,CHEMBL1744525,CHEMBL1800028,8dsd,P43490
CHEMBL1801565,C#CCN(Cc1ccc2ncn(C)c(=O)c2c1)c1ccc(C(=O)NCc2cccnc2)cc1,IC50,12.0,nM,7.92,,CHEMBL1805766,8,CHEMBL1744525,CHEMBL1800028,8dsd,P43490
CHEMBL1801566,CC(C)=CCN(Cc1ccc2ncn(C)c(=O)c2c1)c1ccc(C(=O)NCc2cccnc2)cc1,IC50,1.2,nM,8.92,,CHEMBL1805766,8,CHEMBL1744525,CHEMBL1800028,8dsd,P43490
CHEMBL1801567,CC(C)=CCN(Cc1cc2c(=O)n(C)cnc2cc1Cl)c1ccc(C(=O)NCc2cccnc2)cc1,IC50,2.6,nM,8.59,,CHEMBL1805766,8,CHEMBL1744525,CHEMBL1800028,8dsd,P43490
CHEMBL1801568,Cn1cnc2cc(Cl)c(CN(CC3CC3)c3ccc(C(=O)NCc4cccnc4)cc3)cc2c1=O,IC50,13.0,nM,7.89,,CHEMBL1805766,8,CHEMBL1744525,CHEMBL1800028,8dsd,P43490
CHEMBL1801569,Cn1cnc2cc(Cl)c(CN(CC(N)=O)c3ccc(C(=O)NCc4cccnc4)cc3)cc2c1=O,IC50,56.0,nM,7.25,,CHEMBL1805766,8,CHEMBL1744525,CHEMBL1800028,8dsd,P43490
CHEMBL1801570,C#CCCN(Cc1cc2c(=O)n(C)cnc2cc1Cl)c1ccc(C(=O)NCc2cccnc2)cc1,IC50,12.0,nM,7.92,,CHEMBL1805766,8,CHEMBL1744525,CHEMBL1800028,8dsd,P43490
CHEMBL1801571,CC(C)=CC(=O)N(Cc1cc2c(=O)n(C)cnc2cc1Cl)c1ccc(C(=O)NCc2cccnc2)cc1,IC50,660.0,nM,6.18,,CHEMBL1805766,8,CHEMBL1744525,CHEMBL1800028,8dsd,P43490
CHEMBL1801854,Cc1noc(C)c1CN(Cc1ccc2nc(C)n(C)c(=O)c2c1)c1ccc(C(=O)NCc2cccnc2)cc1,IC50,210.0,nM,6.68,,CHEMBL1805766,8,CHEMBL1744525,CHEMBL1800028,8dsd,P43490
CHEMBL1801855,C/C=C/CN(Cc1ccc2nc(C)n(C)c(=O)c2c1)c1ccc(C(=O)NCc2cccnc2)cc1,IC50,2.9,nM,8.54,,CHEMBL1805766,8,CHEMBL1744525,CHEMBL1800028,8dsd,P43490
CHEMBL1801856,C#CCCN(Cc1ccc2nc(C)n(C)c(=O)c2c1)c1ccc(C(=O)NCc2cccnc2)cc1,IC50,950.0,nM,6.02,,CHEMBL1805766,8,CHEMBL1744525,CHEMBL1800028,8dsd,P43490
CHEMBL1801857,Cc1nc2ccc(CN(CC3CC3)c3ccc(C(=O)NCc4cccnc4)cc3)cc2c(=O)n1C,IC50,2600.0,nM,5.58,,CHEMBL1805766,8,CHEMBL1744525,CHEMBL1800028,8dsd,P43490
CHEMBL1801858,Cc1nc2ccc(CN(C(=O)C3CC3)c3ccc(C(=O)NCc4cccnc4)cc3)cc2c(=O)n1C,IC50,10000.0,nM,,,CHEMBL1805766,8,CHEMBL1744525,CHEMBL1800028,8dsd,P43490
CHEMBL1801859,CC(C)=CC(=O)N(Cc1ccc2nc(C)n(C)c(=O)c2c1)c1ccc(C(=O)NCc2cccnc2)cc1,IC50,10000.0,nM,,,CHEMBL1805766,8,CHEMBL1744525,CHEMBL1800028,8dsd,P43490
CHEMBL1801860,Cn1cnc2cc(Cl)c(C(=O)Nc3ccc(C(=O)NCc4cccnc4)cc3)cc2c1=O,IC50,12.0,nM,7.92,,CHEMBL1805766,8,CHEMBL1744525,CHEMBL1800028,8dsd,P43490
CHEMBL1801861,Cn1cnc2cc(Cl)c(NCc3ccc(C(=O)NCc4cccnc4)cc3)cc2c1=O,IC50,3.8,nM,8.42,,CHEMBL1805766,8,CHEMBL1744525,CHEMBL1800028,8dsd,P43490
CHEMBL1801862,C#CCN(Cc1cc2c(=O)n(C)c(CO)nc2cc1Cl)c1ccc(C(=O)NCc2cccnc2)cc1,IC50,0.79,nM,9.1,,CHEMBL1805766,8,CHEMBL1744525,CHEMBL1800028,8dsd,P43490
CHEMBL1801863,C#CCN(Cc1cc2c(=O)n(C)c(CN3CCN(CCCN)CC3)nc2cc1Cl)c1ccc(C(=O)NCc2cccnc2)cc1,IC50,0.3,nM,9.52,,CHEMBL1805766,8,CHEMBL1744525,CHEMBL1800028,8dsd,P43490
CHEMBL1801863,C#CCN(Cc1cc2c(=O)n(C)c(CN3CCN(CCCN)CC3)nc2cc1Cl)c1ccc(C(=O)NCc2cccnc2)cc1,IC50,0.3,nM,9.52,,CHEMBL1805766,8,CHEMBL1744525,CHEMBL1800028,8dsd,P43490
CHEMBL1801864,CC(C)=CCN(Cc1cc2c(=O)n(C)nnc2cc1Cl)c1ccc(C(=O)NCc2cccnc2)cc1,IC50,0.45,nM,9.35,,CHEMBL1805766,8,CHEMBL1744525,CHEMBL1800028,8dsd,P43490
CHEMBL1801864,CC(C)=CCN(Cc1cc2c(=O)n(C)nnc2cc1Cl)c1ccc(C(=O)NCc2cccnc2)cc1,IC50,0.45,nM,9.35,,CHEMBL1805766,8,CHEMBL1744525,CHEMBL1800028,8dsd,P43490
CHEMBL1801864,CC(C)=CCN(Cc1cc2c(=O)n(C)nnc2cc1Cl)c1ccc(C(=O)NCc2cccnc2)cc1,IC50,0.45,nM,9.35,,CHEMBL1805766,8,CHEMBL1744525,CHEMBL1800028,8dsd,P43490
CHEMBL1801865,Cc1[nH]c2nc(N)[nH]c(=O)c2c1Sc1ccc(C(=O)NCc2cccnc2)cc1,IC50,2800.0,nM,5.55,,CHEMBL1805766,8,CHEMBL1744525,CHEMBL1800028,8dsd,P43490
CHEMBL1801866,Cc1c(Sc2ccc(C(=O)NCc3cccnc3)cc2)[nH]c2nc(N)nc(N)c12,IC50,1200.0,nM,5.92,,CHEMBL1805766,8,CHEMBL1744525,CHEMBL1800028,8dsd,P43490
CHEMBL1801867,Cc1c(Sc2ccc(C(=O)NCCc3cccnc3)cc2)[nH]c2nc(N)nc(N)c12,IC50,90.0,nM,7.05,,CHEMBL1805766,8,CHEMBL1744525,CHEMBL1800028,8dsd,P43490
CHEMBL1801868,C#CCN(Cc1coc2nc(N)nc(N)c12)c1ccc(C(=O)NCc2cccnc2)cc1,IC50,10000.0,nM,,,CHEMBL1805766,8,CHEMBL1744525,CHEMBL1800028,8dsd,P43490
CHEMBL1801869,Nc1nc(N)c2c(CCc3ccc(C(=O)NCc4cccnc4)cc3)c[nH]c2n1,IC50,600.0,nM,6.22,,CHEMBL1805766,8,CHEMBL1744525,CHEMBL1800028,8dsd,P43490
CHEMBL1801870,Cc1nc2c(c(=O)[nH]1)CN(C(=O)Nc1ccc(C(=O)NCc3cccnc3)cc1)CC2,IC50,29.0,nM,7.54,,CHEMBL1805766,8,CHEMBL1744525,CHEMBL1800028,8dsd,P43490
CHEMBL1801871,Cc1nc2c(c(=O)[nH]1)CN(C(=O)c1ccc(C(=O)NCc3cccnc3)cc1)CC2,IC50,7200.0,nM,5.14,,CHEMBL1805766,8,CHEMBL1744525,CHEMBL1800028,8dsd,P43490
CHEMBL568305,O=C(CCCCCCCn1cc(-c2cccnc2)nn1)Nc1ccccc1-c1ccccc1,IC50,3.0,nM,8.52,,CHEMBL1805767,8,CHEMBL1744525,CHEMBL1800028,8dsd,P43490
CHEMBL2391589,O=C(NCc1cccnc1)Oc1ccc(S(=O)(=O)N2CCCCC2)cc1,IC50,4800.0,nM,5.32,,CHEMBL2395457,9,CHEMBL1744525,CHEMBL2390838,8dsd,P43490
