molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL27869,CC1CCC2(O)C3(OC4(O)C[C@]2(C)C2(O)[C@H](OC(=O)c5ccc[nH]5)C(O)(C(C)C)C4(C)C32O)[C@@H]1OC(=O)CCN=C(NC(=O)OCc1ccccc1)NC(=O)OCc1ccccc1,IC50,43.6,nM,7.36,,CHEMBL802440,9,CHEMBL3288,CHEMBL1127062,8dtb,P11716
CHEMBL432278,CNC(=O)CCC(=O)O[C@@H]1C(C)CCC2(O)C13OC1(O)C[C@]2(C)C2(O)[C@H](OC(=O)c4ccc[nH]4)C(O)(C(C)C)C1(C)C32O,IC50,49.4,nM,7.31,,CHEMBL802440,9,CHEMBL3288,CHEMBL1127062,8dtb,P11716
CHEMBL283783,C=C1CCC2(O)C3(OC4(O)C[C@]2(C)C2(O)[C@H](OC(=O)c5ccc[nH]5)C(O)(C(C)C)C4(C)C32O)[C@@H]1O,IC50,1000.0,nM,,,CHEMBL802440,9,CHEMBL3288,CHEMBL1127062,8dtb,P11716
CHEMBL283783,C=C1CCC2(O)C3(OC4(O)C[C@]2(C)C2(O)[C@H](OC(=O)c5ccc[nH]5)C(O)(C(C)C)C4(C)C32O)[C@@H]1O,IC50,1000.0,nM,,,CHEMBL802440,9,CHEMBL3288,CHEMBL1127062,8dtb,P11716
CHEMBL283783,C=C1CCC2(O)C3(OC4(O)C[C@]2(C)C2(O)[C@H](OC(=O)c5ccc[nH]5)C(O)(C(C)C)C4(C)C32O)[C@@H]1O,IC50,1000.0,nM,,,CHEMBL802440,9,CHEMBL3288,CHEMBL1127062,8dtb,P11716
CHEMBL283783,C=C1CCC2(O)C3(OC4(O)C[C@]2(C)C2(O)[C@H](OC(=O)c5ccc[nH]5)C(O)(C(C)C)C4(C)C32O)[C@@H]1O,IC50,10000.0,nM,,,CHEMBL802440,9,CHEMBL3288,CHEMBL1127062,8dtb,P11716
CHEMBL283783,C=C1CCC2(O)C3(OC4(O)C[C@]2(C)C2(O)[C@H](OC(=O)c5ccc[nH]5)C(O)(C(C)C)C4(C)C32O)[C@@H]1O,IC50,10000.0,nM,,,CHEMBL802440,9,CHEMBL3288,CHEMBL1127062,8dtb,P11716
CHEMBL283783,C=C1CCC2(O)C3(OC4(O)C[C@]2(C)C2(O)[C@H](OC(=O)c5ccc[nH]5)C(O)(C(C)C)C4(C)C32O)[C@@H]1O,IC50,10000.0,nM,,,CHEMBL802440,9,CHEMBL3288,CHEMBL1127062,8dtb,P11716
CHEMBL435162,CC1CCC2(O)C3(OC4(O)C[C@]2(C)C2(O)[C@H](OC(=O)c5ccc[nH]5)C(O)(C(C)C)C4(C)C32O)[C@@H]1OC(=O)CCNC(=O)OCc1ccccc1,IC50,5.9,nM,8.23,,CHEMBL802440,9,CHEMBL3288,CHEMBL1127062,8dtb,P11716
CHEMBL283783,C=C1CCC2(O)C3(OC4(O)C[C@]2(C)C2(O)[C@H](OC(=O)c5ccc[nH]5)C(O)(C(C)C)C4(C)C32O)[C@@H]1O,IC50,8.9,nM,8.05,,CHEMBL802440,9,CHEMBL3288,CHEMBL1127062,8dtb,P11716
CHEMBL283783,C=C1CCC2(O)C3(OC4(O)C[C@]2(C)C2(O)[C@H](OC(=O)c5ccc[nH]5)C(O)(C(C)C)C4(C)C32O)[C@@H]1O,IC50,8.9,nM,8.05,,CHEMBL802440,9,CHEMBL3288,CHEMBL1127062,8dtb,P11716
CHEMBL283783,C=C1CCC2(O)C3(OC4(O)C[C@]2(C)C2(O)[C@H](OC(=O)c5ccc[nH]5)C(O)(C(C)C)C4(C)C32O)[C@@H]1O,IC50,8.9,nM,8.05,,CHEMBL802440,9,CHEMBL3288,CHEMBL1127062,8dtb,P11716
CHEMBL27669,CC1CCC2(O)C3(OC4(O)C[C@]2(C)C2(O)[C@H](OC(=O)c5ccc[nH]5)C(O)(C(C)C)C4(C)C32O)[C@@H]1OC(=O)CCN=C(N)N,IC50,1.1,nM,8.96,,CHEMBL802440,9,CHEMBL3288,CHEMBL1127062,8dtb,P11716
CHEMBL283836,CC1CCC2(O)C3(OC4(O)C[C@]2(C)C2(O)[C@H](OC(=O)c5ccc[nH]5)C(O)(C(C)C)C4(C)C32O)[C@@H]1OC(=O)CN,IC50,1.8,nM,8.74,,CHEMBL802440,9,CHEMBL3288,CHEMBL1127062,8dtb,P11716
CHEMBL282089,CC1CCC2(O)C3(OC4(O)C[C@]2(C)C2(O)[C@H](OC(=O)c5ccc[nH]5)C(O)(C(C)C)C4(C)C32O)[C@@H]1OC(=O)CCN,IC50,2.6,nM,8.59,,CHEMBL802440,9,CHEMBL3288,CHEMBL1127062,8dtb,P11716
CHEMBL28383,CC1CCC2(O)C3(OC4(O)C[C@]2(C)C2(O)[C@H](OC(=O)c5ccc[nH]5)C(O)(C(C)C)C4(C)C32O)[C@@H]1OC(=O)CNC(=O)OCc1ccccc1,IC50,4.8,nM,8.32,,CHEMBL802440,9,CHEMBL3288,CHEMBL1127062,8dtb,P11716
CHEMBL1159886,CC1CCC2(O)C3(OC4(O)C[C@]2(C)C2(O)[C@H](OC(=O)c5ccc[nH]5)C(O)(C(C)C)C4(C)C32O)[C@@H]1OC(=O)CCC(=O)O,IC50,1000.0,nM,,,CHEMBL802440,9,CHEMBL3288,CHEMBL1127062,8dtb,P11716
CHEMBL2112186,CC(C)[C@@]1(O)[C@@H](OC(=O)c2cc[nH]c2)[C@@]2(O)[C@]3(C)C[C@@]4(O)O[C@@]5([C@H](O)[C@@H](C)CC[C@]35O)[C@@]2(O)[C@@]41C,IC50,6.2,nM,8.21,,CHEMBL802440,9,CHEMBL3288,CHEMBL1127062,8dtb,P11716
CHEMBL2112186,CC(C)[C@@]1(O)[C@@H](OC(=O)c2cc[nH]c2)[C@@]2(O)[C@]3(C)C[C@@]4(O)O[C@@]5([C@H](O)[C@@H](C)CC[C@]35O)[C@@]2(O)[C@@]41C,IC50,6.2,nM,8.21,,CHEMBL802440,9,CHEMBL3288,CHEMBL1127062,8dtb,P11716
CHEMBL2112186,CC(C)[C@@]1(O)[C@@H](OC(=O)c2cc[nH]c2)[C@@]2(O)[C@]3(C)C[C@@]4(O)O[C@@]5([C@H](O)[C@@H](C)CC[C@]35O)[C@@]2(O)[C@@]41C,IC50,6.2,nM,8.21,,CHEMBL802440,9,CHEMBL3288,CHEMBL1127062,8dtb,P11716
CHEMBL2112186,CC(C)[C@@]1(O)[C@@H](OC(=O)c2cc[nH]c2)[C@@]2(O)[C@]3(C)C[C@@]4(O)O[C@@]5([C@H](O)[C@@H](C)CC[C@]35O)[C@@]2(O)[C@@]41C,IC50,6.2,nM,8.21,,CHEMBL802440,9,CHEMBL3288,CHEMBL1127062,8dtb,P11716
