molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL4860540,CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](N)CSSC[C@@H](C(N)=O)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)CNC1=O,IC50,,,,Not Active,CHEMBL4828408,9,CHEMBL3390822,CHEMBL4825760,8dyh,Q16552
CHEMBL4860540,CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](N)CSSC[C@@H](C(N)=O)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)CNC1=O,IC50,,,,Not Active,CHEMBL4828408,9,CHEMBL3390822,CHEMBL4825760,8dyh,Q16552
CHEMBL4869568,CC[C@H](C)[C@H](NC(C)=O)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCCCN)C(=O)O)[C@@H](C)CC)[C@@H](C)CC)[C@@H](C)O)C(C)C,IC50,70.0,nM,7.16,,CHEMBL4828408,9,CHEMBL3390822,CHEMBL4825760,8dyh,Q16552
CHEMBL4869568,CC[C@H](C)[C@H](NC(C)=O)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCCCN)C(=O)O)[C@@H](C)CC)[C@@H](C)CC)[C@@H](C)O)C(C)C,IC50,70.0,nM,7.16,,CHEMBL4828408,9,CHEMBL3390822,CHEMBL4825760,8dyh,Q16552
CHEMBL4876088,O=C(N[C@H](c1cn2ncc(CN3C[C@@H](C(F)(F)F)NC3=O)cc2n1)C1CCC(F)(F)CC1)c1nonc1C1CC1,IC50,10.1,nM,8.0,,CHEMBL4831440,9,CHEMBL3390822,CHEMBL4828772,8dyh,Q16552
CHEMBL4860250,CC(C)c1nonc1C(=O)N[C@H](c1cn2ncc(CN3C[C@@H](C(F)(F)F)NC3=O)cc2n1)C1CCC(F)(F)CC1,IC50,14.3,nM,7.84,,CHEMBL4831440,9,CHEMBL3390822,CHEMBL4828772,8dyh,Q16552
CHEMBL4866932,O=C(N[C@H](c1cn2ncc(CN3C[C@@H](C(F)(F)F)NC3=O)cc2n1)C1CCC(F)(F)CC1)c1nonc1C(F)(F)F,IC50,10.1,nM,8.0,,CHEMBL4831440,9,CHEMBL3390822,CHEMBL4828772,8dyh,Q16552
CHEMBL4874078,COC[C@H](c1cnn2cc([C@@H](NC(=O)c3conc3C3CC3)C3CCC(F)(F)CC3)nc2c1)N1C[C@@H](C(F)(F)F)NC1=O,IC50,7.0,nM,8.15,,CHEMBL4831440,9,CHEMBL3390822,CHEMBL4828772,8dyh,Q16552
CHEMBL4845695,COC[C@H](c1cnn2cc([C@@H](NC(=O)c3nonc3C(F)F)C3CCC(F)(F)CC3)nc2c1)N1C[C@@H](C(F)(F)F)NC1=O,IC50,2.8,nM,8.55,,CHEMBL4831440,9,CHEMBL3390822,CHEMBL4828772,8dyh,Q16552
CHEMBL4855085,COC[C@H](c1cnn2cc([C@@H](NC(=O)c3nonc3C(F)(F)F)C3CCC(F)(F)CC3)nc2c1)N1C[C@@H](C(F)(F)F)NC1=O,IC50,4.6,nM,8.34,,CHEMBL4831440,9,CHEMBL3390822,CHEMBL4828772,8dyh,Q16552
