molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL21156,CC(C)(C)c1nc2c3ccc(F)cc3c3c(=O)[nH]ccc3c2[nH]1,IC50,940.0,nM,6.03,,CHEMBL678693,8,CHEMBL4142,CHEMBL1135866,8e1x,P21802
CHEMBL169837,COc1cc2nccc(Oc3ccc(Nc4ccc(C(C)(C)C)cc4)cc3F)c2cc1OC,IC50,54.0,nM,7.27,,CHEMBL678691,8,CHEMBL4142,CHEMBL1146677,8e1x,P21802
CHEMBL171413,COc1cc2nccc(Oc3ccc(C(=O)c4ccc(C(C)(C)C)cc4)cc3)c2cc1OC,IC50,190.0,nM,6.72,,CHEMBL678691,8,CHEMBL4142,CHEMBL1146677,8e1x,P21802
CHEMBL354224,COc1cc2c(Oc3ccc(Nc4ccc(C(C)(C)C)cc4)c(F)c3)ccnc2cc1OCCNCCO,IC50,260.0,nM,6.58,,CHEMBL678691,8,CHEMBL4142,CHEMBL1146677,8e1x,P21802
CHEMBL167425,COc1cc2nccc(Oc3ccc(Nc4ccc(C(C)(C)C)cc4)c(C)c3C)c2cc1OC,IC50,130.0,nM,6.89,,CHEMBL678691,8,CHEMBL4142,CHEMBL1146677,8e1x,P21802
CHEMBL354902,COc1cc2c(Oc3ccc(Nc4ccc(C(C)(C)C)cc4)cc3)ccnc2cc1OCCN1CCOCC1,IC50,200.0,nM,6.7,,CHEMBL678691,8,CHEMBL4142,CHEMBL1146677,8e1x,P21802
CHEMBL169854,COc1cc2nccc(Oc3ccc(Nc4ccc(C(C)(C)C)cc4)c(C)c3)c2cc1OC,IC50,100.0,nM,7.0,,CHEMBL678691,8,CHEMBL4142,CHEMBL1146677,8e1x,P21802
CHEMBL171509,COc1cc2c(Oc3ccc(Nc4ccc(C(C)(C)C)cc4)cc3)ccnc2cc1OCCN1CCC(CO)CC1,IC50,23.0,nM,7.64,,CHEMBL678691,8,CHEMBL4142,CHEMBL1146677,8e1x,P21802
CHEMBL352534,COc1cc2nccc(Oc3ccc(NC4CCC(C(C)(C)C)CC4)cc3)c2cc1OC,IC50,3400.0,nM,5.47,,CHEMBL678691,8,CHEMBL4142,CHEMBL1146677,8e1x,P21802
CHEMBL355436,COc1cc2c(Oc3ccc(Nc4ccc(C(C)(C)C)cc4)cc3)ccnc2cc1OCCCN1CCCCC1,IC50,350.0,nM,6.46,,CHEMBL678691,8,CHEMBL4142,CHEMBL1146677,8e1x,P21802
CHEMBL169397,COc1cc2c(Oc3ccc(Nc4ccc(C(C)(C)C)cc4)cc3)ccnc2cc1OCC(O)CN1CCCCC1,IC50,200.0,nM,6.7,,CHEMBL678691,8,CHEMBL4142,CHEMBL1146677,8e1x,P21802
CHEMBL352308,COc1cc2c(Oc3ccc(Nc4ccc(C(C)(C)C)cc4)cc3)ccnc2cc1OCCNCCO,IC50,88.0,nM,7.06,,CHEMBL678691,8,CHEMBL4142,CHEMBL1146677,8e1x,P21802
