molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL78855,CSCC[C@H](NC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)[C@@H](N)CS)C(C)C)C(=O)O,IC50,5200.0,nM,5.28,,CHEMBL681645,6,CHEMBL2095197,CHEMBL1127275,8e9e,Q02293
CHEMBL78855,CSCC[C@H](NC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)[C@@H](N)CS)C(C)C)C(=O)O,IC50,5200.0,nM,5.28,,CHEMBL681645,6,CHEMBL2095197,CHEMBL1127275,8e9e,Q04631
CHEMBL352414,CC(C)[C@H](NC(=O)[C@@H](N)CS)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,IC50,400.0,nM,6.4,,CHEMBL681645,6,CHEMBL2095197,CHEMBL1127275,8e9e,Q02293
CHEMBL352414,CC(C)[C@H](NC(=O)[C@@H](N)CS)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,IC50,400.0,nM,6.4,,CHEMBL681645,6,CHEMBL2095197,CHEMBL1127275,8e9e,Q04631
CHEMBL171783,CSCC[C@H](NC(=O)[C@H](CCc1ccccc1)NC(=O)[C@@H](NC(=O)[C@@H](N)CS)C(C)C)C(=O)O,IC50,120.0,nM,6.92,,CHEMBL681645,6,CHEMBL2095197,CHEMBL1127275,8e9e,Q02293
CHEMBL171783,CSCC[C@H](NC(=O)[C@H](CCc1ccccc1)NC(=O)[C@@H](NC(=O)[C@@H](N)CS)C(C)C)C(=O)O,IC50,120.0,nM,6.92,,CHEMBL681645,6,CHEMBL2095197,CHEMBL1127275,8e9e,Q04631
CHEMBL326131,CSCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](NC(=O)[C@@H](N)CS)C(C)C)C(=O)O,IC50,14.0,nM,7.85,,CHEMBL681645,6,CHEMBL2095197,CHEMBL1127275,8e9e,Q02293
CHEMBL326131,CSCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](NC(=O)[C@@H](N)CS)C(C)C)C(=O)O,IC50,14.0,nM,7.85,,CHEMBL681645,6,CHEMBL2095197,CHEMBL1127275,8e9e,Q04631
CHEMBL289302,CSCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)[C@@H](N)CS)C(C)C)C(=O)O,IC50,37.0,nM,7.43,,CHEMBL681645,6,CHEMBL2095197,CHEMBL1127275,8e9e,Q02293
CHEMBL289302,CSCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)[C@@H](N)CS)C(C)C)C(=O)O,IC50,37.0,nM,7.43,,CHEMBL681645,6,CHEMBL2095197,CHEMBL1127275,8e9e,Q02293
CHEMBL289302,CSCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)[C@@H](N)CS)C(C)C)C(=O)O,IC50,37.0,nM,7.43,,CHEMBL681645,6,CHEMBL2095197,CHEMBL1127275,8e9e,Q04631
CHEMBL289302,CSCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)[C@@H](N)CS)C(C)C)C(=O)O,IC50,37.0,nM,7.43,,CHEMBL681645,6,CHEMBL2095197,CHEMBL1127275,8e9e,Q04631
CHEMBL171168,CSCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)C1(NC(=O)[C@@H](N)CS)CCCCC1)C(=O)O,IC50,1200.0,nM,5.92,,CHEMBL681645,6,CHEMBL2095197,CHEMBL1127275,8e9e,Q02293
CHEMBL171168,CSCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)C1(NC(=O)[C@@H](N)CS)CCCCC1)C(=O)O,IC50,1200.0,nM,5.92,,CHEMBL681645,6,CHEMBL2095197,CHEMBL1127275,8e9e,Q04631
CHEMBL352408,CSCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)C[C@H](N)CS)C(C)C)C(=O)O,IC50,1800.0,nM,5.75,,CHEMBL681645,6,CHEMBL2095197,CHEMBL1127275,8e9e,Q02293
CHEMBL352408,CSCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)C[C@H](N)CS)C(C)C)C(=O)O,IC50,1800.0,nM,5.75,,CHEMBL681645,6,CHEMBL2095197,CHEMBL1127275,8e9e,Q04631
