molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL5416566,CN(C)C(=O)[C@@H](NC(=O)c1ccccc1-c1ccc(C(F)(F)F)cc1)c1cccc(C(F)(F)F)c1,IC50,1200.0,nM,5.92,,CHEMBL5390950,7,CHEMBL5483005,CHEMBL5390216,8ea7,P26718
CHEMBL5395789,CN(C)C(=O)C(NC(=O)c1cccc(-c2ccc(C(F)(F)F)cc2)c1)c1cccc(C(F)(F)F)c1,IC50,20000.0,nM,,,CHEMBL5390950,7,CHEMBL5483005,CHEMBL5390216,8ea7,P26718
CHEMBL5393784,CN(C)C(=O)C(NC(=O)c1ccc(-c2ccc(C(F)(F)F)cc2)cc1)c1cccc(C(F)(F)F)c1,IC50,20000.0,nM,,,CHEMBL5390950,7,CHEMBL5483005,CHEMBL5390216,8ea7,P26718
CHEMBL5400000,CN(C)C(=O)C(NC(=O)c1ccccc1)c1cccc(C(F)(F)F)c1,IC50,20000.0,nM,,,CHEMBL5390950,7,CHEMBL5483005,CHEMBL5390216,8ea7,P26718
CHEMBL5422411,CN(C)C(=O)C(NC(=O)c1ccccc1-c1ccccc1)c1cccc(C(F)(F)F)c1,IC50,20000.0,nM,,,CHEMBL5390950,7,CHEMBL5483005,CHEMBL5390216,8ea7,P26718
CHEMBL5407264,CN(C)C(=O)CNC(=O)c1ccccc1-c1ccc(C(F)(F)F)cc1,IC50,20000.0,nM,,,CHEMBL5390950,7,CHEMBL5483005,CHEMBL5390216,8ea7,P26718
CHEMBL5394046,CN(C)C(=O)C(C)(NC(=O)c1ccccc1-c1ccc(C(F)(F)F)cc1)c1cccc(C(F)(F)F)c1,IC50,20000.0,nM,,,CHEMBL5390950,7,CHEMBL5483005,CHEMBL5390216,8ea7,P26718
CHEMBL5439750,CN(C)C(=O)C(c1cccc(C(F)(F)F)c1)N(C)C(=O)c1ccccc1-c1ccc(C(F)(F)F)cc1,IC50,20000.0,nM,,,CHEMBL5390950,7,CHEMBL5483005,CHEMBL5390216,8ea7,P26718
CHEMBL5405790,CN(C)C(=O)C(NS(=O)(=O)c1ccccc1-c1ccc(C(F)(F)F)cc1)c1cccc(C(F)(F)F)c1,IC50,20000.0,nM,,,CHEMBL5390950,7,CHEMBL5483005,CHEMBL5390216,8ea7,P26718
CHEMBL5405992,O=C(NCc1cccc(C(F)(F)F)c1)c1ccccc1-c1ccc(C(F)(F)F)cc1,IC50,20000.0,nM,,,CHEMBL5390950,7,CHEMBL5483005,CHEMBL5390216,8ea7,P26718
CHEMBL5433799,CN(C)C(=O)C(NC(=O)c1ccccc1-c1ccc(C(F)(F)F)cc1)c1cccc(C(F)(F)F)c1,IC50,2200.0,nM,5.66,,CHEMBL5390950,7,CHEMBL5483005,CHEMBL5390216,8ea7,P26718
CHEMBL5421112,O=C(NC(C(=O)N1CCC1)c1cccc(C(F)(F)F)c1)c1ccccc1-c1ccc(C(F)(F)F)cc1,IC50,3400.0,nM,5.47,,CHEMBL5390950,7,CHEMBL5483005,CHEMBL5390216,8ea7,P26718
CHEMBL5413007,O=C(NC(C(=O)N1CCCC1)c1cccc(C(F)(F)F)c1)c1ccccc1-c1ccc(C(F)(F)F)cc1,IC50,2500.0,nM,5.6,,CHEMBL5390950,7,CHEMBL5483005,CHEMBL5390216,8ea7,P26718
CHEMBL5412456,O=C(N[C@H](C(=O)N1C[C@@H]2[C@@H](CO)[C@@H]2C1)c1cccc(C(F)(F)F)c1)c1ccccc1-c1ccc(C(F)(F)F)cc1,IC50,1100.0,nM,5.96,,CHEMBL5390950,7,CHEMBL5483005,CHEMBL5390216,8ea7,P26718
CHEMBL5405730,O=C(N[C@H](C(=O)N1C[C@@H]2[C@H](CO)[C@@H]2C1)c1cccc(C(F)(F)F)c1)c1ccccc1-c1ccc(C(F)(F)F)cc1,IC50,1600.0,nM,5.8,,CHEMBL5390950,7,CHEMBL5483005,CHEMBL5390216,8ea7,P26718
CHEMBL5439663,O=C(NC(C(=O)N1CC[C@H](CO)C1)c1cccc(C(F)(F)F)c1)c1ccccc1-c1ccc(C(F)(F)F)cc1,IC50,10500.0,nM,4.98,,CHEMBL5390950,7,CHEMBL5483005,CHEMBL5390216,8ea7,P26718
CHEMBL5440208,O=C(NC(C(=O)N1CCC[C@H]1CO)c1cccc(C(F)(F)F)c1)c1ccccc1-c1ccc(C(F)(F)F)cc1,IC50,14500.0,nM,4.84,,CHEMBL5390950,7,CHEMBL5483005,CHEMBL5390216,8ea7,P26718
CHEMBL5393727,O=C(NC(C(=O)N1CCC[C@@H]1CO)c1cccc(C(F)(F)F)c1)c1ccccc1-c1ccc(C(F)(F)F)cc1,IC50,4000.0,nM,5.4,,CHEMBL5390950,7,CHEMBL5483005,CHEMBL5390216,8ea7,P26718
CHEMBL5436985,CC1(C)C[C@H](CO)N(C(=O)C(NC(=O)c2ccccc2-c2ccc(C(F)(F)F)cc2)c2cccc(C(F)(F)F)c2)C1,IC50,20000.0,nM,,,CHEMBL5390950,7,CHEMBL5483005,CHEMBL5390216,8ea7,P26718
CHEMBL5421826,CN(C)C(=O)[C@@H](NC(=O)c1cc(-c2ccnn2C)ccc1-c1ccc(C(F)(F)F)cc1)c1cccc(C(F)(F)F)c1,IC50,300.0,nM,6.52,,CHEMBL5390950,7,CHEMBL5483005,CHEMBL5390216,8ea7,P26718
CHEMBL5428731,Cc1n[nH]c(C)c1-c1ccc(-c2ccc(C(F)(F)F)cc2)c(C(=O)N[C@H](C(=O)N(C)C)c2cccc(C(F)(F)F)c2)c1,IC50,400.0,nM,6.4,,CHEMBL5390950,7,CHEMBL5483005,CHEMBL5390216,8ea7,P26718
CHEMBL5399509,Cc1n[nH]cc1-c1ccc(-c2ccc(C(F)(F)F)cc2)c(C(=O)NC(C(=O)N(C)C)c2cccc(C(F)(F)F)c2)c1,IC50,900.0,nM,6.05,,CHEMBL5390950,7,CHEMBL5483005,CHEMBL5390216,8ea7,P26718
CHEMBL5401653,CN(C)C(=O)C(NC(=O)c1cc(-c2ccnn2C2COC2)ccc1-c1ccc(C(F)(F)F)cc1)c1cccc(C(F)(F)F)c1,IC50,500.0,nM,6.3,,CHEMBL5390950,7,CHEMBL5483005,CHEMBL5390216,8ea7,P26718
CHEMBL5406012,CN(C)C(=O)[C@@H](NC(=O)c1cc(-c2nnnn2C)ccc1-c1ccc(C(F)(F)F)cc1)c1cccc(C(F)(F)F)c1,IC50,900.0,nM,6.05,,CHEMBL5390950,7,CHEMBL5483005,CHEMBL5390216,8ea7,P26718
CHEMBL5406354,CN(C)C(=O)[C@@H](NC(=O)c1cc(-c2nnn[nH]2)ccc1-c1ccc(C(F)(F)F)cc1)c1cccc(C(F)(F)F)c1,IC50,500.0,nM,6.3,,CHEMBL5390950,7,CHEMBL5483005,CHEMBL5390216,8ea7,P26718
CHEMBL5435052,CN(C)C(=O)[C@@H](NC(=O)c1cc(C(=O)NS(C)(=O)=O)ccc1-c1ccc(C(F)(F)F)cc1)c1cccc(C(F)(F)F)c1,IC50,700.0,nM,6.16,,CHEMBL5390950,7,CHEMBL5483005,CHEMBL5390216,8ea7,P26718
CHEMBL5438493,CN(C)C(=O)C(NC(=O)c1cccnc1-c1ccc(C(F)(F)F)cc1)c1cccc(C(F)(F)F)c1,IC50,20000.0,nM,,,CHEMBL5390950,7,CHEMBL5483005,CHEMBL5390216,8ea7,P26718
CHEMBL5407256,CN(C)C(=O)[C@@H](NC(=O)c1ccncc1-c1ccc(C(F)(F)F)cc1)c1cccc(C(F)(F)F)c1,IC50,1600.0,nM,5.8,,CHEMBL5390950,7,CHEMBL5483005,CHEMBL5390216,8ea7,P26718
CHEMBL5434369,CN(C)C(=O)[C@@H](NC(=O)c1cnccc1-c1ccc(C(F)(F)F)cc1)c1cccc(C(F)(F)F)c1,IC50,400.0,nM,6.4,,CHEMBL5390950,7,CHEMBL5483005,CHEMBL5390216,8ea7,P26718
CHEMBL5411788,CN(C)C(=O)[C@@H](NC(=O)c1ncccc1-c1ccc(C(F)(F)F)cc1)c1cccc(C(F)(F)F)c1,IC50,1000.0,nM,6.0,,CHEMBL5390950,7,CHEMBL5483005,CHEMBL5390216,8ea7,P26718
CHEMBL5431428,CN(C)C(=O)C(NC(=O)c1cncnc1-c1ccc(C(F)(F)F)cc1)c1cccc(C(F)(F)F)c1,IC50,20000.0,nM,,,CHEMBL5390950,7,CHEMBL5483005,CHEMBL5390216,8ea7,P26718
CHEMBL5426771,CN(C)C(=O)[C@@H](NC(=O)c1nnccc1-c1ccc(C(F)(F)F)cc1)c1cccc(C(F)(F)F)c1,IC50,400.0,nM,6.4,,CHEMBL5390950,7,CHEMBL5483005,CHEMBL5390216,8ea7,P26718
CHEMBL5440236,CN(C)C(=O)[C@@H](NC(=O)c1ccccc1-c1ccc(C(F)(F)F)cc1)c1ccccc1,IC50,20000.0,nM,,,CHEMBL5390950,7,CHEMBL5483005,CHEMBL5390216,8ea7,P26718
CHEMBL5419966,CN(C)C(=O)[C@@H](NC(=O)c1ccccc1-c1ccc(C(F)(F)F)cc1)c1cccc(C2CC2)c1,IC50,1800.0,nM,5.75,,CHEMBL5390950,7,CHEMBL5483005,CHEMBL5390216,8ea7,P26718
CHEMBL5430627,CN(C)C(=O)[C@@H](NC(=O)c1ccccc1-c1ccc(C(F)(F)F)cc1)c1cccc(N2CC(CC(F)(F)F)C2)c1,IC50,1600.0,nM,5.8,,CHEMBL5390950,7,CHEMBL5483005,CHEMBL5390216,8ea7,P26718
CHEMBL5438606,CN(C)C(=O)[C@@H](NC(=O)c1ccccc1-c1ccc(C(F)(F)F)cc1)c1ccc(Cl)cc1,IC50,3300.0,nM,5.48,,CHEMBL5390950,7,CHEMBL5483005,CHEMBL5390216,8ea7,P26718
CHEMBL5404943,CN(C)C(=O)[C@@H](NC(=O)c1ccccc1-c1ccc(C(F)(F)F)cc1)c1ccc(Cl)c(C(F)(F)F)c1,IC50,500.0,nM,6.3,,CHEMBL5390950,7,CHEMBL5483005,CHEMBL5390216,8ea7,P26718
