molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL109944,COCCCn1cc(C2=C(c3ccccc3O)C(=O)NC2=O)c2cccnc21,IC50,2000.0,nM,5.7,,CHEMBL803642,9,CHEMBL2345,CHEMBL1146654,8eq5,P51812
CHEMBL109981,COc1ccccc1C1=C(c2cn(CCCNC(=O)OC(C)(C)C)c3ncccc23)C(=O)NC1=O,IC50,640.0,nM,6.19,,CHEMBL803642,9,CHEMBL2345,CHEMBL1146654,8eq5,P51812
CHEMBL1788116,N#C/C(=C1/Nc2ccccc2S1)c1ccnc(NCCc2cccnc2)n1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,IC50,10000.0,nM,5.0,,CHEMBL832898,8,CHEMBL2345,CHEMBL1140315,8eq5,P51812
CHEMBL215803,C[C@@H]1C[C@H]2CN1CCn1nc3c(cccc3c1O)-c1nc3c(cccc3nc1O)O2,IC50,1000.0,nM,,,CHEMBL910949,9,CHEMBL2345,CHEMBL1149510,8eq5,P51812
CHEMBL395080,COc1cc(-c2ccc3c(c2)Nc2ccc(CC(=O)Nc4ccc(N5CCOCC5)cc4)cc2NC3=O)ccc1N,IC50,,,,Not Determined,CHEMBL894166,9,CHEMBL2345,CHEMBL1148724,8eq5,P51812
CHEMBL389745,COc1cc(-c2ccc3c(c2)Nc2ccc(C(C)(C)C(=O)Nc4ccc(N5CCOCC5)cc4)cc2NC3=O)ccc1N,IC50,10000.0,nM,,,CHEMBL894166,9,CHEMBL2345,CHEMBL1148724,8eq5,P51812
CHEMBL1162963,CN(C)c1nc2ccc1CCCn1cc(c3ccccc31)C1=C(C(=O)NC1=O)c1cn(c3ccccc13)CC2,IC50,48.0,nM,7.32,,CHEMBL887038,9,CHEMBL2345,CHEMBL1139192,8eq5,P51812
CHEMBL489344,CNc1nccc(-c2nc(C3CCNCC3)[nH]c2-c2cccc(C(F)(F)F)c2)n1,IC50,76000.0,nM,4.12,,CHEMBL1004014,9,CHEMBL2345,CHEMBL1156427,8eq5,P51812
CHEMBL523938,CC1CCC(c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)CC1,IC50,39000.0,nM,4.41,,CHEMBL1004014,9,CHEMBL2345,CHEMBL1156427,8eq5,P51812
CHEMBL495727,O=C(Nc1c[nH]nc1-c1nc2ccc(CN3CCOCC3)cc2[nH]1)NC1CC1,IC50,1.0,nM,9.0,,CHEMBL1009903,8,CHEMBL2345,CHEMBL1139387,8eq5,P51812
CHEMBL495727,O=C(Nc1c[nH]nc1-c1nc2ccc(CN3CCOCC3)cc2[nH]1)NC1CC1,IC50,1.0,nM,9.0,,CHEMBL1009903,8,CHEMBL2345,CHEMBL1139387,8eq5,P51812
CHEMBL221959,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,IC50,10000.0,nM,,,CHEMBL1016940,8,CHEMBL2345,CHEMBL1152817,8eq5,P51812
CHEMBL221959,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,IC50,10000.0,nM,,,CHEMBL1016940,8,CHEMBL2345,CHEMBL1152817,8eq5,P51812
CHEMBL221959,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,IC50,10000.0,nM,,,CHEMBL1016940,8,CHEMBL2345,CHEMBL1152817,8eq5,P51812
CHEMBL221959,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,IC50,10000.0,nM,,,CHEMBL1016940,8,CHEMBL2345,CHEMBL1152817,8eq5,P51812
CHEMBL515414,Cc1ccc(-c2c(C(=O)CF)n(CCCO)c3ncnc(N)c23)cc1,IC50,15000.0,nM,4.82,,CHEMBL1022064,8,CHEMBL2345,CHEMBL1152818,8eq5,P51812
