molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL585927,CNc1ccn(-c2ccccc2)c(=O)c1C(=O)Nc1ccc(Oc2ccnc3cc(OC)c(OC)cc23)cn1,IC50,1000.0,nM,,,CHEMBL1038363,8,CHEMBL6030,CHEMBL1155349,8eqe,Q9NZJ5
CHEMBL599224,CC(=O)N1CCC(Nc2ncc3c(n2)-c2c(c(C(N)=O)nn2C)CC3)CC1,IC50,10000.0,nM,,,CHEMBL1072220,8,CHEMBL6030,CHEMBL1157561,8eqe,Q9NZJ5
CHEMBL599428,Cn1nc(C(N)=O)c2c1-c1nc(NC3CCN(C(=O)c4ccccc4)CC3)ncc1CC2,IC50,10000.0,nM,,,CHEMBL1072220,8,CHEMBL6030,CHEMBL1157561,8eqe,Q9NZJ5
CHEMBL597754,CNC(=O)c1nn(C)c2c1CCc1cnc(NC3CCN(C(=O)C4CCN(S(C)(=O)=O)CC4)CC3)nc1-2,IC50,10000.0,nM,,,CHEMBL1072220,8,CHEMBL6030,CHEMBL1157561,8eqe,Q9NZJ5
CHEMBL1270230,NC(=O)c1cc(-c2ccnc(N)n2)[nH]c1-c1ccccc1,IC50,10000.0,nM,,,CHEMBL1274177,8,CHEMBL6030,CHEMBL1268909,8eqe,Q9NZJ5
CHEMBL1667910,Oc1cccc2cc(Nc3c(-c4ncccn4)oc4cnccc34)ccc12,IC50,4.1,nM,8.39,,CHEMBL1670303,8,CHEMBL6030,CHEMBL1667830,8eqe,Q9NZJ5
CHEMBL1667911,CN1CCN(Cc2cnc(-c3oc4cnccc4c3Nc3ccc4c(O)cccc4c3)nc2)CC1,IC50,16.0,nM,7.8,,CHEMBL1670303,8,CHEMBL6030,CHEMBL1667830,8eqe,Q9NZJ5
CHEMBL1667899,O/N=C1\NCc2cc(Nc3c(-c4ncccn4)oc4cnccc34)ccc21,IC50,18.0,nM,7.75,,CHEMBL1670303,8,CHEMBL6030,CHEMBL1667830,8eqe,Q9NZJ5
CHEMBL1614963,Oc1cc(Nc2c(-c3ncccn3)oc3cnccc23)ccc1Cl,IC50,31.0,nM,7.51,,CHEMBL1670303,8,CHEMBL6030,CHEMBL1667830,8eqe,Q9NZJ5
CHEMBL1614960,O=C(Nc1ccncn1)c1oc2cnccc2c1Nc1ccc2c(O)cccc2c1,IC50,37.9,nM,7.42,,CHEMBL1670303,8,CHEMBL6030,CHEMBL1667830,8eqe,Q9NZJ5
CHEMBL1667906,CCOC(=O)c1oc2cnccc2c1Nc1ccc2c(O)cccc2c1,IC50,54.0,nM,7.27,,CHEMBL1670303,8,CHEMBL6030,CHEMBL1667830,8eqe,Q9NZJ5
CHEMBL1667908,CC(C)NC(=O)c1oc2cnccc2c1Nc1ccc2c(O)cccc2c1,IC50,86.7,nM,7.06,,CHEMBL1670303,8,CHEMBL6030,CHEMBL1667830,8eqe,Q9NZJ5
CHEMBL1667909,CN(C)/C=C/NC(=O)c1oc2cnccc2c1Nc1ccc2c(O)cccc2c1,IC50,102.0,nM,6.99,,CHEMBL1670303,8,CHEMBL6030,CHEMBL1667830,8eqe,Q9NZJ5
CHEMBL1667923,CCc1n[nH]c2c(Cl)ccc(Nc3c(-c4ncccn4)oc4cnccc34)c12,IC50,140.0,nM,6.85,,CHEMBL1670303,8,CHEMBL6030,CHEMBL1667830,8eqe,Q9NZJ5
CHEMBL1667907,CCOC(=O)c1oc2cnccc2c1Nc1ccc2c(O)c(F)ccc2c1,IC50,142.0,nM,6.85,,CHEMBL1670303,8,CHEMBL6030,CHEMBL1667830,8eqe,Q9NZJ5
CHEMBL1667916,Clc1ccc(Nc2c(-c3ncccn3)oc3cnccc23)c2cn[nH]c12,IC50,250.0,nM,6.6,,CHEMBL1670303,8,CHEMBL6030,CHEMBL1667830,8eqe,Q9NZJ5
CHEMBL1667924,OCCCc1n[nH]c2c(Cl)ccc(Nc3c(-c4ncccn4)oc4cnccc34)c12,IC50,350.0,nM,6.46,,CHEMBL1670303,8,CHEMBL6030,CHEMBL1667830,8eqe,Q9NZJ5
CHEMBL1667912,CCOC(=O)c1oc2cnccc2c1Nc1ccc(Cl)c(O)c1,IC50,442.0,nM,6.36,,CHEMBL1670303,8,CHEMBL6030,CHEMBL1667830,8eqe,Q9NZJ5
CHEMBL1667914,O=C(Nc1ncccn1)c1oc2cnccc2c1Nc1ccc(Cl)c(O)c1,IC50,556.0,nM,6.25,,CHEMBL1670303,8,CHEMBL6030,CHEMBL1667830,8eqe,Q9NZJ5
CHEMBL1667897,O=C1CCc2cc(Nc3c(-c4ncccn4)oc4cnccc34)ccc21,IC50,820.0,nM,6.09,,CHEMBL1670303,8,CHEMBL6030,CHEMBL1667830,8eqe,Q9NZJ5
CHEMBL1667913,CC(C)NC(=O)c1oc2cnccc2c1Nc1ccc(Cl)c(O)c1,IC50,823.0,nM,6.08,,CHEMBL1670303,8,CHEMBL6030,CHEMBL1667830,8eqe,Q9NZJ5
