molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL3683702,COC(=O)N[C@H](C(=O)NCC(F)CC[C@@H](CO)N(CCC(C)C)S(=O)(=O)c1ccc(N)cc1)C(c1ccccc1)c1ccccc1,IC50,240.0,nM,6.62,220355,CHEMBL3887045,8,CHEMBL3638360,CHEMBL3639148,8esy,P04585
CHEMBL3683702,COC(=O)N[C@H](C(=O)NCC(F)CC[C@@H](CO)N(CCC(C)C)S(=O)(=O)c1ccc(N)cc1)C(c1ccccc1)c1ccccc1,IC50,240.0,nM,6.62,220355,CHEMBL3887045,8,CHEMBL3638360,CHEMBL3639148,8esy,P04585
CHEMBL4113539,COC(=O)N[C@H](C(=O)NCC(F)CC[C@H](CO)N(CCC(C)C)S(=O)(=O)c1ccc(N)cc1)C(c1ccccc1)c1ccccc1,IC50,10.0,nM,8.0,221275,CHEMBL3887045,8,CHEMBL3638360,CHEMBL3639148,8esy,P04585
CHEMBL4106990,COC(=O)N[C@H](C(=O)N[C@H](c1ccc([C@@H](CO)N(C(C)C)S(=O)(=O)c2ccc(N)cc2)s1)C(F)(F)F)C(c1ccccc1)c1ccccc1,IC50,33.7,nM,7.47,273509,CHEMBL3887078,8,CHEMBL3638360,CHEMBL3886153,8esy,P04585
CHEMBL4106990,COC(=O)N[C@H](C(=O)N[C@H](c1ccc([C@@H](CO)N(C(C)C)S(=O)(=O)c2ccc(N)cc2)s1)C(F)(F)F)C(c1ccccc1)c1ccccc1,IC50,33.7,nM,7.47,273509,CHEMBL3887078,8,CHEMBL3638360,CHEMBL3886153,8esy,P04585
CHEMBL4114478,COC(=O)N[C@H](C(=O)N[C@H](c1ccc([C@@H](CO)N(C(C)C)S(=O)(=O)c2ccc3ncsc3c2)s1)C(F)(F)F)C(c1ccccc1)c1ccccc1,IC50,34.7,nM,7.46,273510,CHEMBL3887078,8,CHEMBL3638360,CHEMBL3886153,8esy,P04585
CHEMBL4109891,COC(=O)N[C@H](C(=O)N[C@H](c1ccc([C@@H](CO)N(C(C)C)S(=O)(=O)c2ccc3[nH]ncc3c2)s1)C(F)(F)F)C(c1ccccc1)c1ccccc1,IC50,23.4,nM,7.63,273511,CHEMBL3887078,8,CHEMBL3638360,CHEMBL3886153,8esy,P04585
CHEMBL4113036,COC(=O)N[C@H](C(=O)N[C@H](c1ccc([C@@H](CO)N(C(C)C)S(=O)(=O)c2ccc(N)cc2F)s1)C(F)(F)F)C(c1ccccc1)c1ccccc1,IC50,9.4,nM,8.03,273512,CHEMBL3887078,8,CHEMBL3638360,CHEMBL3886153,8esy,P04585
CHEMBL3683702,COC(=O)N[C@H](C(=O)NCC(F)CC[C@@H](CO)N(CCC(C)C)S(=O)(=O)c1ccc(N)cc1)C(c1ccccc1)c1ccccc1,IC50,0.03,nM,10.52,312532,CHEMBL3887045,8,CHEMBL3638360,CHEMBL3639148,8esy,P04585
CHEMBL3683702,COC(=O)N[C@H](C(=O)NCC(F)CC[C@@H](CO)N(CCC(C)C)S(=O)(=O)c1ccc(N)cc1)C(c1ccccc1)c1ccccc1,IC50,0.03,nM,10.52,312532,CHEMBL3887045,8,CHEMBL3638360,CHEMBL3639148,8esy,P04585
CHEMBL3683703,CCCCCN([C@H](CO)CCC(F)(F)CNC(=O)[C@@H](NC(=O)OC)C(c1ccccc1)c1ccccc1)S(=O)(=O)c1ccc(CO)cc1,IC50,0.019,nM,10.72,312533,CHEMBL3887045,8,CHEMBL3638360,CHEMBL3639148,8esy,P04585
CHEMBL3683704,COC(=O)N[C@H](C(=O)NCC(F)(F)CC[C@@H](CO)N(CC1CC(F)(F)C1)S(=O)(=O)c1ccc2ncsc2c1)C(c1ccccc1)c1ccccc1,IC50,0.59,nM,9.23,312534,CHEMBL3887045,8,CHEMBL3638360,CHEMBL3639148,8esy,P04585
CHEMBL3683705,COC(=O)N[C@H](C(=O)NCC(F)(F)CC[C@@H](CO)N(Cc1cn[nH]c1)S(=O)(=O)c1ccc2ncsc2c1)C(c1ccccc1)c1ccccc1,IC50,0.39,nM,9.41,312535,CHEMBL3887045,8,CHEMBL3638360,CHEMBL3639148,8esy,P04585
