molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL343701,c1ccc(-c2[nH]c(-c3ccccc3)c3c2C2CCC3CC2)cc1,IC50,1.6,nM,8.8,,CHEMBL768586,8,CHEMBL4321,CHEMBL1133534,8et0,Q05769
CHEMBL343701,c1ccc(-c2[nH]c(-c3ccccc3)c3c2C2CCC3CC2)cc1,IC50,1.6,nM,8.8,,CHEMBL768586,8,CHEMBL4321,CHEMBL1133534,8et0,Q05769
CHEMBL343311,CC1=C(C)Cc2c(-c3ccccc3)[nH]c(-c3ccccc3)c2C1,IC50,14.5,nM,7.84,,CHEMBL768586,8,CHEMBL4321,CHEMBL1133534,8et0,Q05769
CHEMBL343311,CC1=C(C)Cc2c(-c3ccccc3)[nH]c(-c3ccccc3)c2C1,IC50,14.5,nM,7.84,,CHEMBL768586,8,CHEMBL4321,CHEMBL1133534,8et0,Q05769
CHEMBL343716,O=C(O)Cn1c(-c2ccccc2)c2c(c1-c1ccccc1)CCCC2,IC50,100.0,nM,,,CHEMBL768586,8,CHEMBL4321,CHEMBL1133534,8et0,Q05769
CHEMBL343716,O=C(O)Cn1c(-c2ccccc2)c2c(c1-c1ccccc1)CCCC2,IC50,100.0,nM,,,CHEMBL768586,8,CHEMBL4321,CHEMBL1133534,8et0,Q05769
CHEMBL140167,Fc1ccc(-c2[nH]c(-c3ccc(F)cc3)c3c2C2CCC3CC2)cc1,IC50,0.6,nM,9.22,,CHEMBL768586,8,CHEMBL4321,CHEMBL1133534,8et0,Q05769
CHEMBL140167,Fc1ccc(-c2[nH]c(-c3ccc(F)cc3)c3c2C2CCC3CC2)cc1,IC50,0.6,nM,9.22,,CHEMBL768586,8,CHEMBL4321,CHEMBL1133534,8et0,Q05769
CHEMBL337601,CC(=O)Nc1cc(-c2[nH]c(-c3ccc(F)c(NC(C)=O)c3)c3c2C2CCC3C2)ccc1F,IC50,100.0,nM,,,CHEMBL768586,8,CHEMBL4321,CHEMBL1133534,8et0,Q05769
CHEMBL337601,CC(=O)Nc1cc(-c2[nH]c(-c3ccc(F)c(NC(C)=O)c3)c3c2C2CCC3C2)ccc1F,IC50,100.0,nM,,,CHEMBL768586,8,CHEMBL4321,CHEMBL1133534,8et0,Q05769
CHEMBL118,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,IC50,9.3,nM,8.03,,CHEMBL764251,8,CHEMBL4321,CHEMBL1133534,8et0,Q05769
CHEMBL118,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,IC50,9.3,nM,8.03,,CHEMBL764251,8,CHEMBL4321,CHEMBL1133534,8et0,Q05769
CHEMBL118,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,IC50,9.3,nM,8.03,,CHEMBL764251,8,CHEMBL4321,CHEMBL1133534,8et0,Q05769
CHEMBL118,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,IC50,9.3,nM,8.03,,CHEMBL764251,8,CHEMBL4321,CHEMBL1133534,8et0,Q05769
CHEMBL118,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,IC50,9.3,nM,8.03,,CHEMBL764251,8,CHEMBL4321,CHEMBL1133534,8et0,Q05769
CHEMBL118,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,IC50,9.3,nM,8.03,,CHEMBL764251,8,CHEMBL4321,CHEMBL1133534,8et0,Q05769
CHEMBL118,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,IC50,9.3,nM,8.03,,CHEMBL764251,8,CHEMBL4321,CHEMBL1133534,8et0,Q05769
CHEMBL118,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,IC50,9.3,nM,8.03,,CHEMBL764251,8,CHEMBL4321,CHEMBL1133534,8et0,Q05769
CHEMBL118,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,IC50,9.3,nM,8.03,,CHEMBL764251,8,CHEMBL4321,CHEMBL1133534,8et0,Q05769
CHEMBL118,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,IC50,9.3,nM,8.03,,CHEMBL764251,8,CHEMBL4321,CHEMBL1133534,8et0,Q05769
CHEMBL118,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,IC50,9.3,nM,8.03,,CHEMBL764251,8,CHEMBL4321,CHEMBL1133534,8et0,Q05769
CHEMBL118,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,IC50,9.3,nM,8.03,,CHEMBL764251,8,CHEMBL4321,CHEMBL1133534,8et0,Q05769
CHEMBL118,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,IC50,9.3,nM,8.03,,CHEMBL764251,8,CHEMBL4321,CHEMBL1133534,8et0,Q05769
CHEMBL118,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,IC50,9.3,nM,8.03,,CHEMBL764251,8,CHEMBL4321,CHEMBL1133534,8et0,Q05769
CHEMBL118,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,IC50,9.3,nM,8.03,,CHEMBL764251,8,CHEMBL4321,CHEMBL1133534,8et0,Q05769
CHEMBL118,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,IC50,9.3,nM,8.03,,CHEMBL764251,8,CHEMBL4321,CHEMBL1133534,8et0,Q05769
CHEMBL118,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,IC50,9.3,nM,8.03,,CHEMBL764251,8,CHEMBL4321,CHEMBL1133534,8et0,Q05769
CHEMBL118,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,IC50,9.3,nM,8.03,,CHEMBL764251,8,CHEMBL4321,CHEMBL1133534,8et0,Q05769
CHEMBL118,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,IC50,9.3,nM,8.03,,CHEMBL764251,8,CHEMBL4321,CHEMBL1133534,8et0,Q05769
CHEMBL118,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,IC50,9.3,nM,8.03,,CHEMBL764251,8,CHEMBL4321,CHEMBL1133534,8et0,Q05769
CHEMBL118,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,IC50,9.3,nM,8.03,,CHEMBL764251,8,CHEMBL4321,CHEMBL1133534,8et0,Q05769
CHEMBL118,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,IC50,9.3,nM,8.03,,CHEMBL764251,8,CHEMBL4321,CHEMBL1133534,8et0,Q05769
CHEMBL118,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,IC50,9.3,nM,8.03,,CHEMBL764251,8,CHEMBL4321,CHEMBL1133534,8et0,Q05769
CHEMBL118,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,IC50,9.3,nM,8.03,,CHEMBL764251,8,CHEMBL4321,CHEMBL1133534,8et0,Q05769
CHEMBL140804,C1=CCc2c(-c3ccccc3)[nH]c(-c3ccccc3)c2C1,IC50,3.3,nM,8.48,,CHEMBL768586,8,CHEMBL4321,CHEMBL1133534,8et0,Q05769
