molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL372408,O=C1CC(N2CCN(c3ccc(O)cc3)CC2)C(=O)N1c1ccccc1,IC50,150.0,nM,6.82,,CHEMBL5225647,9,CHEMBL6182,CHEMBL5223163,8eyo,Q16798
CHEMBL5277143,O=C(O)c1cc2ccccc2c(Cc2cc3ccccc3c(C(=O)O)c2O)c1O,IC50,5600.0,nM,5.25,,CHEMBL5225647,9,CHEMBL6182,CHEMBL5223163,8eyo,Q16798
CHEMBL5218866,COc1ccc(C2=C(O)C(=O)C(c3ccc(OC)cc3)=C(O)C2=O)cc1,IC50,900.0,nM,6.05,,CHEMBL5225647,9,CHEMBL6182,CHEMBL5223163,8eyo,Q16798
CHEMBL5283717,O=C(Nc1nnn[nH]1)c1cc(-c2ccccc2)nc2ccccc12,IC50,5100.0,nM,5.29,,CHEMBL5225647,9,CHEMBL6182,CHEMBL5223163,8eyo,Q16798
CHEMBL5267207,O=C(Nc1nnn[nH]1)C1c2ccccc2OC2C=CC=CC21,IC50,21000.0,nM,4.68,,CHEMBL5225647,9,CHEMBL6182,CHEMBL5223163,8eyo,Q16798
CHEMBL5289950,O=C(CN1CCN(c2ccc(O)cc2)CC1)Nc1ccccc1,IC50,110.0,nM,6.96,,CHEMBL5225647,9,CHEMBL6182,CHEMBL5223163,8eyo,Q16798
CHEMBL5278951,O=C(Nc1ccccc1)N1CCN(c2ccc(O)cc2)CC1,IC50,110.0,nM,6.96,,CHEMBL5225647,9,CHEMBL6182,CHEMBL5223163,8eyo,Q16798
CHEMBL5284469,O=C(Cc1ccccc1)N1CCN(c2ccc(O)cc2)CC1,IC50,100.0,nM,7.0,,CHEMBL5225647,9,CHEMBL6182,CHEMBL5223163,8eyo,Q16798
CHEMBL5279230,O=C(COc1ccccc1)N1CCN(c2ccc(O)cc2)CC1,IC50,130.0,nM,6.89,,CHEMBL5225647,9,CHEMBL6182,CHEMBL5223163,8eyo,Q16798
CHEMBL5289840,O=C(CCc1ccccc1)N1CCN(c2ccc(O)cc2)CC1,IC50,100.0,nM,7.0,,CHEMBL5225647,9,CHEMBL6182,CHEMBL5223163,8eyo,Q16798
CHEMBL5275653,O=C(/C=C/c1ccccc1)N1CCN(c2ccc(O)cc2)CC1,IC50,80.0,nM,7.1,,CHEMBL5225647,9,CHEMBL6182,CHEMBL5223163,8eyo,Q16798
CHEMBL5287773,O=C(Cc1ccc(F)cc1)N1CCN(c2ccc(O)cc2)CC1,IC50,90.0,nM,7.05,,CHEMBL5225647,9,CHEMBL6182,CHEMBL5223163,8eyo,Q16798
