molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL90224,CC(C)C[C@H](NC(=O)CNc1cccc2ccccc12)C(=O)N[C@H](C=O)CC(=O)O,IC50,37.0,nM,7.43,,CHEMBL658646,8,CHEMBL3308,CHEMBL1146752,8f78,P55212
CHEMBL90307,CC(C)C[C@H](NC(=O)C(=O)Nc1cccc2ccccc12)C(=O)N[C@H](C=O)CC(=O)O,IC50,1500.0,nM,5.82,,CHEMBL658646,8,CHEMBL3308,CHEMBL1146752,8f78,P55212
CHEMBL330535,CC(C)C[C@H](NC(=O)COc1cccc2ccccc12)C(=O)N[C@H](C=O)CC(=O)O,IC50,940.0,nM,6.03,,CHEMBL658646,8,CHEMBL3308,CHEMBL1146752,8f78,P55212
CHEMBL100643,CC(C)CC(NC(=O)[C@@H](CCC(=O)O)Oc1cccc2ccccc12)C(=O)N[C@H]1CC(=O)OC1O,IC50,15.0,nM,7.82,,CHEMBL876967,8,CHEMBL3308,CHEMBL1134915,8f78,P55212
CHEMBL3142757,CC(C)C[C@H](NC(=O)C(C)Nc1cccc2ccccc12)C(=O)N[C@H]1CC(=O)OC1O,IC50,310.0,nM,6.51,,CHEMBL876967,8,CHEMBL3308,CHEMBL1134915,8f78,P55212
CHEMBL328155,CC(C)C(NC(=O)COc1cc2ccccc2cc1C(=O)O)C(=O)N[C@H]1CC(=O)OC1O,IC50,1900.0,nM,5.72,,CHEMBL876967,8,CHEMBL3308,CHEMBL1134915,8f78,P55212
CHEMBL323322,CC(C)C(NC(=O)CNc1cccc2ccccc12)C(=O)N[C@H]1CC(=O)OC1O,IC50,7000.0,nM,5.16,,CHEMBL876967,8,CHEMBL3308,CHEMBL1134915,8f78,P55212
CHEMBL319251,CC(C)C[C@@H](NC(=O)OCc1ccccc1)C(=O)C[C@H]1CC(=O)OC1O,IC50,14030.0,nM,4.85,,CHEMBL658657,8,CHEMBL3308,CHEMBL1134915,8f78,P55212
CHEMBL319251,CC(C)C[C@@H](NC(=O)OCc1ccccc1)C(=O)C[C@H]1CC(=O)OC1O,IC50,14030.0,nM,4.85,,CHEMBL658657,8,CHEMBL3308,CHEMBL1134915,8f78,P55212
CHEMBL100559,CC(C)C(NC(=O)COc1cccc2c(NS(=O)(=O)C(F)(F)F)cccc12)C(=O)N[C@H]1CC(=O)OC1O,IC50,1010.0,nM,6.0,,CHEMBL876967,8,CHEMBL3308,CHEMBL1134915,8f78,P55212
CHEMBL317246,CC(C)C(NC(=O)CCOc1cccc2ccccc12)C(=O)N[C@H]1CC(=O)OC1O,IC50,4600.0,nM,5.34,,CHEMBL876967,8,CHEMBL3308,CHEMBL1134915,8f78,P55212
CHEMBL323570,CC(C)C(NC(=O)COc1cccc2ccccc12)C(=O)N[C@H]1CC(=O)OC1O,IC50,10000.0,nM,,,CHEMBL876967,8,CHEMBL3308,CHEMBL1134915,8f78,P55212
CHEMBL100933,CC(C)[C@@H](NC(=O)OCc1ccccc1)C(=O)C[C@H]1CC(=O)OC1O,IC50,10000.0,nM,5.0,,CHEMBL658657,8,CHEMBL3308,CHEMBL1134915,8f78,P55212
CHEMBL100933,CC(C)[C@@H](NC(=O)OCc1ccccc1)C(=O)C[C@H]1CC(=O)OC1O,IC50,10000.0,nM,5.0,,CHEMBL658657,8,CHEMBL3308,CHEMBL1134915,8f78,P55212
CHEMBL327298,CC(C)C(NC(=O)COc1ccc2ccccc2c1C(=O)O)C(=O)N[C@H]1CC(=O)OC1O,IC50,3610.0,nM,5.44,,CHEMBL876967,8,CHEMBL3308,CHEMBL1134915,8f78,P55212
CHEMBL100591,CC(C)C(NC(=O)COc1cc2ccccc2cc1NS(=O)(=O)C(F)(F)F)C(=O)N[C@H]1CC(=O)OC1O,IC50,3030.0,nM,5.52,,CHEMBL876967,8,CHEMBL3308,CHEMBL1134915,8f78,P55212
CHEMBL101182,CC(C)CC(NC(=O)CNc1cccc(Oc2ccccc2)c1)C(=O)N[C@H]1CC(=O)OC1O,IC50,308.0,nM,6.51,,CHEMBL876967,8,CHEMBL3308,CHEMBL1134915,8f78,P55212
CHEMBL101145,CC(C)C(NC(=O)COc1c(C(=O)O)ccc2ccccc12)C(=O)N[C@H]1CC(=O)OC1O,IC50,1430.0,nM,5.84,,CHEMBL876967,8,CHEMBL3308,CHEMBL1134915,8f78,P55212
CHEMBL322631,CC(C)CC(NC(=O)CNc1cccc2ccccc12)C(=O)N[C@H]1CC(=O)OC1O,IC50,37.0,nM,7.43,,CHEMBL876967,8,CHEMBL3308,CHEMBL1134915,8f78,P55212
CHEMBL101545,CC(C)CC(NC(=O)[C@H](CCC(=O)O)Oc1cccc2ccccc12)C(=O)N[C@H]1CC(=O)OC1O,IC50,3.5,nM,8.46,,CHEMBL876967,8,CHEMBL3308,CHEMBL1134915,8f78,P55212
CHEMBL100405,CC(C)C[C@H](NC(=O)COc1ccc2ccccc2c1)C(=O)N[C@H]1CC(=O)OC1O,IC50,18560.0,nM,4.73,,CHEMBL658657,8,CHEMBL3308,CHEMBL1134915,8f78,P55212
CHEMBL100405,CC(C)C[C@H](NC(=O)COc1ccc2ccccc2c1)C(=O)N[C@H]1CC(=O)OC1O,IC50,18560.0,nM,4.73,,CHEMBL658657,8,CHEMBL3308,CHEMBL1134915,8f78,P55212
CHEMBL100405,CC(C)C[C@H](NC(=O)COc1ccc2ccccc2c1)C(=O)N[C@H]1CC(=O)OC1O,IC50,18560.0,nM,4.73,,CHEMBL658657,8,CHEMBL3308,CHEMBL1134915,8f78,P55212
CHEMBL101622,CC(C)CC(NC(=O)CNCC(Cc1ccccc1)c1ccccc1)C(=O)N[C@H]1CC(=O)OC1O,IC50,589.0,nM,6.23,,CHEMBL876967,8,CHEMBL3308,CHEMBL1134915,8f78,P55212
CHEMBL430648,CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@H]1CC(=O)OC1O)C(C)C,IC50,10.0,nM,8.0,,CHEMBL658657,8,CHEMBL3308,CHEMBL1134915,8f78,P55212
CHEMBL318386,CC(C)C[C@H](NC(=O)COc1cccc2ccccc12)C(=O)N[C@H]1CC(=O)OC1O,IC50,940.0,nM,6.03,,CHEMBL658657,8,CHEMBL3308,CHEMBL1134915,8f78,P55212
