molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL117716,N=C(N)N1CCC[C@H](NC(=O)CNC(=O)[C@@H](CCNC(=O)c2ccc3ccccc3n2)NS(=O)(=O)Cc2ccccc2)C1O,IC50,1440.0,nM,5.84,,CHEMBL764384,8,CHEMBL1801,CHEMBL1131910,8f7v,P00747
CHEMBL117721,N=C(N)N1CCC[C@H](NC(=O)CNC(=O)[C@@H](CNC(=O)c2cnccn2)NS(=O)(=O)Cc2ccccc2)C1O,IC50,1480.0,nM,5.83,,CHEMBL764384,8,CHEMBL1801,CHEMBL1131910,8f7v,P00747
CHEMBL331807,N=C(N)N1CCC[C@H](NC(=O)CNC(=O)[C@@H](CCNC(=O)c2ccc(O)nc2)NS(=O)(=O)Cc2ccccc2)C1O,IC50,367.0,nM,6.43,,CHEMBL764384,8,CHEMBL1801,CHEMBL1131910,8f7v,P00747
CHEMBL117777,N=C(N)N1CCC[C@H](NC(=O)CNC(=O)[C@@H](CCNC(=O)c2ccccc2)NS(=O)(=O)Cc2ccccc2)C1O,IC50,,nM,,Not Active,CHEMBL764385,8,CHEMBL1801,CHEMBL1131910,8f7v,P00747
CHEMBL323642,N=C(N)N1CCC[C@H](NC(=O)CNC(=O)[C@@H](CCNC(=O)c2ccccn2)NS(=O)(=O)Cc2ccccc2)C1O,IC50,1140.0,nM,5.94,,CHEMBL764384,8,CHEMBL1801,CHEMBL1131910,8f7v,P00747
CHEMBL324485,N=C(N)N1CCC[C@H](NC(=O)CNC(=O)[C@@H](CCNC(=O)c2cnc3ccccc3c2)NC(=O)OCc2ccccc2)C1O,IC50,1140.0,nM,5.94,,CHEMBL764384,8,CHEMBL1801,CHEMBL1131910,8f7v,P00747
CHEMBL117678,N=C(N)N1CCC[C@H](NC(=O)CNC(=O)[C@@H](CCNC(=O)c2cccnc2)NS(=O)(=O)Cc2ccccc2)C1O,IC50,2500.0,nM,5.6,,CHEMBL764384,8,CHEMBL1801,CHEMBL1131910,8f7v,P00747
CHEMBL420322,N=C(N)N1CCC[C@H](NC(=O)CNC(=O)[C@@H](CCCNC(=O)c2cnccn2)NS(=O)(=O)Cc2ccccc2)C1O,IC50,673.0,nM,6.17,,CHEMBL764384,8,CHEMBL1801,CHEMBL1131910,8f7v,P00747
CHEMBL105819,CC(O)[C@@H](C(=O)N[C@H](C)c1ccccc1)N(C)C(=O)[C@H](Cc1ccc([N+](=O)[O-])cc1)NC(=O)CCCN=C(N)N,IC50,0.23,nM,9.64,,CHEMBL764379,8,CHEMBL1801,CHEMBL1134950,8f7v,P00747
CHEMBL116245,N=C(N)N1CCC[C@H](NC(=O)CNC(=O)[C@@H](CCNC(=O)c2cnccn2)NC(=O)OCc2ccccc2)C1O,IC50,2030.0,nM,5.69,,CHEMBL764384,8,CHEMBL1801,CHEMBL1131910,8f7v,P00747
