molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL1572202,COc1ccccc1NC(=O)CN1CCN(CC(=O)Nc2ccc3c(c2)OCCO3)CC1,IC50,4023.0,nM,,active,CHEMBL2114771,9,CHEMBL3544,CHEMBL1201862,8f8m,O00482
CHEMBL1863682,O=C(CN1C(=O)NC2(CCCC2)C1=O)NCCc1ccc(F)cc1,IC50,35853.0,nM,,inactive,CHEMBL2114771,9,CHEMBL3544,CHEMBL1201862,8f8m,O00482
CHEMBL1874790,COc1ccc(NC(=O)COC(=O)Cc2c[nH]c3ccccc23)cc1Cl,IC50,25401.0,nM,,inactive,CHEMBL2114771,9,CHEMBL3544,CHEMBL1201862,8f8m,O00482
CHEMBL1572178,COc1ccc(CCNC(=O)COC(=O)C23CC4CC(CC(Br)(C4)C2)C3)cc1,IC50,16610.0,nM,,inactive,CHEMBL2114771,9,CHEMBL3544,CHEMBL1201862,8f8m,O00482
CHEMBL1396951,O=C(NC1CCCC(C(F)(F)F)C1)c1ccc([N+](=O)[O-])o1,IC50,23539.0,nM,,inactive,CHEMBL2114771,9,CHEMBL3544,CHEMBL1201862,8f8m,O00482
CHEMBL1863945,COc1ccc(OCCNC(=O)C2(C)CCN2Cc2ccc(SC)cc2)cc1,IC50,5573.0,nM,,active,CHEMBL2114771,9,CHEMBL3544,CHEMBL1201862,8f8m,O00482
CHEMBL1536360,Cc1ccc(-c2csc(NC(=O)c3ccc([N+](=O)[O-])o3)n2)cc1,IC50,35892.0,nM,,inactive,CHEMBL2114771,9,CHEMBL3544,CHEMBL1201862,8f8m,O00482
CHEMBL1408992,Cc1ccc(C)c(NC(=O)CSc2nnc(-c3[nH]nc4ccccc34)o2)c1,IC50,53486.0,nM,,inactive,CHEMBL2114771,9,CHEMBL3544,CHEMBL1201862,8f8m,O00482
CHEMBL1318808,CC(=O)Nc1ccc(Nc2cc([N+](=O)[O-])cc(Cl)[n+]2[O-])cc1,IC50,5736.0,nM,,active,CHEMBL2114771,9,CHEMBL3544,CHEMBL1201862,8f8m,O00482
CHEMBL1864080,CCCc1cc(=O)oc2cc(C)cc(OCC(=O)NC3CC3)c12,IC50,1312.0,nM,,active,CHEMBL2114771,9,CHEMBL3544,CHEMBL1201862,8f8m,O00482
CHEMBL1306019,Cc1cc(Br)ccc1NC(=O)CN1C(=O)CCC1=O,IC50,11963.0,nM,,inactive,CHEMBL2114771,9,CHEMBL3544,CHEMBL1201862,8f8m,O00482
CHEMBL1338983,O=C(NCC1CCCO1)c1ccc(NC(=O)c2cccc([N+](=O)[O-])c2)cc1,IC50,3988.0,nM,,active,CHEMBL2114771,9,CHEMBL3544,CHEMBL1201862,8f8m,O00482
