molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL138580,CC12CCC(=O)CC1=CCC1C2CCC2(C)C(CC3CN3)CCC12,IC50,1800.0,nM,5.75,,CHEMBL662520,8,CHEMBL3522,CHEMBL1133116,8fda,P05093
CHEMBL310690,C[C@]12CC[C@H](O)CC1=CCC1C2CC[C@@]2(C)C1CC[C@@H]2c1ccncc1,IC50,160.0,nM,6.8,,CHEMBL760886,9,CHEMBL3522,CHEMBL1131444,8fda,P05093
CHEMBL310690,C[C@]12CC[C@H](O)CC1=CCC1C2CC[C@@]2(C)C1CC[C@@H]2c1ccncc1,IC50,160.0,nM,6.8,,CHEMBL760886,9,CHEMBL3522,CHEMBL1131444,8fda,P05093
CHEMBL310690,C[C@]12CC[C@H](O)CC1=CCC1C2CC[C@@]2(C)C1CC[C@@H]2c1ccncc1,IC50,160.0,nM,6.8,,CHEMBL760886,9,CHEMBL3522,CHEMBL1131444,8fda,P05093
CHEMBL136897,CC1(C2CCC3C4CC=C5CC(O)CCC5(C)C4CCC32C)NN1,IC50,25000.0,nM,,,CHEMBL662520,8,CHEMBL3522,CHEMBL1133116,8fda,P05093
CHEMBL2112777,C[C@]12CC[C@H]3[C@@H](CC=C4CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2[C@@H]1CN1,IC50,2500.0,nM,,,CHEMBL662520,8,CHEMBL3522,CHEMBL1133116,8fda,P05093
CHEMBL341591,CC12CCC(O)CC1=CCC1C2CCC2(C)C(CC3CN3)CCC12,IC50,400.0,nM,6.4,,CHEMBL662520,8,CHEMBL3522,CHEMBL1133116,8fda,P05093
CHEMBL341591,CC12CCC(O)CC1=CCC1C2CCC2(C)C(CC3CN3)CCC12,IC50,400.0,nM,6.4,,CHEMBL662520,8,CHEMBL3522,CHEMBL1133116,8fda,P05093
CHEMBL2111948,C[C@]12CC[C@H]3[C@@H](CC=C4CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2[C@H]1CN1,IC50,1520.0,nM,5.82,,CHEMBL662520,8,CHEMBL3522,CHEMBL1133116,8fda,P05093
CHEMBL3137965,C[C@]12CC[C@H](O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](c3cccnc3)CC[C@@H]12,IC50,74.0,nM,7.13,,CHEMBL760886,9,CHEMBL3522,CHEMBL1131444,8fda,P05093
CHEMBL342012,CC12CCC(O)CC1=CCC1C2CCC2(C)C(C3CCN3)CCC12,IC50,,nM,,Not Active,CHEMBL662519,9,CHEMBL3522,CHEMBL1133116,8fda,P05093
