molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL542710,CCCCCC1N=C(N)CC1C.Cl,IC50,243000.0,nM,,,CHEMBL678360,8,CHEMBL4803,CHEMBL1131100,8fgp,P29474
CHEMBL542710,CCCCCC1N=C(N)CC1C.Cl,IC50,243000.0,nM,,,CHEMBL678360,8,CHEMBL4803,CHEMBL1131100,8fgp,P29474
CHEMBL542710,CCCCCC1N=C(N)CC1C.Cl,IC50,243000.0,nM,,,CHEMBL678360,8,CHEMBL4803,CHEMBL1131100,8fgp,P29474
CHEMBL542710,CCCCCC1N=C(N)CC1C.Cl,IC50,243000.0,nM,,,CHEMBL678360,8,CHEMBL4803,CHEMBL1131100,8fgp,P29474
CHEMBL552936,CC1CC(N)=NC1Cc1ccccc1.Cl,IC50,458000.0,nM,,,CHEMBL678360,8,CHEMBL4803,CHEMBL1131100,8fgp,P29474
CHEMBL552936,CC1CC(N)=NC1Cc1ccccc1.Cl,IC50,458000.0,nM,,,CHEMBL678360,8,CHEMBL4803,CHEMBL1131100,8fgp,P29474
CHEMBL7889,CC(=N)NCCCC[C@H](N)C(=O)O,IC50,2400.0,nM,5.62,,CHEMBL678077,8,CHEMBL4803,CHEMBL1148283,8fgp,P29474
CHEMBL7889,CC(=N)NCCCC[C@H](N)C(=O)O,IC50,2400.0,nM,5.62,,CHEMBL678077,8,CHEMBL4803,CHEMBL1148283,8fgp,P29474
CHEMBL7889,CC(=N)NCCCC[C@H](N)C(=O)O,IC50,2400.0,nM,5.62,,CHEMBL678077,8,CHEMBL4803,CHEMBL1148283,8fgp,P29474
CHEMBL7889,CC(=N)NCCCC[C@H](N)C(=O)O,IC50,2400.0,nM,5.62,,CHEMBL678077,8,CHEMBL4803,CHEMBL1148283,8fgp,P29474
CHEMBL7889,CC(=N)NCCCC[C@H](N)C(=O)O,IC50,2400.0,nM,5.62,,CHEMBL678077,8,CHEMBL4803,CHEMBL1148283,8fgp,P29474
CHEMBL7889,CC(=N)NCCCC[C@H](N)C(=O)O,IC50,2400.0,nM,5.62,,CHEMBL678077,8,CHEMBL4803,CHEMBL1148283,8fgp,P29474
CHEMBL7889,CC(=N)NCCCC[C@H](N)C(=O)O,IC50,2400.0,nM,5.62,,CHEMBL678077,8,CHEMBL4803,CHEMBL1148283,8fgp,P29474
CHEMBL7889,CC(=N)NCCCC[C@H](N)C(=O)O,IC50,2400.0,nM,5.62,,CHEMBL678077,8,CHEMBL4803,CHEMBL1148283,8fgp,P29474
CHEMBL7889,CC(=N)NCCCC[C@H](N)C(=O)O,IC50,2400.0,nM,5.62,,CHEMBL678077,8,CHEMBL4803,CHEMBL1148283,8fgp,P29474
CHEMBL7889,CC(=N)NCCCC[C@H](N)C(=O)O,IC50,2400.0,nM,5.62,,CHEMBL678077,8,CHEMBL4803,CHEMBL1148283,8fgp,P29474
CHEMBL7889,CC(=N)NCCCC[C@H](N)C(=O)O,IC50,2400.0,nM,5.62,,CHEMBL678077,8,CHEMBL4803,CHEMBL1148283,8fgp,P29474
CHEMBL7889,CC(=N)NCCCC[C@H](N)C(=O)O,IC50,2400.0,nM,5.62,,CHEMBL678077,8,CHEMBL4803,CHEMBL1148283,8fgp,P29474
CHEMBL62077,CCc1ccnc(N)c1,IC50,4300.0,nM,5.37,,CHEMBL678077,8,CHEMBL4803,CHEMBL1148283,8fgp,P29474
CHEMBL62077,CCc1ccnc(N)c1,IC50,4300.0,nM,5.37,,CHEMBL678077,8,CHEMBL4803,CHEMBL1148283,8fgp,P29474
CHEMBL545291,CC1CCN=C1N.Cl,IC50,9100.0,nM,5.04,,CHEMBL678360,8,CHEMBL4803,CHEMBL1131100,8fgp,P29474
CHEMBL87187,Nc1cccc(-c2ccc(CCN3CCN(c4cccc5cccnc45)CC3)cc2)n1,IC50,825.0,nM,6.08,,CHEMBL676784,8,CHEMBL4803,CHEMBL1131962,8fgp,P29474
