molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL289923,NCCCC(NC(=O)c1ccc(NCC2CNc3nc(N)nc(O)c3C2)cc1)C(=O)O,IC50,4800.0,nM,5.32,,CHEMBL680253,8,CHEMBL3972,CHEMBL1126177,8fjw,P22102
CHEMBL152172,Nc1nc(N)c(CCCN(C=O)c2ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc2)c(O)n1,IC50,18000.0,nM,4.75,,CHEMBL678861,8,CHEMBL3972,CHEMBL1125043,8fjw,P22102
CHEMBL152172,Nc1nc(N)c(CCCN(C=O)c2ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc2)c(O)n1,IC50,18000.0,nM,4.75,,CHEMBL678861,8,CHEMBL3972,CHEMBL1125043,8fjw,P22102
CHEMBL152172,Nc1nc(N)c(CCCN(C=O)c2ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc2)c(O)n1,IC50,7600.0,nM,5.12,,CHEMBL682771,8,CHEMBL3972,CHEMBL1125043,8fjw,P22102
CHEMBL152172,Nc1nc(N)c(CCCN(C=O)c2ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc2)c(O)n1,IC50,7600.0,nM,5.12,,CHEMBL682771,8,CHEMBL3972,CHEMBL1125043,8fjw,P22102
CHEMBL153550,CN(CCCc1c(N)nc(N)nc1O)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,IC50,4300.0,nM,5.37,,CHEMBL680252,8,CHEMBL3972,CHEMBL1125043,8fjw,P22102
CHEMBL13659,Nc1nc(N)c(CCCNc2ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2)c(O)n1,IC50,,nM,,Not Determined,CHEMBL682628,8,CHEMBL3972,CHEMBL1125043,8fjw,P22102
CHEMBL13659,Nc1nc(N)c(CCCNc2ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2)c(O)n1,IC50,,nM,,Not Determined,CHEMBL682628,8,CHEMBL3972,CHEMBL1125043,8fjw,P22102
CHEMBL13659,Nc1nc(N)c(CCCNc2ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2)c(O)n1,IC50,,nM,,Not Determined,CHEMBL682628,8,CHEMBL3972,CHEMBL1125043,8fjw,P22102
CHEMBL13659,Nc1nc(N)c(CCCNc2ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2)c(O)n1,IC50,,nM,,Not Determined,CHEMBL682628,8,CHEMBL3972,CHEMBL1125043,8fjw,P22102
