molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL110347,CC(CC(=O)NCC(=O)c1ccc2ccccc2c1)n1c2c(c(=O)[nH]c1=O)CCCC2,IC50,5000.0,nM,,,CHEMBL762476,8,CHEMBL3105,CHEMBL1134951,8fyz,P09874
CHEMBL108702,Nc1cccc(-c2ccc(C(=O)CNC(=O)CCn3c4c(c(=O)[nH]c3=O)CSCC4)cc2)c1,IC50,20.0,nM,7.7,,CHEMBL762476,8,CHEMBL3105,CHEMBL1134951,8fyz,P09874
CHEMBL418816,O=C(CCn1c2c(c(=O)[nH]c1=O)CCC2)NCC(=O)N1CCN(c2ncccn2)CC1,IC50,3000.0,nM,5.52,,CHEMBL761608,8,CHEMBL3105,CHEMBL1134951,8fyz,P09874
CHEMBL108968,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc(OC(=O)c2ccccc2)cc1,IC50,30.0,nM,7.52,,CHEMBL762476,8,CHEMBL3105,CHEMBL1134951,8fyz,P09874
CHEMBL430707,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)N1CCN(c2ccccn2)CC1,IC50,35.0,nM,7.46,,CHEMBL762476,8,CHEMBL3105,CHEMBL1134951,8fyz,P09874
CHEMBL321638,COc1ccc(-c2ccc(C(=O)CNC(=O)CCn3c4c(c(=O)[nH]c3=O)CSCC4)cc2)cc1,IC50,15.0,nM,7.82,,CHEMBL762476,8,CHEMBL3105,CHEMBL1134951,8fyz,P09874
CHEMBL108316,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)N1CCN(c2ncncn2)CC1,IC50,50.0,nM,7.3,,CHEMBL762476,8,CHEMBL3105,CHEMBL1134951,8fyz,P09874
CHEMBL322133,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc(Br)cc1,IC50,15.0,nM,7.82,,CHEMBL762476,8,CHEMBL3105,CHEMBL1134951,8fyz,P09874
CHEMBL326660,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)N1CCN(c2ccccc2)CC1,IC50,30.0,nM,7.52,,CHEMBL761608,8,CHEMBL3105,CHEMBL1134951,8fyz,P09874
CHEMBL449084,COc1ccc(C(=O)CNC(=O)CCn2c3c(c(=O)[nH]c2=O)CCCC3)cc1,IC50,300.0,nM,6.52,,CHEMBL762476,8,CHEMBL3105,CHEMBL1134951,8fyz,P09874
