molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL118715,O=C(O)C[C@@](O)(C(=O)O)[C@H](O)C(=O)O,IC50,150.0,nM,6.82,,CHEMBL906357,9,CHEMBL3720,CHEMBL1139904,8g1e,P53396
CHEMBL118715,O=C(O)C[C@@](O)(C(=O)O)[C@H](O)C(=O)O,IC50,150.0,nM,6.82,,CHEMBL906357,9,CHEMBL3720,CHEMBL1139904,8g1e,P53396
CHEMBL250942,O=C(OC/C=C\c1ccccc1)c1ccccc1NS(=O)(=O)c1cc(Cl)cc(Cl)c1O,IC50,340.0,nM,6.47,,CHEMBL906357,9,CHEMBL3720,CHEMBL1139904,8g1e,P53396
CHEMBL250941,CC1CCC(C(C)C)C(OC(=O)c2ccccc2NS(=O)(=O)c2cc(Cl)cc(Cl)c2O)C1,IC50,370.0,nM,6.43,,CHEMBL906357,9,CHEMBL3720,CHEMBL1139904,8g1e,P53396
CHEMBL250745,O=S(=O)(Nc1cccc(Oc2ccccc2)c1)c1cc(Cl)cc(Cl)c1O,IC50,8100.0,nM,5.09,,CHEMBL906357,9,CHEMBL3720,CHEMBL1139904,8g1e,P53396
CHEMBL250744,CC(=O)N(C)c1ccc(NS(=O)(=O)c2cc(Cl)cc(Cl)c2O)cc1,IC50,10900.0,nM,4.96,,CHEMBL906357,9,CHEMBL3720,CHEMBL1139904,8g1e,P53396
CHEMBL399634,CCCCCCc1ccc(NS(=O)(=O)c2cc(Cl)cc(Cl)c2O)cc1,IC50,6900.0,nM,5.16,,CHEMBL906357,9,CHEMBL3720,CHEMBL1139904,8g1e,P53396
CHEMBL399379,COc1ccc(-c2ccccc2)cc1NS(=O)(=O)c1cc(Cl)cc(Cl)c1O,IC50,130.0,nM,6.89,,CHEMBL906357,9,CHEMBL3720,CHEMBL1139904,8g1e,P53396
CHEMBL399379,COc1ccc(-c2ccccc2)cc1NS(=O)(=O)c1cc(Cl)cc(Cl)c1O,IC50,130.0,nM,6.89,,CHEMBL906357,9,CHEMBL3720,CHEMBL1139904,8g1e,P53396
CHEMBL399379,COc1ccc(-c2ccccc2)cc1NS(=O)(=O)c1cc(Cl)cc(Cl)c1O,IC50,130.0,nM,6.89,,CHEMBL906357,9,CHEMBL3720,CHEMBL1139904,8g1e,P53396
CHEMBL399379,COc1ccc(-c2ccccc2)cc1NS(=O)(=O)c1cc(Cl)cc(Cl)c1O,IC50,130.0,nM,6.89,,CHEMBL906357,9,CHEMBL3720,CHEMBL1139904,8g1e,P53396
CHEMBL399379,COc1ccc(-c2ccccc2)cc1NS(=O)(=O)c1cc(Cl)cc(Cl)c1O,IC50,130.0,nM,6.89,,CHEMBL906357,9,CHEMBL3720,CHEMBL1139904,8g1e,P53396
CHEMBL400743,O=S(=O)(Nc1c(-c2ccccc2)cc(-c2ccccc2)cc1-c1ccccc1)c1cc(Cl)cc(Cl)c1O,IC50,190.0,nM,6.72,,CHEMBL906357,9,CHEMBL3720,CHEMBL1139904,8g1e,P53396
CHEMBL400562,CC(C)(C)c1ccc(C(C)(C)C)c(NS(=O)(=O)c2cc(Cl)cc(Cl)c2O)c1,IC50,5600.0,nM,5.25,,CHEMBL906357,9,CHEMBL3720,CHEMBL1139904,8g1e,P53396
CHEMBL249272,O=S(=O)(Nc1cc(F)cc(F)c1)c1cc(Cl)cc(Cl)c1O,IC50,7600.0,nM,5.12,,CHEMBL906357,9,CHEMBL3720,CHEMBL1139904,8g1e,P53396
CHEMBL398749,O=S(=O)(Nc1cc(Cl)cc(Cl)c1)c1cc(Cl)cc(Cl)c1O,IC50,2300.0,nM,5.64,,CHEMBL906357,9,CHEMBL3720,CHEMBL1139904,8g1e,P53396
CHEMBL249069,CC(C)(C)c1cc(NS(=O)(=O)c2cc(Cl)cc(Cl)c2O)cc(C(C)(C)C)c1,IC50,1100.0,nM,5.96,,CHEMBL906357,9,CHEMBL3720,CHEMBL1139904,8g1e,P53396
CHEMBL119628,O=C(O)C[C@@](O)(C[C@H](O)CCCCCCc1ccc(Cl)cc1Cl)C(=O)O,IC50,2100.0,nM,5.68,,CHEMBL906357,9,CHEMBL3720,CHEMBL1139904,8g1e,P53396
CHEMBL119628,O=C(O)C[C@@](O)(C[C@H](O)CCCCCCc1ccc(Cl)cc1Cl)C(=O)O,IC50,2100.0,nM,5.68,,CHEMBL906357,9,CHEMBL3720,CHEMBL1139904,8g1e,P53396
CHEMBL119628,O=C(O)C[C@@](O)(C[C@H](O)CCCCCCc1ccc(Cl)cc1Cl)C(=O)O,IC50,2100.0,nM,5.68,,CHEMBL906357,9,CHEMBL3720,CHEMBL1139904,8g1e,P53396
CHEMBL119628,O=C(O)C[C@@](O)(C[C@H](O)CCCCCCc1ccc(Cl)cc1Cl)C(=O)O,IC50,2100.0,nM,5.68,,CHEMBL906357,9,CHEMBL3720,CHEMBL1139904,8g1e,P53396
CHEMBL119628,O=C(O)C[C@@](O)(C[C@H](O)CCCCCCc1ccc(Cl)cc1Cl)C(=O)O,IC50,2100.0,nM,5.68,,CHEMBL906357,9,CHEMBL3720,CHEMBL1139904,8g1e,P53396
CHEMBL119628,O=C(O)C[C@@](O)(C[C@H](O)CCCCCCc1ccc(Cl)cc1Cl)C(=O)O,IC50,2100.0,nM,5.68,,CHEMBL906357,9,CHEMBL3720,CHEMBL1139904,8g1e,P53396
CHEMBL119628,O=C(O)C[C@@](O)(C[C@H](O)CCCCCCc1ccc(Cl)cc1Cl)C(=O)O,IC50,2100.0,nM,5.68,,CHEMBL906357,9,CHEMBL3720,CHEMBL1139904,8g1e,P53396
