molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL210771,N=C(N)NCCC1CCN(C(=O)[C@H](Cc2cccc(C(=N)N)c2)NS(=O)(=O)c2ccc3ccccc3c2)CC1,IC50,1000.0,nM,6.0,,CHEMBL868551,9,CHEMBL3018,CHEMBL1138903,8g1w,Q9Y5Y6
CHEMBL210771,N=C(N)NCCC1CCN(C(=O)[C@H](Cc2cccc(C(=N)N)c2)NS(=O)(=O)c2ccc3ccccc3c2)CC1,IC50,1000.0,nM,6.0,,CHEMBL868551,9,CHEMBL3018,CHEMBL1138903,8g1w,Q9Y5Y6
CHEMBL211209,N=C(N)c1cccc(C[C@H](NS(=O)(=O)c2ccc(C3CCCCC3)cc2)C(=O)N2CCN(C(=N)N)CC2)c1,IC50,3000.0,nM,5.52,,CHEMBL868551,9,CHEMBL3018,CHEMBL1138903,8g1w,Q9Y5Y6
CHEMBL211209,N=C(N)c1cccc(C[C@H](NS(=O)(=O)c2ccc(C3CCCCC3)cc2)C(=O)N2CCN(C(=N)N)CC2)c1,IC50,3000.0,nM,5.52,,CHEMBL868551,9,CHEMBL3018,CHEMBL1138903,8g1w,Q9Y5Y6
CHEMBL1921966,O=C(C1=C(O)C(=O)N(c2nccs2)C1c1cccs1)c1cccs1,IC50,9800.0,nM,5.01,,CHEMBL1925190,9,CHEMBL3018,CHEMBL1921684,8g1w,Q9Y5Y6
CHEMBL1921967,Cc1nc(N2C(=O)C(O)=C(C(=O)c3cccs3)C2c2cccs2)sc1C,IC50,2600.0,nM,5.58,,CHEMBL1925190,9,CHEMBL3018,CHEMBL1921684,8g1w,Q9Y5Y6
CHEMBL1921968,Cc1nc(N2C(=O)C(O)=C(C(=O)c3cccs3)C2c2ccccc2)sc1C,IC50,7000.0,nM,5.16,,CHEMBL1925190,9,CHEMBL3018,CHEMBL1921684,8g1w,Q9Y5Y6
CHEMBL1921969,Cc1nc(N2C(=O)C(O)=C(C(=O)c3ccccc3)C2c2cccs2)sc1C,IC50,21800.0,nM,4.66,,CHEMBL1925190,9,CHEMBL3018,CHEMBL1921684,8g1w,Q9Y5Y6
CHEMBL1538801,C/C(=C\c1ccccc1)C(=O)n1nnc2ccccc21,IC50,,,,Not Active,CHEMBL2412647,9,CHEMBL3018,CHEMBL2406906,8g1w,Q9Y5Y6
CHEMBL2407437,Nc1nc(-c2cccnc2)nn1C(=O)c1ccc(Cl)cc1Cl,IC50,,,,Not Active,CHEMBL2412647,9,CHEMBL3018,CHEMBL2406906,8g1w,Q9Y5Y6
CHEMBL1580446,COc1ccc(C(=O)n2cnnc2N)cc1,IC50,30000.0,nM,,,CHEMBL2412647,9,CHEMBL3018,CHEMBL2406906,8g1w,Q9Y5Y6
CHEMBL1471674,COc1ccc(C(=O)n2nc(-c3ccccc3)nc2N)cc1OC,IC50,30000.0,nM,,,CHEMBL2412647,9,CHEMBL3018,CHEMBL2406906,8g1w,Q9Y5Y6
CHEMBL1464269,Nc1nc(-c2cccnc2)nn1C(=O)c1ccc(Cl)cc1,IC50,30000.0,nM,,,CHEMBL2412647,9,CHEMBL3018,CHEMBL2406906,8g1w,Q9Y5Y6
CHEMBL1413622,Cc1ccc(C(=O)n2nc(-c3cccnc3)nc2N)cc1,IC50,570.0,nM,6.24,,CHEMBL2412647,9,CHEMBL3018,CHEMBL2406906,8g1w,Q9Y5Y6
CHEMBL1580091,CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)c1ccccc1,IC50,420.0,nM,6.38,,CHEMBL2412647,9,CHEMBL3018,CHEMBL2406906,8g1w,Q9Y5Y6
CHEMBL3099883,COc1ccc(/C=C/C(=O)c2ccc(O)cc2)cc1COc1ccc(Cl)cc1,IC50,138000.0,nM,,,CHEMBL3100877,9,CHEMBL3018,CHEMBL3098059,8g1w,Q9Y5Y6
CHEMBL3099882,COc1ccc(/C=C2/SC(=O)N(CNc3cc(F)ccc3C)C2=O)cc1OC,IC50,103000.0,nM,,,CHEMBL3100877,9,CHEMBL3018,CHEMBL3098059,8g1w,Q9Y5Y6
