molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL5400099,C=C(NCC)NC(=O)Nc1c(CC)cccc1CC,IC50,2300.0,nM,5.64,,CHEMBL5363727,9,CHEMBL5465373,CHEMBL5360611,8gkf,O33336
CHEMBL5400099,C=C(NCC)NC(=O)Nc1c(CC)cccc1CC,IC50,2300.0,nM,5.64,,CHEMBL5363727,9,CHEMBL5465373,CHEMBL5360611,8gkf,O33336
CHEMBL5400099,C=C(NCC)NC(=O)Nc1c(CC)cccc1CC,IC50,230.0,nM,6.64,,CHEMBL5363728,9,CHEMBL5465373,CHEMBL5360611,8gkf,O33336
CHEMBL5400099,C=C(NCC)NC(=O)Nc1c(CC)cccc1CC,IC50,230.0,nM,6.64,,CHEMBL5363728,9,CHEMBL5465373,CHEMBL5360611,8gkf,O33336
CHEMBL5428619,CCNc1cccc(Nc2c(CC)cccc2CC)n1,IC50,3300.0,nM,5.48,,CHEMBL5363735,9,CHEMBL5465373,CHEMBL5360611,8gkf,O33336
CHEMBL5428619,CCNc1cccc(Nc2c(CC)cccc2CC)n1,IC50,3300.0,nM,5.48,,CHEMBL5363735,9,CHEMBL5465373,CHEMBL5360611,8gkf,O33336
CHEMBL5405483,CCc1cccc(CC)c1Nc1cccc(NC)n1,IC50,20000.0,nM,4.7,,CHEMBL5363735,9,CHEMBL5465373,CHEMBL5360611,8gkf,O33336
CHEMBL5410681,CCc1cccc(CC)c1Nc1cccc(NC(C)C)n1,IC50,100000.0,nM,,,CHEMBL5363735,9,CHEMBL5465373,CHEMBL5360611,8gkf,O33336
CHEMBL5410681,CCc1cccc(CC)c1Nc1cccc(NC(C)C)n1,IC50,100000.0,nM,,,CHEMBL5363735,9,CHEMBL5465373,CHEMBL5360611,8gkf,O33336
CHEMBL5394344,CCc1cccc(CC)c1Nc1cccc(NCC(C)C)n1,IC50,100000.0,nM,,,CHEMBL5363735,9,CHEMBL5465373,CHEMBL5360611,8gkf,O33336
CHEMBL5394344,CCc1cccc(CC)c1Nc1cccc(NCC(C)C)n1,IC50,100000.0,nM,,,CHEMBL5363735,9,CHEMBL5465373,CHEMBL5360611,8gkf,O33336
CHEMBL5420680,CCc1cccc(CC)c1Nc1cccc(NC(C)=O)n1,IC50,100000.0,nM,,,CHEMBL5363735,9,CHEMBL5465373,CHEMBL5360611,8gkf,O33336
CHEMBL5420680,CCc1cccc(CC)c1Nc1cccc(NC(C)=O)n1,IC50,100000.0,nM,,,CHEMBL5363735,9,CHEMBL5465373,CHEMBL5360611,8gkf,O33336
CHEMBL5429275,CCNc1cccc(Nc2c(C3CC3)cccc2C2CC2)n1,IC50,8400.0,nM,5.08,,CHEMBL5363735,9,CHEMBL5465373,CHEMBL5360611,8gkf,O33336
CHEMBL5409769,CCNc1cccc(Nc2c(CC(F)(F)F)cccc2CC(F)(F)F)n1,IC50,100000.0,nM,,,CHEMBL5363735,9,CHEMBL5465373,CHEMBL5360611,8gkf,O33336
CHEMBL5409769,CCNc1cccc(Nc2c(CC(F)(F)F)cccc2CC(F)(F)F)n1,IC50,100000.0,nM,,,CHEMBL5363735,9,CHEMBL5465373,CHEMBL5360611,8gkf,O33336
CHEMBL5421734,CCNc1ccc(F)c(Nc2c(CC)cccc2CC)n1,IC50,12000.0,nM,4.92,,CHEMBL5363735,9,CHEMBL5465373,CHEMBL5360611,8gkf,O33336
CHEMBL5424519,CCNc1nc(Nc2c(CC)cccc2CC)ccc1F,IC50,7200.0,nM,5.14,,CHEMBL5363735,9,CHEMBL5465373,CHEMBL5360611,8gkf,O33336
CHEMBL5414167,CCNc1ccc(Cl)c(Nc2c(CC)cccc2CC)n1,IC50,100000.0,nM,,,CHEMBL5363735,9,CHEMBL5465373,CHEMBL5360611,8gkf,O33336
CHEMBL5404418,CCNc1ccc(C(F)(F)F)c(Nc2c(CC)cccc2CC)n1,IC50,30000.0,nM,4.52,,CHEMBL5363735,9,CHEMBL5465373,CHEMBL5360611,8gkf,O33336
CHEMBL5404418,CCNc1ccc(C(F)(F)F)c(Nc2c(CC)cccc2CC)n1,IC50,30000.0,nM,4.52,,CHEMBL5363735,9,CHEMBL5465373,CHEMBL5360611,8gkf,O33336
CHEMBL5437318,CCNc1cc(OC)cc(Nc2c(CC)cccc2CC)n1,IC50,720.0,nM,6.14,,CHEMBL5363735,9,CHEMBL5465373,CHEMBL5360611,8gkf,O33336
CHEMBL5437318,CCNc1cc(OC)cc(Nc2c(CC)cccc2CC)n1,IC50,720.0,nM,6.14,,CHEMBL5363735,9,CHEMBL5465373,CHEMBL5360611,8gkf,O33336
CHEMBL5393729,CCNc1nc(Nc2c(CC)cccc2CC)ccc1OC,IC50,87000.0,nM,4.06,,CHEMBL5363735,9,CHEMBL5465373,CHEMBL5360611,8gkf,O33336
CHEMBL5393729,CCNc1nc(Nc2c(CC)cccc2CC)ccc1OC,IC50,87000.0,nM,4.06,,CHEMBL5363735,9,CHEMBL5465373,CHEMBL5360611,8gkf,O33336
CHEMBL5413304,CCNc1ccc(C)c(Nc2c(CC)cccc2CC)n1,IC50,1800.0,nM,5.75,,CHEMBL5363735,9,CHEMBL5465373,CHEMBL5360611,8gkf,O33336
CHEMBL5400582,CCNc1cc(C)cc(Nc2c(CC)cccc2CC)n1,IC50,6400.0,nM,5.19,,CHEMBL5363735,9,CHEMBL5465373,CHEMBL5360611,8gkf,O33336
CHEMBL5428747,CCNc1nc(Nc2c(CC)cccc2CC)ccc1C,IC50,23000.0,nM,4.64,,CHEMBL5363735,9,CHEMBL5465373,CHEMBL5360611,8gkf,O33336
CHEMBL5417677,CCc1cccc(CC)c1/N=C1\CNC(=N)N1CC,IC50,84000.0,nM,4.08,,CHEMBL5363735,9,CHEMBL5465373,CHEMBL5360611,8gkf,O33336
CHEMBL5397489,CCc1cccc(CC)c1/N=C1\CN(CC)C(=N)N1.Cl,IC50,16000.0,nM,4.8,,CHEMBL5363735,9,CHEMBL5465373,CHEMBL5360611,8gkf,O33336
CHEMBL5428619,CCNc1cccc(Nc2c(CC)cccc2CC)n1,IC50,710.0,nM,6.15,,CHEMBL5363736,9,CHEMBL5465373,CHEMBL5360611,8gkf,O33336
CHEMBL5428619,CCNc1cccc(Nc2c(CC)cccc2CC)n1,IC50,710.0,nM,6.15,,CHEMBL5363736,9,CHEMBL5465373,CHEMBL5360611,8gkf,O33336
CHEMBL5410681,CCc1cccc(CC)c1Nc1cccc(NC(C)C)n1,IC50,100000.0,nM,,,CHEMBL5363736,9,CHEMBL5465373,CHEMBL5360611,8gkf,O33336
CHEMBL5410681,CCc1cccc(CC)c1Nc1cccc(NC(C)C)n1,IC50,100000.0,nM,,,CHEMBL5363736,9,CHEMBL5465373,CHEMBL5360611,8gkf,O33336
CHEMBL5394344,CCc1cccc(CC)c1Nc1cccc(NCC(C)C)n1,IC50,100000.0,nM,,,CHEMBL5363736,9,CHEMBL5465373,CHEMBL5360611,8gkf,O33336
CHEMBL5394344,CCc1cccc(CC)c1Nc1cccc(NCC(C)C)n1,IC50,100000.0,nM,,,CHEMBL5363736,9,CHEMBL5465373,CHEMBL5360611,8gkf,O33336
CHEMBL5420680,CCc1cccc(CC)c1Nc1cccc(NC(C)=O)n1,IC50,100000.0,nM,,,CHEMBL5363736,9,CHEMBL5465373,CHEMBL5360611,8gkf,O33336
CHEMBL5420680,CCc1cccc(CC)c1Nc1cccc(NC(C)=O)n1,IC50,100000.0,nM,,,CHEMBL5363736,9,CHEMBL5465373,CHEMBL5360611,8gkf,O33336
CHEMBL5410598,CCNc1cccc(Nc2c(C(C)C)cccc2C(C)C)n1,IC50,100000.0,nM,,,CHEMBL5363736,9,CHEMBL5465373,CHEMBL5360611,8gkf,O33336
CHEMBL5409769,CCNc1cccc(Nc2c(CC(F)(F)F)cccc2CC(F)(F)F)n1,IC50,1300.0,nM,5.89,,CHEMBL5363736,9,CHEMBL5465373,CHEMBL5360611,8gkf,O33336
CHEMBL5409769,CCNc1cccc(Nc2c(CC(F)(F)F)cccc2CC(F)(F)F)n1,IC50,1300.0,nM,5.89,,CHEMBL5363736,9,CHEMBL5465373,CHEMBL5360611,8gkf,O33336
CHEMBL5404418,CCNc1ccc(C(F)(F)F)c(Nc2c(CC)cccc2CC)n1,IC50,100000.0,nM,,,CHEMBL5363736,9,CHEMBL5465373,CHEMBL5360611,8gkf,O33336
CHEMBL5404418,CCNc1ccc(C(F)(F)F)c(Nc2c(CC)cccc2CC)n1,IC50,100000.0,nM,,,CHEMBL5363736,9,CHEMBL5465373,CHEMBL5360611,8gkf,O33336
CHEMBL5437318,CCNc1cc(OC)cc(Nc2c(CC)cccc2CC)n1,IC50,5000.0,nM,5.3,,CHEMBL5363736,9,CHEMBL5465373,CHEMBL5360611,8gkf,O33336
