molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL704,Nc1ccc(O)c(C(=O)O)c1,IC50,10000000.0,nM,,,CHEMBL929914,8,CHEMBL6111,CHEMBL1143172,8god,Q9UM07
CHEMBL1200699,C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21.O,IC50,860000.0,nM,,,CHEMBL929914,8,CHEMBL6111,CHEMBL1143172,8god,Q9UM07
CHEMBL1200699,C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21.O,IC50,860000.0,nM,,,CHEMBL929914,8,CHEMBL6111,CHEMBL1143172,8god,Q9UM07
CHEMBL1440,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,IC50,780000.0,nM,,,CHEMBL929914,8,CHEMBL6111,CHEMBL1143172,8god,Q9UM07
CHEMBL404520,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4[C@@](C)(O)[C@H]3C[C@@H]12,IC50,100000.0,nM,4.0,,CHEMBL929914,8,CHEMBL6111,CHEMBL1143172,8god,Q9UM07
CHEMBL404520,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4[C@@](C)(O)[C@H]3C[C@@H]12,IC50,100000.0,nM,4.0,,CHEMBL929914,8,CHEMBL6111,CHEMBL1143172,8god,Q9UM07
CHEMBL404520,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4[C@@](C)(O)[C@H]3C[C@@H]12,IC50,100000.0,nM,4.0,,CHEMBL929914,8,CHEMBL6111,CHEMBL1143172,8god,Q9UM07
CHEMBL1434,CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,IC50,620000.0,nM,,,CHEMBL929914,8,CHEMBL6111,CHEMBL1143172,8god,Q9UM07
CHEMBL1434,CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,IC50,620000.0,nM,,,CHEMBL929914,8,CHEMBL6111,CHEMBL1143172,8god,Q9UM07
CHEMBL1434,CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,IC50,620000.0,nM,,,CHEMBL929914,8,CHEMBL6111,CHEMBL1143172,8god,Q9UM07
CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,IC50,7500000.0,nM,,,CHEMBL929914,8,CHEMBL6111,CHEMBL1143172,8god,Q9UM07
CHEMBL700,Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1,IC50,10000000.0,nM,,,CHEMBL929914,8,CHEMBL6111,CHEMBL1143172,8god,Q9UM07
CHEMBL443,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,IC50,10000000.0,nM,,,CHEMBL929914,8,CHEMBL6111,CHEMBL1143172,8god,Q9UM07
CHEMBL372795,CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](N=C(N)N)[C@@H](O)[C@@H]3N=C(N)N)O[C@@H](C)[C@]2(O)C=O)O[C@@H](CO)[C@H](O)[C@H]1O,IC50,1800000.0,nM,,,CHEMBL929914,8,CHEMBL6111,CHEMBL1143172,8god,Q9UM07
