molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL273030,c1ccc2cc3c(NCCc4c[nH]cn4)nnc(NCCc4c[nH]cn4)c3cc2c1,IC50,365800.0,nM,,,CHEMBL1676902,9,CHEMBL2354,CHEMBL1671779,8gsq,P00441
CHEMBL272808,Clc1nnc(NCCc2c[nH]cn2)c2cc3ccccc3cc12,IC50,786900.0,nM,,,CHEMBL1676902,9,CHEMBL2354,CHEMBL1671779,8gsq,P00441
CHEMBL272641,c1ccc2cc3c(NCCCn4ccnc4)nnc(NCCCn4ccnc4)c3cc2c1,IC50,67900.0,nM,4.17,,CHEMBL1676902,9,CHEMBL2354,CHEMBL1671779,8gsq,P00441
CHEMBL405899,Clc1nnc(NCCCn2ccnc2)c2cc3ccccc3cc12,IC50,129300.0,nM,,,CHEMBL1676902,9,CHEMBL2354,CHEMBL1671779,8gsq,P00441
CHEMBL1672028,c1ccc2cc3c(Nc4cc[nH]n4)nnc(Nc4cc[nH]n4)c3cc2c1,IC50,96600.0,nM,4.01,,CHEMBL1676902,9,CHEMBL2354,CHEMBL1671779,8gsq,P00441
CHEMBL1672029,Clc1nnc(Nc2cc[nH]n2)c2cc3ccccc3cc12,IC50,103300.0,nM,,,CHEMBL1676902,9,CHEMBL2354,CHEMBL1671779,8gsq,P00441
CHEMBL2179266,Clc1nnc(NCCCn2ccnc2)c2ccccc12,IC50,83120.0,nM,4.08,,CHEMBL2183508,9,CHEMBL2354,CHEMBL2176896,8gsq,P00441
CHEMBL2179265,c1ccc2c(NCCCn3ccnc3)nnc(NCCCn3ccnc3)c2c1,IC50,65980.0,nM,4.18,,CHEMBL2183508,9,CHEMBL2354,CHEMBL2176896,8gsq,P00441
CHEMBL2179268,Clc1nnc(NCCc2c[nH]cn2)c2ccccc12,IC50,71460.0,nM,4.15,,CHEMBL2183508,9,CHEMBL2354,CHEMBL2176896,8gsq,P00441
CHEMBL2179267,c1ccc2c(NCCc3c[nH]cn3)nnc(NCCc3c[nH]cn3)c2c1,IC50,125320.0,nM,,,CHEMBL2183508,9,CHEMBL2354,CHEMBL2176896,8gsq,P00441
CHEMBL2335502,Cl.c1cncc(CNCCN2CCNCc3cccc(n3)CNCC2)c1,IC50,641000.0,nM,,,CHEMBL2344098,9,CHEMBL2354,CHEMBL2331406,8gsq,P00441
CHEMBL2335502,Cl.c1cncc(CNCCN2CCNCc3cccc(n3)CNCC2)c1,IC50,641000.0,nM,,,CHEMBL2344098,9,CHEMBL2354,CHEMBL2331406,8gsq,P00441
CHEMBL2335501,Cl.c1ccc(CNCCN2CCNCc3cccc(n3)CNCC2)nc1,IC50,178500.0,nM,,,CHEMBL2344098,9,CHEMBL2354,CHEMBL2331406,8gsq,P00441
CHEMBL2335501,Cl.c1ccc(CNCCN2CCNCc3cccc(n3)CNCC2)nc1,IC50,178500.0,nM,,,CHEMBL2344098,9,CHEMBL2354,CHEMBL2331406,8gsq,P00441
