molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL192928,CC(C)(C)c1ccc(C(=O)Nc2[nH]nc3c2CN(C(=O)Cc2ccsc2)C3)cc1,IC50,5.0,nM,8.3,,CHEMBL827045,8,CHEMBL4722,CHEMBL1143616,8guw,O14965
CHEMBL191816,CC(C)(C)c1ccc(C(=O)Nc2n[nH]c3c2CN(C(=O)c2ccco2)C3)cc1,IC50,41.0,nM,7.39,,CHEMBL827045,8,CHEMBL4722,CHEMBL1143616,8guw,O14965
CHEMBL191816,CC(C)(C)c1ccc(C(=O)Nc2n[nH]c3c2CN(C(=O)c2ccco2)C3)cc1,IC50,41.0,nM,7.39,,CHEMBL827045,8,CHEMBL4722,CHEMBL1143616,8guw,O14965
CHEMBL192575,CC(C)(C)c1ccc(C(=O)Nc2n[nH]c3c2CN(C(=O)Cc2ccccc2)C3)cc1,IC50,130.0,nM,6.89,,CHEMBL827045,8,CHEMBL4722,CHEMBL1143616,8guw,O14965
CHEMBL192575,CC(C)(C)c1ccc(C(=O)Nc2n[nH]c3c2CN(C(=O)Cc2ccccc2)C3)cc1,IC50,130.0,nM,6.89,,CHEMBL827045,8,CHEMBL4722,CHEMBL1143616,8guw,O14965
CHEMBL191402,CCc1cccc(CC)c1NC(=O)N1Cc2[nH]nc(NC(=O)c3ccc(C(C)(C)C)cc3)c2C1,IC50,100.0,nM,7.0,,CHEMBL827045,8,CHEMBL4722,CHEMBL1143616,8guw,O14965
CHEMBL191402,CCc1cccc(CC)c1NC(=O)N1Cc2[nH]nc(NC(=O)c3ccc(C(C)(C)C)cc3)c2C1,IC50,100.0,nM,7.0,,CHEMBL827045,8,CHEMBL4722,CHEMBL1143616,8guw,O14965
CHEMBL363857,CN1CCN(c2ccc(C(=O)Nc3[nH]nc4c3CN(C(=O)Cc3ccsc3)C4)cc2)CC1,IC50,65.0,nM,7.19,,CHEMBL827045,8,CHEMBL4722,CHEMBL1143616,8guw,O14965
CHEMBL427170,CN1CCN(c2ccc(C(=O)Nc3n[nH]c4c3CN(C(=O)c3ccco3)C4)cc2)CC1,IC50,160.0,nM,6.8,,CHEMBL827045,8,CHEMBL4722,CHEMBL1143616,8guw,O14965
CHEMBL427170,CN1CCN(c2ccc(C(=O)Nc3n[nH]c4c3CN(C(=O)c3ccco3)C4)cc2)CC1,IC50,160.0,nM,6.8,,CHEMBL827045,8,CHEMBL4722,CHEMBL1143616,8guw,O14965
