molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL514849,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)[C@H](C)N)C(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCCNC(=N)N)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(N)=O,IC50,10484.0,nM,4.98,,CHEMBL944465,8,CHEMBL1793,CHEMBL1156459,8gw8,Q03431
CHEMBL526677,CCCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)C(C)(C)NC(=O)[C@@H](NC(=O)C(C)(C)N)C(C)C)[C@@H](C)CC)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCCNC(=O)c1ccccc1-c1c2ccc(=O)cc-2oc2cc(O)ccc12)C(=O)N[C@@H](Cc1ccc(O)cc1)C(N)=O,IC50,13.5,nM,7.87,,CHEMBL944465,8,CHEMBL1793,CHEMBL1156459,8gw8,Q03431
CHEMBL525069,CCCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)C(C)(C)NC(=O)[C@@H](NC(=O)C(C)(C)N)C(C)C)[C@@H](C)CC)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CCCCNC(=O)c1ccccc1-c1c2ccc(=O)cc-2oc2cc(O)ccc12)C(N)=O,IC50,98.2,nM,7.01,,CHEMBL944465,8,CHEMBL1793,CHEMBL1156459,8gw8,Q03431
CHEMBL506126,CCCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)C(C)(C)NC(=O)[C@@H](NC(=O)C(C)(C)N)C(C)C)[C@@H](C)CC)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1ccc(O)cc1)C(N)=O,IC50,6.87,nM,8.16,,CHEMBL944465,8,CHEMBL1793,CHEMBL1156459,8gw8,Q03431
CHEMBL506126,CCCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)C(C)(C)NC(=O)[C@@H](NC(=O)C(C)(C)N)C(C)C)[C@@H](C)CC)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1ccc(O)cc1)C(N)=O,IC50,6.87,nM,8.16,,CHEMBL944465,8,CHEMBL1793,CHEMBL1156459,8gw8,Q03431
CHEMBL506126,CCCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)C(C)(C)NC(=O)[C@@H](NC(=O)C(C)(C)N)C(C)C)[C@@H](C)CC)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1ccc(O)cc1)C(N)=O,IC50,6.87,nM,8.16,,CHEMBL944465,8,CHEMBL1793,CHEMBL1156459,8gw8,Q03431
CHEMBL526530,CCCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)C(C)(C)NC(=O)[C@@H](NC(=O)C(C)(C)N)C(C)C)[C@@H](C)CC)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCCNC(=N)N)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1ccc(O)cc1)C(N)=O,IC50,7.2,nM,8.14,,CHEMBL944465,8,CHEMBL1793,CHEMBL1156459,8gw8,Q03431
CHEMBL450474,CCCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)[C@H](C)N)C(C)C)[C@@H](C)CC)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCCNC(=N)N)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1ccc(O)cc1)C(N)=O,IC50,10560.0,nM,4.98,,CHEMBL944465,8,CHEMBL1793,CHEMBL1156459,8gw8,Q03431
CHEMBL499651,CCCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)[C@H](C)N)C(C)C)[C@@H](C)CC)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCCNC(=N)N)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](Cc1ccc(O)cc1)C(N)=O,IC50,2187.0,nM,5.66,,CHEMBL944465,8,CHEMBL1793,CHEMBL1156459,8gw8,Q03431
CHEMBL505612,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)[C@H](C)N)C(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCCNC(=N)N)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCCNC(=O)c1ccccc1-c1c2ccc(=O)cc-2oc2cc(O)ccc12)C(N)=O,IC50,10130.0,nM,4.99,,CHEMBL944465,8,CHEMBL1793,CHEMBL1156459,8gw8,Q03431
CHEMBL515170,CC[C@@H]1O[C@](/C=C/C2CC2)(C(F)(F)F)c2c(ccc(F)c2F)NC1=O,IC50,990.0,nM,6.0,,CHEMBL944465,8,CHEMBL1793,CHEMBL1156459,8gw8,Q03431
CHEMBL515170,CC[C@@H]1O[C@](/C=C/C2CC2)(C(F)(F)F)c2c(ccc(F)c2F)NC1=O,IC50,990.0,nM,6.0,,CHEMBL944465,8,CHEMBL1793,CHEMBL1156459,8gw8,Q03431
CHEMBL515170,CC[C@@H]1O[C@](/C=C/C2CC2)(C(F)(F)F)c2c(ccc(F)c2F)NC1=O,IC50,990.0,nM,6.0,,CHEMBL944465,8,CHEMBL1793,CHEMBL1156459,8gw8,Q03431
CHEMBL515170,CC[C@@H]1O[C@](/C=C/C2CC2)(C(F)(F)F)c2c(ccc(F)c2F)NC1=O,IC50,5780.0,nM,5.24,,CHEMBL945435,8,CHEMBL1793,CHEMBL1156459,8gw8,Q03431
CHEMBL515170,CC[C@@H]1O[C@](/C=C/C2CC2)(C(F)(F)F)c2c(ccc(F)c2F)NC1=O,IC50,5780.0,nM,5.24,,CHEMBL945435,8,CHEMBL1793,CHEMBL1156459,8gw8,Q03431
CHEMBL515170,CC[C@@H]1O[C@](/C=C/C2CC2)(C(F)(F)F)c2c(ccc(F)c2F)NC1=O,IC50,5780.0,nM,5.24,,CHEMBL945435,8,CHEMBL1793,CHEMBL1156459,8gw8,Q03431
CHEMBL515170,CC[C@@H]1O[C@](/C=C/C2CC2)(C(F)(F)F)c2c(ccc(F)c2F)NC1=O,IC50,68000.0,nM,4.17,,CHEMBL945436,8,CHEMBL1793,CHEMBL1156459,8gw8,Q03431
CHEMBL515170,CC[C@@H]1O[C@](/C=C/C2CC2)(C(F)(F)F)c2c(ccc(F)c2F)NC1=O,IC50,68000.0,nM,4.17,,CHEMBL945436,8,CHEMBL1793,CHEMBL1156459,8gw8,Q03431
CHEMBL515170,CC[C@@H]1O[C@](/C=C/C2CC2)(C(F)(F)F)c2c(ccc(F)c2F)NC1=O,IC50,68000.0,nM,4.17,,CHEMBL945436,8,CHEMBL1793,CHEMBL1156459,8gw8,Q03431
