molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL328907,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](Cc1ccc(OP(=O)(O)O)cc1)NC(C)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)O,IC50,100000.0,nM,,,CHEMBL764641,8,CHEMBL3864,CHEMBL1129087,8gww,Q06124
CHEMBL2092743,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)C(Cc1ccc(OP(=O)(O)O)cc1)c1ccccc1)C(=O)N[C@@H](CCC(=O)O)C(=O)O,IC50,100000.0,nM,,,CHEMBL764641,8,CHEMBL3864,CHEMBL1129087,8gww,Q06124
CHEMBL438997,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(OP(=O)(O)O)cc1)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(C)C)NC(C)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(N)=O)C(C)C,IC50,1540.0,nM,5.81,,CHEMBL805163,8,CHEMBL3864,CHEMBL1128327,8gww,Q06124
CHEMBL263010,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(OC(C(=O)O)C(=O)O)cc1)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(C)C)NC(C)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(N)=O)C(C)C,IC50,22000.0,nM,4.66,,CHEMBL805163,8,CHEMBL3864,CHEMBL1128327,8gww,Q06124
CHEMBL420456,Nc1nc(N)c2nc(CN3CCN(Cc4ccc(-c5ccccc5)cc4)CC3)nnc2n1,IC50,5000.0,nM,5.3,,CHEMBL812686,8,CHEMBL3864,CHEMBL1136184,8gww,Q06124
CHEMBL96952,Nc1nc(N)c2nc(CN3CCN(Cc4ccccc4)CC3)nnc2n1,IC50,9000.0,nM,5.05,,CHEMBL812686,8,CHEMBL3864,CHEMBL1136184,8gww,Q06124
CHEMBL95255,CCN(CC)Cc1nnc2nc(N)nc(N)c2n1,IC50,14000.0,nM,4.85,,CHEMBL812686,8,CHEMBL3864,CHEMBL1136184,8gww,Q06124
CHEMBL140954,O=P(O)(O)C(F)(F)c1ccc(COc2ccc(OCc3ccc(C(F)(F)P(=O)(O)O)cc3)cc2)cc1,IC50,16000.0,nM,4.8,,CHEMBL801967,8,CHEMBL3864,CHEMBL1134320,8gww,Q06124
CHEMBL344437,N.N.N.N.O=P(O)(O)C(F)(F)c1ccc(COCCOCc2ccc(C(F)(F)P(=O)(O)O)cc2)cc1,IC50,152000.0,nM,,,CHEMBL801967,8,CHEMBL3864,CHEMBL1134320,8gww,Q06124
CHEMBL1161222,O=P(O)(O)C(F)(F)c1ccc(CCCCc2ccc(C(F)(F)P(=O)(O)O)cc2)cc1,IC50,91000.0,nM,4.04,,CHEMBL801967,8,CHEMBL3864,CHEMBL1134320,8gww,Q06124
CHEMBL140524,O=P(O)(O)C(F)(F)c1ccc(COc2cccc(OCc3ccc(C(F)(F)P(=O)(O)O)cc3)c2)cc1,IC50,32000.0,nM,4.5,,CHEMBL801967,8,CHEMBL3864,CHEMBL1134320,8gww,Q06124
CHEMBL337604,O=P(O)(O)C(F)(F)c1ccc(COc2ccccc2OCc2ccc(C(F)(F)P(=O)(O)O)cc2)cc1,IC50,60000.0,nM,4.22,,CHEMBL801967,8,CHEMBL3864,CHEMBL1134320,8gww,Q06124
CHEMBL3144403,NC(=O)C[C@H](NC(=O)C1(NC(=O)[C@@H](N)Cc2ccc(OP(=O)(O)O)c(N)c2)CCCCC1)C(N)=O,IC50,5.0,nM,,,CHEMBL802964,8,CHEMBL3864,CHEMBL1131223,8gww,Q06124
CHEMBL204337,CNC(=O)[C@@H]1Cc2ccc(NS(=O)(=O)O)cc2CN1C(=O)CCc1cccc(NS(=O)(=O)O)c1,IC50,500000.0,nM,,,CHEMBL869489,9,CHEMBL3864,CHEMBL1139672,8gww,Q06124
CHEMBL409618,CC[C@H](C)[C@H](NC(=O)N[C@H]1CCCCNC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2c[nH]c3ccccc23)N(C)C(=O)[C@H](CC(C)C)NC(=O)[C@H]([C@@H](C)CC)NC1=O)C(=O)O,IC50,100000.0,nM,,,CHEMBL854511,9,CHEMBL3864,CHEMBL1145344,8gww,Q06124
