molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL407734,CC(=O)c1ccc2c(c1)Nc1ccccc1S2,IC50,5000.0,nM,5.3,Active,CHEMBL1738361,8,CHEMBL1287627,CHEMBL1201862,8gz3,P04839
CHEMBL407734,CC(=O)c1ccc2c(c1)Nc1ccccc1S2,IC50,5000.0,nM,5.3,Active,CHEMBL1738361,8,CHEMBL1287627,CHEMBL1201862,8gz3,P04839
CHEMBL541018,FC(F)(F)c1ccc2c(c1)Nc1ccccc1S2,IC50,9000.0,nM,5.05,Active,CHEMBL1738361,8,CHEMBL1287627,CHEMBL1201862,8gz3,P04839
CHEMBL1517979,CN(C)c1ccc(/C=N/Nc2c(Cl)cncc2Cl)cc1,IC50,10000.0,nM,,inactive,CHEMBL1738361,8,CHEMBL1287627,CHEMBL1201862,8gz3,P04839
CHEMBL1315444,Oc1c(Br)cc(/C=N/Nc2c(Cl)cncc2Cl)cc1Br,IC50,50000.0,nM,,inactive,CHEMBL1738361,8,CHEMBL1287627,CHEMBL1201862,8gz3,P04839
CHEMBL3347551,C=C(C)C[C@H]1[C@H]2c3c(Br)cccc3[C@H](CC2(C)C)N1Cc1cccs1,IC50,30.0,nM,7.52,,CHEMBL3391333,9,CHEMBL1287627,CHEMBL3390837,8gz3,P04839
CHEMBL3347551,C=C(C)C[C@H]1[C@H]2c3c(Br)cccc3[C@H](CC2(C)C)N1Cc1cccs1,IC50,30.0,nM,7.52,,CHEMBL3391333,9,CHEMBL1287627,CHEMBL3390837,8gz3,P04839
CHEMBL3347551,C=C(C)C[C@H]1[C@H]2c3c(Br)cccc3[C@H](CC2(C)C)N1Cc1cccs1,IC50,30.0,nM,7.52,,CHEMBL3391333,9,CHEMBL1287627,CHEMBL3390837,8gz3,P04839
CHEMBL3347550,C=C(C)C[C@H]1[C@H]2c3c(Br)cccc3[C@H](CC2(C)C)N1CCCCC,IC50,30.0,nM,7.52,,CHEMBL3391333,9,CHEMBL1287627,CHEMBL3390837,8gz3,P04839
CHEMBL3347550,C=C(C)C[C@H]1[C@H]2c3c(Br)cccc3[C@H](CC2(C)C)N1CCCCC,IC50,30.0,nM,7.52,,CHEMBL3391333,9,CHEMBL1287627,CHEMBL3390837,8gz3,P04839
CHEMBL3347550,C=C(C)C[C@H]1[C@H]2c3c(Br)cccc3[C@H](CC2(C)C)N1CCCCC,IC50,30.0,nM,7.52,,CHEMBL3391333,9,CHEMBL1287627,CHEMBL3390837,8gz3,P04839
CHEMBL3347550,C=C(C)C[C@H]1[C@H]2c3c(Br)cccc3[C@H](CC2(C)C)N1CCCCC,IC50,30.0,nM,7.52,,CHEMBL3391333,9,CHEMBL1287627,CHEMBL3390837,8gz3,P04839
CHEMBL3347550,C=C(C)C[C@H]1[C@H]2c3c(Br)cccc3[C@H](CC2(C)C)N1CCCCC,IC50,30.0,nM,7.52,,CHEMBL3391333,9,CHEMBL1287627,CHEMBL3390837,8gz3,P04839
CHEMBL3347550,C=C(C)C[C@H]1[C@H]2c3c(Br)cccc3[C@H](CC2(C)C)N1CCCCC,IC50,30.0,nM,7.52,,CHEMBL3391333,9,CHEMBL1287627,CHEMBL3390837,8gz3,P04839
CHEMBL3347550,C=C(C)C[C@H]1[C@H]2c3c(Br)cccc3[C@H](CC2(C)C)N1CCCCC,IC50,30.0,nM,7.52,,CHEMBL3391333,9,CHEMBL1287627,CHEMBL3390837,8gz3,P04839
CHEMBL3347584,C=C(C)C[C@H]1[C@H]2c3c(Br)cccc3[C@H](CC2(C)C)N1S(=O)(=O)c1ccc(F)cc1,IC50,100000.0,nM,,,CHEMBL3391327,9,CHEMBL1287627,CHEMBL3390837,8gz3,P04839
CHEMBL3347584,C=C(C)C[C@H]1[C@H]2c3c(Br)cccc3[C@H](CC2(C)C)N1S(=O)(=O)c1ccc(F)cc1,IC50,100000.0,nM,,,CHEMBL3391327,9,CHEMBL1287627,CHEMBL3390837,8gz3,P04839
CHEMBL3347584,C=C(C)C[C@H]1[C@H]2c3c(Br)cccc3[C@H](CC2(C)C)N1S(=O)(=O)c1ccc(F)cc1,IC50,100000.0,nM,,,CHEMBL3391327,9,CHEMBL1287627,CHEMBL3390837,8gz3,P04839
CHEMBL3347584,C=C(C)C[C@H]1[C@H]2c3c(Br)cccc3[C@H](CC2(C)C)N1S(=O)(=O)c1ccc(F)cc1,IC50,100000.0,nM,,,CHEMBL3391327,9,CHEMBL1287627,CHEMBL3390837,8gz3,P04839
CHEMBL3347583,C=C(C)C[C@H]1[C@H]2c3c(Br)cccc3[C@H](CC2(C)C)N1S(C)(=O)=O,IC50,27000.0,nM,4.57,,CHEMBL3391327,9,CHEMBL1287627,CHEMBL3390837,8gz3,P04839
CHEMBL3347583,C=C(C)C[C@H]1[C@H]2c3c(Br)cccc3[C@H](CC2(C)C)N1S(C)(=O)=O,IC50,27000.0,nM,4.57,,CHEMBL3391327,9,CHEMBL1287627,CHEMBL3390837,8gz3,P04839
CHEMBL3347583,C=C(C)C[C@H]1[C@H]2c3c(Br)cccc3[C@H](CC2(C)C)N1S(C)(=O)=O,IC50,27000.0,nM,4.57,,CHEMBL3391327,9,CHEMBL1287627,CHEMBL3390837,8gz3,P04839
CHEMBL3347583,C=C(C)C[C@H]1[C@H]2c3c(Br)cccc3[C@H](CC2(C)C)N1S(C)(=O)=O,IC50,27000.0,nM,4.57,,CHEMBL3391327,9,CHEMBL1287627,CHEMBL3390837,8gz3,P04839
CHEMBL3347567,C=C(C)C[C@H]1[C@H]2c3c(-c4ccc(Cl)c(Cl)c4)cccc3[C@H](CC2(C)C)N1CCCCC,IC50,79000.0,nM,4.1,,CHEMBL3391327,9,CHEMBL1287627,CHEMBL3390837,8gz3,P04839
CHEMBL3347567,C=C(C)C[C@H]1[C@H]2c3c(-c4ccc(Cl)c(Cl)c4)cccc3[C@H](CC2(C)C)N1CCCCC,IC50,79000.0,nM,4.1,,CHEMBL3391327,9,CHEMBL1287627,CHEMBL3390837,8gz3,P04839
CHEMBL3347567,C=C(C)C[C@H]1[C@H]2c3c(-c4ccc(Cl)c(Cl)c4)cccc3[C@H](CC2(C)C)N1CCCCC,IC50,79000.0,nM,4.1,,CHEMBL3391327,9,CHEMBL1287627,CHEMBL3390837,8gz3,P04839
CHEMBL3347567,C=C(C)C[C@H]1[C@H]2c3c(-c4ccc(Cl)c(Cl)c4)cccc3[C@H](CC2(C)C)N1CCCCC,IC50,79000.0,nM,4.1,,CHEMBL3391327,9,CHEMBL1287627,CHEMBL3390837,8gz3,P04839
CHEMBL3347566,C=C(C)C[C@H]1[C@H]2c3c(-c4ccc(Cl)c(Cl)c4)cccc3[C@H](CC2(C)C)N1Cc1ccc2c(c1)OCO2,IC50,100000.0,nM,,,CHEMBL3391327,9,CHEMBL1287627,CHEMBL3390837,8gz3,P04839
