molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL488436,Cc1ncc(-c2ccnc(Nc3ccc(S(C)(=O)=O)cc3)n2)n1C(C)C,IC50,6.0,nM,8.22,,CHEMBL988879,8,CHEMBL3617,CHEMBL1142453,8h6p,P24864
CHEMBL488436,Cc1ncc(-c2ccnc(Nc3ccc(S(C)(=O)=O)cc3)n2)n1C(C)C,IC50,6.0,nM,8.22,,CHEMBL988879,8,CHEMBL3617,CHEMBL1142453,8h6p,P24941
CHEMBL488436,Cc1ncc(-c2ccnc(Nc3ccc(S(C)(=O)=O)cc3)n2)n1C(C)C,IC50,6.0,nM,8.22,,CHEMBL988879,8,CHEMBL3617,CHEMBL1142453,8h6p,P24941
CHEMBL488436,Cc1ncc(-c2ccnc(Nc3ccc(S(C)(=O)=O)cc3)n2)n1C(C)C,IC50,6.0,nM,8.22,,CHEMBL988879,8,CHEMBL3617,CHEMBL1142453,8h6p,P24941
CHEMBL488436,Cc1ncc(-c2ccnc(Nc3ccc(S(C)(=O)=O)cc3)n2)n1C(C)C,IC50,6.0,nM,8.22,,CHEMBL988879,8,CHEMBL3617,CHEMBL1142453,8h6p,P24941
CHEMBL488436,Cc1ncc(-c2ccnc(Nc3ccc(S(C)(=O)=O)cc3)n2)n1C(C)C,IC50,6.0,nM,8.22,,CHEMBL988879,8,CHEMBL3617,CHEMBL1142453,8h6p,P24941
CHEMBL488436,Cc1ncc(-c2ccnc(Nc3ccc(S(C)(=O)=O)cc3)n2)n1C(C)C,IC50,6.0,nM,8.22,,CHEMBL988879,8,CHEMBL3617,CHEMBL1142453,8h6p,P24941
CHEMBL488436,Cc1ncc(-c2ccnc(Nc3ccc(S(C)(=O)=O)cc3)n2)n1C(C)C,IC50,6.0,nM,8.22,,CHEMBL988879,8,CHEMBL3617,CHEMBL1142453,8h6p,P24941
CHEMBL5653589,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2nn(C)cc12,Kd,14.99,nM,7.82,,CHEMBL5651056,9,CHEMBL3617,CHEMBL5649169,8h6p,P24864
CHEMBL3752910,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2c1cnn2C,Kd,74.76,nM,7.13,,CHEMBL5651056,9,CHEMBL3617,CHEMBL5649169,8h6p,P24864
CHEMBL3752910,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2c1cnn2C,Kd,74.76,nM,7.13,,CHEMBL5651056,9,CHEMBL3617,CHEMBL5649169,8h6p,P24941
