molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL183937,Cc1cc(O)c(C(=O)CCc2ccc3occc3c2)c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c1,IC50,11.0,nM,7.96,,CHEMBL863286,9,CHEMBL3884,CHEMBL1141232,8hb0,P31639
CHEMBL183937,Cc1cc(O)c(C(=O)CCc2ccc3occc3c2)c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c1,IC50,11.0,nM,7.96,,CHEMBL863286,9,CHEMBL3884,CHEMBL1141232,8hb0,P31639
CHEMBL183937,Cc1cc(O)c(C(=O)CCc2ccc3occc3c2)c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c1,IC50,11.0,nM,7.96,,CHEMBL863286,9,CHEMBL3884,CHEMBL1141232,8hb0,P31639
CHEMBL183937,Cc1cc(O)c(C(=O)CCc2ccc3occc3c2)c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c1,IC50,11.0,nM,7.96,,CHEMBL863286,9,CHEMBL3884,CHEMBL1141232,8hb0,P31639
CHEMBL183937,Cc1cc(O)c(C(=O)CCc2ccc3occc3c2)c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c1,IC50,11.0,nM,7.96,,CHEMBL863286,9,CHEMBL3884,CHEMBL1141232,8hb0,P31639
CHEMBL183937,Cc1cc(O)c(C(=O)CCc2ccc3occc3c2)c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c1,IC50,11.0,nM,7.96,,CHEMBL863286,9,CHEMBL3884,CHEMBL1141232,8hb0,P31639
CHEMBL371448,Cc1cc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c2c(CCc3ccc4occc4c3)n[nH]c2c1,IC50,491.0,nM,6.31,,CHEMBL863286,9,CHEMBL3884,CHEMBL1141232,8hb0,P31639
CHEMBL382302,Cc1cc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c2c(CCc3ccc4c(c3)CCO4)n[nH]c2c1,IC50,458.0,nM,6.34,,CHEMBL863286,9,CHEMBL3884,CHEMBL1141232,8hb0,P31639
CHEMBL382319,CCc1cc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c2c(CCc3ccc4c(c3)CCO4)n[nH]c2c1,IC50,532.0,nM,6.27,,CHEMBL863286,9,CHEMBL3884,CHEMBL1141232,8hb0,P31639
CHEMBL200608,Cc1cc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c2c(CCc3ccc4c(c3)CCO4)nn(C)c2c1,IC50,754.0,nM,6.12,,CHEMBL863286,9,CHEMBL3884,CHEMBL1141232,8hb0,P31639
CHEMBL200438,OC[C@H]1O[C@@H](Oc2cccc3[nH]cc(CCc4ccc5c(c4)CCO5)c23)[C@H](O)[C@@H](O)[C@@H]1O,IC50,24.0,nM,7.62,,CHEMBL863286,9,CHEMBL3884,CHEMBL1141232,8hb0,P31639
CHEMBL200438,OC[C@H]1O[C@@H](Oc2cccc3[nH]cc(CCc4ccc5c(c4)CCO5)c23)[C@H](O)[C@@H](O)[C@@H]1O,IC50,24.0,nM,7.62,,CHEMBL863286,9,CHEMBL3884,CHEMBL1141232,8hb0,P31639
CHEMBL434175,Cn1cc(CCc2ccc3c(c2)CCO3)c2c(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cccc21,IC50,67.0,nM,7.17,,CHEMBL863286,9,CHEMBL3884,CHEMBL1141232,8hb0,P31639
CHEMBL200394,COc1ccc(CCc2c[nH]c3cccc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c23)cc1,IC50,163.0,nM,6.79,,CHEMBL863286,9,CHEMBL3884,CHEMBL1141232,8hb0,P31639
