molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL265470,CC(=O)O.O=C(O)c1ccc2c3c1cccc3c(=O)n1c3ccccc3nc21,IC50,950.0,nM,6.02,Antagonist,CHEMBL1062881,9,CHEMBL4376,CHEMBL1150976,8hlt,Q92630
CHEMBL191384,N#C/C(=C1/Nc2ccccc2S1)c1ccnc(NCCc2cccnc2)n1,IC50,300.0,nM,6.52,Antagonist,CHEMBL1062881,9,CHEMBL4376,CHEMBL1150976,8hlt,Q92630
CHEMBL269538,COc1ccc2c(c1)[nH]c1c(C)nccc12,IC50,900.0,nM,6.05,Antagonist,CHEMBL1062881,9,CHEMBL4376,CHEMBL1150976,8hlt,Q92630
CHEMBL269538,COc1ccc2c(c1)[nH]c1c(C)nccc12,IC50,900.0,nM,6.05,Antagonist,CHEMBL1062881,9,CHEMBL4376,CHEMBL1150976,8hlt,Q92630
CHEMBL269538,COc1ccc2c(c1)[nH]c1c(C)nccc12,IC50,900.0,nM,6.05,Antagonist,CHEMBL1062881,9,CHEMBL4376,CHEMBL1150976,8hlt,Q92630
CHEMBL269538,COc1ccc2c(c1)[nH]c1c(C)nccc12,IC50,900.0,nM,6.05,Antagonist,CHEMBL1062881,9,CHEMBL4376,CHEMBL1150976,8hlt,Q92630
CHEMBL269538,COc1ccc2c(c1)[nH]c1c(C)nccc12,IC50,900.0,nM,6.05,Antagonist,CHEMBL1062881,9,CHEMBL4376,CHEMBL1150976,8hlt,Q92630
CHEMBL269538,COc1ccc2c(c1)[nH]c1c(C)nccc12,IC50,900.0,nM,6.05,Antagonist,CHEMBL1062881,9,CHEMBL4376,CHEMBL1150976,8hlt,Q92630
CHEMBL269538,COc1ccc2c(c1)[nH]c1c(C)nccc12,IC50,900.0,nM,6.05,Antagonist,CHEMBL1062881,9,CHEMBL4376,CHEMBL1150976,8hlt,Q92630
CHEMBL269538,COc1ccc2c(c1)[nH]c1c(C)nccc12,IC50,900.0,nM,6.05,Antagonist,CHEMBL1062881,9,CHEMBL4376,CHEMBL1150976,8hlt,Q92630
CHEMBL269538,COc1ccc2c(c1)[nH]c1c(C)nccc12,IC50,900.0,nM,6.05,Antagonist,CHEMBL1062881,9,CHEMBL4376,CHEMBL1150976,8hlt,Q92630
CHEMBL269538,COc1ccc2c(c1)[nH]c1c(C)nccc12,IC50,900.0,nM,6.05,Antagonist,CHEMBL1062881,9,CHEMBL4376,CHEMBL1150976,8hlt,Q92630
CHEMBL269538,COc1ccc2c(c1)[nH]c1c(C)nccc12,IC50,900.0,nM,6.05,Antagonist,CHEMBL1062881,9,CHEMBL4376,CHEMBL1150976,8hlt,Q92630
CHEMBL269538,COc1ccc2c(c1)[nH]c1c(C)nccc12,IC50,900.0,nM,6.05,Antagonist,CHEMBL1062881,9,CHEMBL4376,CHEMBL1150976,8hlt,Q92630
CHEMBL269538,COc1ccc2c(c1)[nH]c1c(C)nccc12,IC50,900.0,nM,6.05,Antagonist,CHEMBL1062881,9,CHEMBL4376,CHEMBL1150976,8hlt,Q92630
CHEMBL37139,COc1ccc(/C=C/c2ccc3ccc(C(=O)O)c(O)c3n2)cc1O,IC50,1100.0,nM,5.96,,CHEMBL1106600,8,CHEMBL4376,CHEMBL1157927,8hlt,Q92630
CHEMBL81714,O=C(NCc1ccc(O)cc1O)c1ccc2ccc(C(=O)O)c(O)c2n1,IC50,6300.0,nM,5.2,,CHEMBL1106600,8,CHEMBL4376,CHEMBL1157927,8hlt,Q92630
CHEMBL1803075,CCCNC1=N/C(=C\c2cc(OC)c(OC)c(OC)c2)C(=O)N1C,IC50,10000.0,nM,,,CHEMBL1805100,9,CHEMBL4376,CHEMBL1800025,8hlt,Q92630
CHEMBL1803076,CCCNC1=N/C(=C\c2ccccc2O)C(=O)N1C,IC50,10000.0,nM,,,CHEMBL1805100,9,CHEMBL4376,CHEMBL1800025,8hlt,Q92630
CHEMBL1803079,CCCNC1=N/C(=C\c2ccc3c(c2)OCO3)C(=O)N1,IC50,120.0,nM,6.92,,CHEMBL1805100,9,CHEMBL4376,CHEMBL1800025,8hlt,Q92630
CHEMBL1803079,CCCNC1=N/C(=C\c2ccc3c(c2)OCO3)C(=O)N1,IC50,120.0,nM,6.92,,CHEMBL1805100,9,CHEMBL4376,CHEMBL1800025,8hlt,Q92630
CHEMBL1803080,CCCNC1=N/C(=C\c2ccc3c(c2)OCO3)C(=O)N1CCC,IC50,2100.0,nM,5.68,,CHEMBL1805100,9,CHEMBL4376,CHEMBL1800025,8hlt,Q92630
CHEMBL1803080,CCCNC1=N/C(=C\c2ccc3c(c2)OCO3)C(=O)N1CCC,IC50,2100.0,nM,5.68,,CHEMBL1805100,9,CHEMBL4376,CHEMBL1800025,8hlt,Q92630
CHEMBL1803081,CCCNC1=N/C(=C\c2ccc3c(c2)OCO3)C(=O)N1c1ccccc1,IC50,10000.0,nM,,,CHEMBL1805100,9,CHEMBL4376,CHEMBL1800025,8hlt,Q92630
CHEMBL1803081,CCCNC1=N/C(=C\c2ccc3c(c2)OCO3)C(=O)N1c1ccccc1,IC50,10000.0,nM,,,CHEMBL1805100,9,CHEMBL4376,CHEMBL1800025,8hlt,Q92630
CHEMBL1803082,CCNC1=N/C(=C\c2ccc3c(c2)OCO3)C(=O)N1,IC50,160.0,nM,6.8,,CHEMBL1805100,9,CHEMBL4376,CHEMBL1800025,8hlt,Q92630
CHEMBL1803082,CCNC1=N/C(=C\c2ccc3c(c2)OCO3)C(=O)N1,IC50,160.0,nM,6.8,,CHEMBL1805100,9,CHEMBL4376,CHEMBL1800025,8hlt,Q92630
CHEMBL1803083,O=C1NC(NCC2CC2)=N/C1=C\c1ccc2c(c1)OCO2,IC50,47.0,nM,7.33,,CHEMBL1805100,9,CHEMBL4376,CHEMBL1800025,8hlt,Q92630
