molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL240429,c1ccc(-c2oc3nccc(NC[C@@H]4CCCO4)c3c2-c2ccccc2)cc1,IC50,110.0,nM,6.96,,CHEMBL903616,8,CHEMBL4599,CHEMBL1139139,8hmt,Q07912
CHEMBL240429,c1ccc(-c2oc3nccc(NC[C@@H]4CCCO4)c3c2-c2ccccc2)cc1,IC50,110.0,nM,6.96,,CHEMBL903616,8,CHEMBL4599,CHEMBL1139139,8hmt,Q07912
CHEMBL239591,c1ccc(-c2c(-c3ccc(OCCN4CCCCC4)cc3)oc3nccc(NCCCn4ccnc4)c23)cc1,IC50,930.0,nM,6.03,,CHEMBL903616,8,CHEMBL4599,CHEMBL1139139,8hmt,Q07912
CHEMBL437754,c1ccc(-c2c(-c3ccc(OCCN4CCCCC4)cc3)oc3nccc(NCCc4cccnc4)c23)cc1,IC50,20.0,nM,7.7,,CHEMBL903616,8,CHEMBL4599,CHEMBL1139139,8hmt,Q07912
CHEMBL427687,c1ccc(-c2c(-c3ccc(OCCN4CCCCC4)cc3)oc3nccc(NCCc4ccncc4)c23)cc1,IC50,180.0,nM,6.75,,CHEMBL903616,8,CHEMBL4599,CHEMBL1139139,8hmt,Q07912
CHEMBL393596,c1ccc(-c2c(-c3ccc(OCCN4CCCCC4)cc3)oc3nccc(NCCN4CCNCC4)c23)cc1,IC50,120.0,nM,6.92,,CHEMBL903616,8,CHEMBL4599,CHEMBL1139139,8hmt,Q07912
CHEMBL239590,CC(C)N(CCOc1ccc(-c2oc3nccc(NCCN4CCNCC4)c3c2-c2ccccc2)cc1)C(C)C,IC50,180.0,nM,6.75,,CHEMBL903616,8,CHEMBL4599,CHEMBL1139139,8hmt,Q07912
CHEMBL240432,c1ccc(-c2c(-c3ccc(OCCn4ccnc4)cc3)oc3nccc(NCCN4CCNCC4)c23)cc1,IC50,84.0,nM,7.08,,CHEMBL903616,8,CHEMBL4599,CHEMBL1139139,8hmt,Q07912
CHEMBL240431,c1ccc(-c2c(-c3ccc(OCCN4CCCC4)cc3)oc3nccc(NCCN4CCNCC4)c23)cc1,IC50,170.0,nM,6.77,,CHEMBL903616,8,CHEMBL4599,CHEMBL1139139,8hmt,Q07912
CHEMBL240430,c1ccc(-c2c(-c3ccc(OCCN4CCOCC4)cc3)oc3nccc(NCCN4CCNCC4)c23)cc1,IC50,150.0,nM,6.82,,CHEMBL903616,8,CHEMBL4599,CHEMBL1139139,8hmt,Q07912
CHEMBL392990,c1ccc(-c2oc3nccc(NCCN4CCNCC4)c3c2-c2ccccc2)cc1,IC50,420.0,nM,6.38,,CHEMBL903616,8,CHEMBL4599,CHEMBL1139139,8hmt,Q07912
CHEMBL247068,c1ccc(-c2oc3ncnc(NC[C@H]4CCCO4)c3c2-c2ccccc2)cc1,IC50,523.0,nM,6.28,,CHEMBL903634,8,CHEMBL4599,CHEMBL1139142,8hmt,Q07912
CHEMBL247866,CC(C)Nc1ncnc2oc(-c3ccc(OCCN4CCCC4)cc3)c(-c3ccccc3)c12,IC50,78.0,nM,7.11,,CHEMBL903634,8,CHEMBL4599,CHEMBL1139142,8hmt,Q07912
CHEMBL399008,CC(C)(C)Nc1ncnc2oc(-c3ccc(OCCN4CCCC4)cc3)c(-c3ccccc3)c12,IC50,650.0,nM,6.19,,CHEMBL903634,8,CHEMBL4599,CHEMBL1139142,8hmt,Q07912
CHEMBL247667,c1ccc(CCNc2ncnc3oc(-c4ccc(OCCN5CCCC5)cc4)c(-c4ccccc4)c23)cc1,IC50,1.0,nM,9.0,,CHEMBL903634,8,CHEMBL4599,CHEMBL1139142,8hmt,Q07912
CHEMBL247469,c1ccc(-c2c(-c3ccc(OCCN4CCCC4)cc3)oc3ncnc(NCCC4CCNCC4)c23)cc1,IC50,332.0,nM,6.48,,CHEMBL903634,8,CHEMBL4599,CHEMBL1139142,8hmt,Q07912
