molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL4226235,O=C(NO)C1CN(CCCO)CCN1S(=O)(=O)c1ccccc1,IC50,50000.0,nM,,,CHEMBL4224043,9,CHEMBL4295876,CHEMBL4219245,8ho4,Q76NL8
CHEMBL4225657,CCCCN1CCN(S(=O)(=O)c2ccccc2)C(C(=O)NO)C1,IC50,30000.0,nM,4.52,,CHEMBL4224043,9,CHEMBL4295876,CHEMBL4219245,8ho4,Q76NL8
CHEMBL4226498,O=C(NO)C1CN(C(=O)c2ccccc2)CCN1S(=O)(=O)c1ccccc1,IC50,40000.0,nM,4.4,,CHEMBL4224043,9,CHEMBL4295876,CHEMBL4219245,8ho4,Q76NL8
CHEMBL4225755,O=C(NO)C1CN(C(=O)c2cccc(F)c2)CCN1S(=O)(=O)c1ccccc1,IC50,50000.0,nM,,,CHEMBL4224043,9,CHEMBL4295876,CHEMBL4219245,8ho4,Q76NL8
CHEMBL4225711,O=C(NO)C1CN(C(=O)c2ccc(F)cc2)CCN1S(=O)(=O)c1ccccc1,IC50,50000.0,nM,,,CHEMBL4224043,9,CHEMBL4295876,CHEMBL4219245,8ho4,Q76NL8
CHEMBL4227329,O=C(NO)C1CN(C(=O)c2ccccc2Br)CCN1S(=O)(=O)c1ccccc1,IC50,7000.0,nM,5.16,,CHEMBL4224043,9,CHEMBL4295876,CHEMBL4219245,8ho4,Q76NL8
CHEMBL4227787,O=C(NO)C1CN(C(=O)c2ccc(Br)cc2)CCN1S(=O)(=O)c1ccccc1,IC50,13000.0,nM,4.89,,CHEMBL4224043,9,CHEMBL4295876,CHEMBL4219245,8ho4,Q76NL8
CHEMBL4226440,O=C(NO)C1CN(C(=O)c2ccc(Cl)c(Cl)c2)CCN1S(=O)(=O)c1ccccc1,IC50,5000.0,nM,5.3,,CHEMBL4224043,9,CHEMBL4295876,CHEMBL4219245,8ho4,Q76NL8
CHEMBL4227286,O=C(NO)C1CN(C(=O)c2ccc(-c3ccccc3)cc2)CCN1S(=O)(=O)c1ccccc1,IC50,8000.0,nM,5.1,,CHEMBL4224043,9,CHEMBL4295876,CHEMBL4219245,8ho4,Q76NL8
CHEMBL4228814,COc1ccc(S(=O)(=O)N2CCN(S(=O)(=O)c3ccccc3)CC2C(=O)NO)cc1,IC50,50000.0,nM,,,CHEMBL4224043,9,CHEMBL4295876,CHEMBL4219245,8ho4,Q76NL8
CHEMBL421644,COc1ccc(S(=O)(=O)N2CCN(C(=O)c3ccccc3)CC2C(=O)NO)cc1,IC50,50000.0,nM,,,CHEMBL4224043,9,CHEMBL4295876,CHEMBL4219245,8ho4,Q76NL8
CHEMBL4228556,COc1ccc(S(=O)(=O)N2CCN(C(=O)c3ccccc3Br)CC2C(=O)NO)cc1,IC50,8000.0,nM,5.1,,CHEMBL4224043,9,CHEMBL4295876,CHEMBL4219245,8ho4,Q76NL8
CHEMBL4227719,COc1ccc(S(=O)(=O)N2CCN(C(=O)c3cccc(Br)c3)CC2C(=O)NO)cc1,IC50,10000.0,nM,5.0,,CHEMBL4224043,9,CHEMBL4295876,CHEMBL4219245,8ho4,Q76NL8
CHEMBL4224730,COc1ccc(S(=O)(=O)N2CCN(C(=O)c3ccc(Br)cc3)CC2C(=O)NO)cc1,IC50,14000.0,nM,4.85,,CHEMBL4224043,9,CHEMBL4295876,CHEMBL4219245,8ho4,Q76NL8
CHEMBL4228497,COc1ccc(S(=O)(=O)N2CCN(C(=O)c3ccc(Cl)c(Cl)c3)CC2C(=O)NO)cc1,IC50,6000.0,nM,5.22,,CHEMBL4224043,9,CHEMBL4295876,CHEMBL4219245,8ho4,Q76NL8
CHEMBL125598,COc1ccc(S(=O)(=O)N2CCN(C(=O)c3ccc(-c4ccccc4)cc3)CC2C(=O)NO)cc1,IC50,10000.0,nM,5.0,,CHEMBL4224043,9,CHEMBL4295876,CHEMBL4219245,8ho4,Q76NL8
CHEMBL4228238,CCC(=O)N1CCN(S(=O)(=O)c2ccc(Br)cc2)C(C(=O)NO)C1,IC50,50000.0,nM,,,CHEMBL4224043,9,CHEMBL4295876,CHEMBL4219245,8ho4,Q76NL8
CHEMBL4225259,O=C(NO)C1CN(C(=O)c2ccccc2)CCN1S(=O)(=O)c1ccc(Br)cc1,IC50,35000.0,nM,4.46,,CHEMBL4224043,9,CHEMBL4295876,CHEMBL4219245,8ho4,Q76NL8
CHEMBL4229016,O=C(NO)C1CN(C(=O)c2cccc(F)c2)CCN1S(=O)(=O)c1ccc(Br)cc1,IC50,31000.0,nM,4.51,,CHEMBL4224043,9,CHEMBL4295876,CHEMBL4219245,8ho4,Q76NL8
CHEMBL4225559,O=C(NO)C1CN(C(=O)c2ccc(F)cc2)CCN1S(=O)(=O)c1ccc(Br)cc1,IC50,16000.0,nM,4.8,,CHEMBL4224043,9,CHEMBL4295876,CHEMBL4219245,8ho4,Q76NL8
CHEMBL4225532,O=C(NO)C1CN(C(=O)c2ccc(-c3ccccc3)cc2)CCN1S(=O)(=O)c1ccc(Br)cc1,IC50,1500.0,nM,5.82,,CHEMBL4224043,9,CHEMBL4295876,CHEMBL4219245,8ho4,Q76NL8
CHEMBL4225532,O=C(NO)C1CN(C(=O)c2ccc(-c3ccccc3)cc2)CCN1S(=O)(=O)c1ccc(Br)cc1,IC50,1500.0,nM,5.82,,CHEMBL4224043,9,CHEMBL4295876,CHEMBL4219245,8ho4,Q76NL8
CHEMBL4225532,O=C(NO)C1CN(C(=O)c2ccc(-c3ccccc3)cc2)CCN1S(=O)(=O)c1ccc(Br)cc1,Ki,3000.0,nM,5.52,,CHEMBL4688199,8,CHEMBL4295876,CHEMBL4680295,8ho4,Q76NL8
CHEMBL4225532,O=C(NO)C1CN(C(=O)c2ccc(-c3ccccc3)cc2)CCN1S(=O)(=O)c1ccc(Br)cc1,Ki,3000.0,nM,5.52,,CHEMBL4688199,8,CHEMBL4295876,CHEMBL4680295,8ho4,Q76NL8
CHEMBL4787612,O=C(NO)C1CN(C(=O)c2ccc(-c3ccccc3)cc2)CCN1S(=O)(=O)c1ccc(I)cc1,Ki,4000.0,nM,5.4,,CHEMBL4688199,8,CHEMBL4295876,CHEMBL4680295,8ho4,Q76NL8
CHEMBL4748768,O=C(NO)C1CN(C(=O)c2ccc(-c3ccccc3)cc2)CCN1S(=O)(=O)c1ccc(-c2ccccc2)cc1,Ki,10000.0,nM,5.0,,CHEMBL4688199,8,CHEMBL4295876,CHEMBL4680295,8ho4,Q76NL8
CHEMBL4760331,O=C(NO)C1CN(C(=O)c2ccc(-c3ccccc3)cc2)CCN1S(=O)(=O)c1ccc(-c2ccsc2)cc1,Ki,11000.0,nM,4.96,,CHEMBL4688199,8,CHEMBL4295876,CHEMBL4680295,8ho4,Q76NL8
CHEMBL4783383,O=C(NO)C1CN(C(=O)c2ccc(I)cc2)CCN1S(=O)(=O)c1ccc(Br)cc1,Ki,25000.0,nM,,,CHEMBL4688199,8,CHEMBL4295876,CHEMBL4680295,8ho4,Q76NL8
CHEMBL4743581,C#Cc1ccc(S(=O)(=O)N2CCN(C(=O)c3ccc(I)cc3)CC2C(=O)NO)cc1,Ki,25000.0,nM,,,CHEMBL4688199,8,CHEMBL4295876,CHEMBL4680295,8ho4,Q76NL8
CHEMBL4744749,O=C(NO)C1CN(C(=O)c2cccc3ccccc23)CCN1S(=O)(=O)c1ccc(Br)cc1,Ki,9000.0,nM,5.05,,CHEMBL4688199,8,CHEMBL4295876,CHEMBL4680295,8ho4,Q76NL8
CHEMBL4759772,O=C(NO)C1CN(C(=O)c2ccc3ccccc3c2)CCN1S(=O)(=O)c1ccc(Br)cc1,Ki,3500.0,nM,5.46,,CHEMBL4688199,8,CHEMBL4295876,CHEMBL4680295,8ho4,Q76NL8
CHEMBL4793336,C#Cc1ccc(S(=O)(=O)N2CCN(C(=O)c3ccc(C(=O)c4ccccc4)cc3)CC2C(=O)NO)cc1,Ki,25000.0,nM,,,CHEMBL4688199,8,CHEMBL4295876,CHEMBL4680295,8ho4,Q76NL8
CHEMBL4786923,O=C(NO)C1CN(Cc2ccc(-c3ccccc3)cc2)CCN1S(=O)(=O)c1ccc(Br)cc1,Ki,5000.0,nM,5.3,,CHEMBL4688199,8,CHEMBL4295876,CHEMBL4680295,8ho4,Q76NL8
CHEMBL4797275,COC(=O)C1CN(Cc2ccc(-c3ccccc3)cc2)CCN1S(=O)(=O)c1ccc(Br)cc1,Ki,4000.0,nM,5.4,,CHEMBL4688199,8,CHEMBL4295876,CHEMBL4680295,8ho4,Q76NL8
CHEMBL4746210,O=C(NO)C1CN(Cc2ccc(-c3ccccc3)cc2)CCN1S(=O)(=O)c1ccc(I)cc1,Ki,4900.0,nM,5.31,,CHEMBL4688199,8,CHEMBL4295876,CHEMBL4680295,8ho4,Q76NL8
CHEMBL4749474,O=C(NO)C1CN(S(=O)(=O)c2ccc(-c3ccccc3)cc2)CCN1S(=O)(=O)c1cccc(Br)c1,Ki,1400.0,nM,5.85,,CHEMBL4688199,8,CHEMBL4295876,CHEMBL4680295,8ho4,Q76NL8
CHEMBL4782486,O=C(NO)C1CN(S(=O)(=O)c2ccc(-c3ccccc3)cc2)CCN1S(=O)(=O)c1cccc(-c2ccccc2)c1,Ki,900.0,nM,6.05,,CHEMBL4688199,8,CHEMBL4295876,CHEMBL4680295,8ho4,Q76NL8
CHEMBL4799253,O=C(NO)C1CN(S(=O)(=O)c2ccc(-c3ccccc3)cc2)CCN1S(=O)(=O)c1ccc(-c2ccccc2)cc1,Ki,220.0,nM,6.66,,CHEMBL4688199,8,CHEMBL4295876,CHEMBL4680295,8ho4,Q76NL8
CHEMBL4753948,COC(=O)C1CN(S(=O)(=O)c2ccc(-c3ccccc3)cc2)CCN1S(=O)(=O)c1ccc(-c2ccccc2)cc1,Ki,2500.0,nM,5.6,,CHEMBL4688199,8,CHEMBL4295876,CHEMBL4680295,8ho4,Q76NL8
CHEMBL4749198,CNC(=O)C1CN(S(=O)(=O)c2ccc(-c3ccccc3)cc2)CCN1S(=O)(=O)c1cccc(-c2cccnc2OC)c1,Ki,4000.0,nM,5.4,,CHEMBL4688199,8,CHEMBL4295876,CHEMBL4680295,8ho4,Q76NL8
CHEMBL4799260,CNC(=O)C1CN(S(=O)(=O)c2ccc(-c3ccccc3)cc2)CCN1S(=O)(=O)c1cccc(/C=C/c2ccccc2)c1,Ki,1000.0,nM,6.0,,CHEMBL4688199,8,CHEMBL4295876,CHEMBL4680295,8ho4,Q76NL8
CHEMBL4785958,CNC(=O)C1CN(S(=O)(=O)c2ccc(-c3ccccc3)cc2)CCN1S(=O)(=O)c1cccc(-c2ccc(C(=O)c3ccccc3)cc2)c1,Ki,1700.0,nM,5.77,,CHEMBL4688199,8,CHEMBL4295876,CHEMBL4680295,8ho4,Q76NL8
CHEMBL4741390,CNC(=O)C1CN(S(=O)(=O)c2ccc(-c3ccccc3)cc2)CCN1S(=O)(=O)c1cccc(CCc2ccccc2)c1,Ki,2500.0,nM,5.6,,CHEMBL4688199,8,CHEMBL4295876,CHEMBL4680295,8ho4,Q76NL8
CHEMBL4743280,COC(=O)C1CN(S(=O)(=O)c2ccc(-c3ccccc3)cc2)CCN1S(=O)(=O)c1ccc(/C=C/c2ccccc2)cc1,Ki,600.0,nM,6.22,,CHEMBL4688199,8,CHEMBL4295876,CHEMBL4680295,8ho4,Q76NL8
