molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL5273333,CC(=O)N1CC(C)(C)N(Cc2ccccc2)c2ccccc21,IC50,57000.0,nM,4.24,,CHEMBL5240592,9,CHEMBL2997,CHEMBL5236647,8hu6,Q01433
CHEMBL5273333,CC(=O)N1CC(C)(C)N(Cc2ccccc2)c2ccccc21,IC50,57000.0,nM,4.24,,CHEMBL5240592,9,CHEMBL2997,CHEMBL5236647,8hu6,Q01433
CHEMBL5290976,CCC(=O)N1CC(C)(C)N(Cc2ccccc2)c2ccccc21,IC50,100000.0,nM,,,CHEMBL5240592,9,CHEMBL2997,CHEMBL5236647,8hu6,Q01433
CHEMBL5286551,CC1(C)CN(S(C)(=O)=O)c2ccccc2N1Cc1ccccc1,IC50,100000.0,nM,,,CHEMBL5240592,9,CHEMBL2997,CHEMBL5236647,8hu6,Q01433
CHEMBL5286990,CNC(=O)N1CC(C)(C)N(Cc2ccccc2)c2ccccc21,IC50,100000.0,nM,,,CHEMBL5240592,9,CHEMBL2997,CHEMBL5236647,8hu6,Q01433
CHEMBL5280447,CC1(C)CN(C(N)=O)c2ccccc2N1Cc1ccccc1,IC50,3000.0,nM,5.52,,CHEMBL5240592,9,CHEMBL2997,CHEMBL5236647,8hu6,Q01433
CHEMBL5280447,CC1(C)CN(C(N)=O)c2ccccc2N1Cc1ccccc1,IC50,3000.0,nM,5.52,,CHEMBL5240592,9,CHEMBL2997,CHEMBL5236647,8hu6,Q01433
CHEMBL5269095,CC1(C)CN(C(N)=O)c2cccc(F)c2N1Cc1ccccc1,IC50,1100.0,nM,5.96,,CHEMBL5240592,9,CHEMBL2997,CHEMBL5236647,8hu6,Q01433
CHEMBL5269095,CC1(C)CN(C(N)=O)c2cccc(F)c2N1Cc1ccccc1,IC50,1100.0,nM,5.96,,CHEMBL5240592,9,CHEMBL2997,CHEMBL5236647,8hu6,Q01433
CHEMBL5284837,CC1(C)CN(C(N)=O)c2ccc(F)cc2N1Cc1ccccc1,IC50,5100.0,nM,5.29,,CHEMBL5240592,9,CHEMBL2997,CHEMBL5236647,8hu6,Q01433
CHEMBL5284837,CC1(C)CN(C(N)=O)c2ccc(F)cc2N1Cc1ccccc1,IC50,5100.0,nM,5.29,,CHEMBL5240592,9,CHEMBL2997,CHEMBL5236647,8hu6,Q01433
CHEMBL5266374,CC1(C)CN(C(N)=O)c2cc(F)ccc2N1Cc1ccccc1,IC50,1900.0,nM,5.72,,CHEMBL5240592,9,CHEMBL2997,CHEMBL5236647,8hu6,Q01433
CHEMBL5266374,CC1(C)CN(C(N)=O)c2cc(F)ccc2N1Cc1ccccc1,IC50,1900.0,nM,5.72,,CHEMBL5240592,9,CHEMBL2997,CHEMBL5236647,8hu6,Q01433
CHEMBL5284646,CC1(C)CN(C(N)=O)c2c(F)cccc2N1Cc1ccccc1,IC50,4000.0,nM,5.4,,CHEMBL5240592,9,CHEMBL2997,CHEMBL5236647,8hu6,Q01433
CHEMBL5284646,CC1(C)CN(C(N)=O)c2c(F)cccc2N1Cc1ccccc1,IC50,4000.0,nM,5.4,,CHEMBL5240592,9,CHEMBL2997,CHEMBL5236647,8hu6,Q01433
CHEMBL5284620,CC1(C)CN(C(N)=O)c2cccc(Cl)c2N1Cc1ccccc1,IC50,1700.0,nM,5.77,,CHEMBL5240592,9,CHEMBL2997,CHEMBL5236647,8hu6,Q01433
CHEMBL5284620,CC1(C)CN(C(N)=O)c2cccc(Cl)c2N1Cc1ccccc1,IC50,1700.0,nM,5.77,,CHEMBL5240592,9,CHEMBL2997,CHEMBL5236647,8hu6,Q01433
CHEMBL5282210,Cc1cccc2c1N(Cc1ccccc1)C(C)(C)CN2C(N)=O,IC50,5000.0,nM,5.3,,CHEMBL5240592,9,CHEMBL2997,CHEMBL5236647,8hu6,Q01433
CHEMBL5282210,Cc1cccc2c1N(Cc1ccccc1)C(C)(C)CN2C(N)=O,IC50,5000.0,nM,5.3,,CHEMBL5240592,9,CHEMBL2997,CHEMBL5236647,8hu6,Q01433
