molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL4214066,CC(C)C[C@H](NC(=O)OC1CCN(C(=O)OC(C)(C)C)CC1)C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O,IC50,600.0,nM,6.22,,CHEMBL4198705,8,CHEMBL4295557,CHEMBL4196085,8hut,K9N7C7
CHEMBL4208240,CC(C)C[C@H](NC(=O)OC1CCN(C(=O)OC(C)(C)C)CC1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(O)S(=O)(=O)[O-].[Na+],IC50,400.0,nM,6.4,,CHEMBL4198705,8,CHEMBL4295557,CHEMBL4196085,8hut,K9N7C7
CHEMBL4209146,CC(C)C[C@H](NC(=O)OC1CCN(S(C)(=O)=O)CC1)C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O,IC50,700.0,nM,6.16,,CHEMBL4198705,8,CHEMBL4295557,CHEMBL4196085,8hut,K9N7C7
CHEMBL4213159,CC(C)C[C@H](NC(=O)OC1CCN(S(C)(=O)=O)CC1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(O)S(=O)(=O)[O-].[Na+],IC50,600.0,nM,6.22,,CHEMBL4198705,8,CHEMBL4295557,CHEMBL4196085,8hut,K9N7C7
CHEMBL4202812,CC(C)C[C@H](NC(=O)OC1(Cc2ccccc2)CCN(C(=O)OC(C)(C)C)CC1)C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O,IC50,800.0,nM,6.1,,CHEMBL4198705,8,CHEMBL4295557,CHEMBL4196085,8hut,K9N7C7
CHEMBL4203883,CC(C)C[C@H](NC(=O)OC1(Cc2ccccc2)CCN(C(=O)OC(C)(C)C)CC1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(O)S(=O)(=O)[O-].[Na+],IC50,700.0,nM,6.16,,CHEMBL4198705,8,CHEMBL4295557,CHEMBL4196085,8hut,K9N7C7
CHEMBL4214471,CC(C)C[C@H](NC(=O)OC1(Cc2ccccc2)CCN(S(C)(=O)=O)CC1)C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O,IC50,700.0,nM,6.16,,CHEMBL4198705,8,CHEMBL4295557,CHEMBL4196085,8hut,K9N7C7
CHEMBL4208764,CC(C)C[C@H](NC(=O)OC1(Cc2ccccc2)CCN(S(C)(=O)=O)CC1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(O)S(=O)(=O)[O-].[Na+],IC50,900.0,nM,6.05,,CHEMBL4198705,8,CHEMBL4295557,CHEMBL4196085,8hut,K9N7C7
CHEMBL4212620,CCC1(OC(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C=O)C[C@@H]2CCNC2=O)CCN(C(=O)OC(C)(C)C)CC1,IC50,6100.0,nM,5.21,,CHEMBL4198705,8,CHEMBL4295557,CHEMBL4196085,8hut,K9N7C7
CHEMBL4216101,CCC1(OC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]2CCNC2=O)C(O)S(=O)(=O)[O-])CCN(C(=O)OC(C)(C)C)CC1.[Na+],IC50,7500.0,nM,5.12,,CHEMBL4198705,8,CHEMBL4295557,CHEMBL4196085,8hut,K9N7C7
CHEMBL4217568,CCOC(=O)N1CCC(OC(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C=O)C[C@@H]2CCNC2=O)CC1,IC50,600.0,nM,6.22,,CHEMBL4198705,8,CHEMBL4295557,CHEMBL4196085,8hut,K9N7C7
CHEMBL4204431,CCOC(=O)N1CCC(OC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]2CCNC2=O)C(O)S(=O)(=O)[O-])CC1.[Na+],IC50,500.0,nM,6.3,,CHEMBL4198705,8,CHEMBL4295557,CHEMBL4196085,8hut,K9N7C7
CHEMBL11350,O=C(NC1=CC=CC2C(=O)C=C(c3nn[nH]n3)OC12)c1ccc(OCCCCc2ccccc2)cc1,IC50,25000.0,nM,4.6,,CHEMBL4393309,8,CHEMBL4295557,CHEMBL4392846,8hut,K9N7C7
CHEMBL11350,O=C(NC1=CC=CC2C(=O)C=C(c3nn[nH]n3)OC12)c1ccc(OCCCCc2ccccc2)cc1,IC50,25000.0,nM,4.6,,CHEMBL4393309,8,CHEMBL4295557,CHEMBL4392846,8hut,K9N7C7
CHEMBL11350,O=C(NC1=CC=CC2C(=O)C=C(c3nn[nH]n3)OC12)c1ccc(OCCCCc2ccccc2)cc1,IC50,25000.0,nM,4.6,,CHEMBL4393309,8,CHEMBL4295557,CHEMBL4392846,8hut,K9N7C7
CHEMBL4475926,Cc1cc(C)n(S(=O)(=O)c2ccc(N)cc2)c(=O)n1,IC50,20000.0,nM,4.7,,CHEMBL4393309,8,CHEMBL4295557,CHEMBL4392846,8hut,K9N7C7
CHEMBL4475926,Cc1cc(C)n(S(=O)(=O)c2ccc(N)cc2)c(=O)n1,IC50,20000.0,nM,4.7,,CHEMBL4393309,8,CHEMBL4295557,CHEMBL4392846,8hut,K9N7C7
CHEMBL4475926,Cc1cc(C)n(S(=O)(=O)c2ccc(N)cc2)c(=O)n1,IC50,20000.0,nM,4.7,,CHEMBL4393309,8,CHEMBL4295557,CHEMBL4392846,8hut,K9N7C7
CHEMBL4447423,Nc1ccc([N+](=O)[O-])cn1,IC50,137000.0,nM,,,CHEMBL4393309,8,CHEMBL4295557,CHEMBL4392846,8hut,K9N7C7
CHEMBL1743207,O=[N+]([O-])c1ccc(Cl)c2nonc12,IC50,141000.0,nM,,,CHEMBL4393309,8,CHEMBL4295557,CHEMBL4392846,8hut,K9N7C7
CHEMBL42423,O=[N+]([O-])c1ccc(O)c(O)c1,IC50,145000.0,nM,,,CHEMBL4393309,8,CHEMBL4295557,CHEMBL4392846,8hut,K9N7C7
CHEMBL222021,O=Cc1ccc(O)c(O)c1,IC50,239000.0,nM,,,CHEMBL4393309,8,CHEMBL4295557,CHEMBL4392846,8hut,K9N7C7
CHEMBL222021,O=Cc1ccc(O)c(O)c1,IC50,239000.0,nM,,,CHEMBL4393309,8,CHEMBL4295557,CHEMBL4392846,8hut,K9N7C7
CHEMBL165012,O=[N+]([O-])c1ccc(N2CCNCC2)cc1,IC50,71600.0,nM,4.14,,CHEMBL4393309,8,CHEMBL4295557,CHEMBL4392846,8hut,K9N7C7
CHEMBL5315124,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23.C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23.O,IC50,7600.0,nM,5.12,Ic50 Mers 3Cl-Pro,CHEMBL4495584,8,CHEMBL4295557,CHEMBL4495564,8hut,K9N7C7
CHEMBL480,Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1,IC50,10000.0,nM,,Ic50 Mers 3Cl-Pro,CHEMBL4495584,8,CHEMBL4295557,CHEMBL4495564,8hut,K9N7C7
CHEMBL1096,CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1,IC50,10000.0,nM,,Ic50 Mers 3Cl-Pro,CHEMBL4495584,8,CHEMBL4295557,CHEMBL4495564,8hut,K9N7C7
CHEMBL178459,Cc1c(-c2cnccn2)ssc1=S,IC50,10000.0,nM,,Ic50 Mers 3Cl-Pro,CHEMBL4495584,8,CHEMBL4295557,CHEMBL4495564,8hut,K9N7C7
CHEMBL178459,Cc1c(-c2cnccn2)ssc1=S,IC50,10000.0,nM,,Ic50 Mers 3Cl-Pro,CHEMBL4495584,8,CHEMBL4295557,CHEMBL4495564,8hut,K9N7C7
CHEMBL3545157,O=c1sn(-c2cccc3ccccc23)c(=O)n1Cc1ccccc1,IC50,10000.0,nM,,Ic50 Mers 3Cl-Pro,CHEMBL4495584,8,CHEMBL4295557,CHEMBL4495564,8hut,K9N7C7
CHEMBL3545157,O=c1sn(-c2cccc3ccccc23)c(=O)n1Cc1ccccc1,IC50,10000.0,nM,,Ic50 Mers 3Cl-Pro,CHEMBL4495584,8,CHEMBL4295557,CHEMBL4495564,8hut,K9N7C7
CHEMBL297453,O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,IC50,10000.0,nM,,Ic50 Mers 3Cl-Pro,CHEMBL4495584,8,CHEMBL4295557,CHEMBL4495564,8hut,K9N7C7
CHEMBL297453,O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,IC50,10000.0,nM,,Ic50 Mers 3Cl-Pro,CHEMBL4495584,8,CHEMBL4295557,CHEMBL4495564,8hut,K9N7C7
CHEMBL1908397,O=C(c1ccc(/C=C/c2n[nH]c3ccccc23)cc1)N1CCNCC1,IC50,3600.0,nM,5.44,Ic50 Mers 3Cl-Pro,CHEMBL4495584,8,CHEMBL4295557,CHEMBL4495564,8hut,K9N7C7
CHEMBL4303595,O=C1C=Cc2cc(Br)ccc2C1=O,IC50,10000.0,nM,,Ic50 Mers 3Cl-Pro,CHEMBL4495584,8,CHEMBL4295557,CHEMBL4495564,8hut,K9N7C7
CHEMBL4303595,O=C1C=Cc2cc(Br)ccc2C1=O,IC50,10000.0,nM,,Ic50 Mers 3Cl-Pro,CHEMBL4495584,8,CHEMBL4295557,CHEMBL4495564,8hut,K9N7C7
CHEMBL444186,CC(CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1,IC50,10000.0,nM,,Ic50 Mers 3Cl-Pro,CHEMBL4495584,8,CHEMBL4295557,CHEMBL4495564,8hut,K9N7C7
