molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL3145394,Cc1[nH]n(C)c(=O)c1C(=O)c1ccc(S(C)(=O)=O)c(C2=NOCC2)c1Cl,IC50,190.0,nM,6.72,,CHEMBL3068208,9,CHEMBL2242740,CHEMBL3046350,8hxh,P93836
CHEMBL2251430,Cc1nc(C)n(O)c1C(=O)c1ccc(S(C)(=O)=O)c(C2=NOCC2)c1Cl,IC50,36.0,nM,7.44,,CHEMBL3068208,9,CHEMBL2242740,CHEMBL3046350,8hxh,P93836
CHEMBL2251516,Cc1cc(C)c(C(=O)c2c(C)nc(C)n2O)c(C)c1,IC50,20000.0,nM,,,CHEMBL3068208,9,CHEMBL2242740,CHEMBL3046350,8hxh,P93836
CHEMBL2251515,Cc1nc(C)n(O)c1C(=O)c1ccc(S(C)(=O)=O)c2ncccc12,IC50,20000.0,nM,,,CHEMBL3068208,9,CHEMBL2242740,CHEMBL3046350,8hxh,P93836
CHEMBL2251514,Cc1nc(C)n(O)c1C(=O)c1ccc(S(C)(=O)=O)cc1Cl,IC50,20000.0,nM,,,CHEMBL3068208,9,CHEMBL2242740,CHEMBL3046350,8hxh,P93836
CHEMBL2251513,CSc1ccc(C(=O)c2c(C)nc(C)n2O)c(C)c1Cl,IC50,20000.0,nM,,,CHEMBL3068208,9,CHEMBL2242740,CHEMBL3046350,8hxh,P93836
CHEMBL2251512,COc1c(S(C)(=O)=O)ccc(C(=O)c2c(C)nc(C)n2O)c1C,IC50,18000.0,nM,4.75,,CHEMBL3068208,9,CHEMBL2242740,CHEMBL3046350,8hxh,P93836
CHEMBL2251444,CCOc1c(S(=O)(=O)CC)ccc(C(=O)c2c(C)[n+]([O-])c(C)n2O)c1Cl,IC50,190.0,nM,6.72,,CHEMBL3068208,9,CHEMBL2242740,CHEMBL3046350,8hxh,P93836
CHEMBL2251443,CCOc1c(S(=O)(=O)CC)ccc(C(=O)c2c(C)nc(-c3ccc(Cl)cc3Cl)n2O)c1Cl,IC50,20000.0,nM,,,CHEMBL3068208,9,CHEMBL2242740,CHEMBL3046350,8hxh,P93836
CHEMBL2251442,CCOc1c(S(=O)(=O)CC)ccc(C(=O)c2c(C)nc(-c3ccccc3)n2O)c1Cl,IC50,20000.0,nM,,,CHEMBL3068208,9,CHEMBL2242740,CHEMBL3046350,8hxh,P93836
CHEMBL2251441,CCOc1c(S(=O)(=O)CC)ccc(C(=O)c2c(C)nc(-c3cccn3C)n2O)c1Cl,IC50,20000.0,nM,,,CHEMBL3068208,9,CHEMBL2242740,CHEMBL3046350,8hxh,P93836
CHEMBL2251440,CCOc1c(S(=O)(=O)CC)ccc(C(=O)c2c(C)nc(-c3cccs3)n2O)c1Cl,IC50,20000.0,nM,,,CHEMBL3068208,9,CHEMBL2242740,CHEMBL3046350,8hxh,P93836
CHEMBL2251439,CCOc1c(S(=O)(=O)CC)ccc(C(=O)c2c(C)nc(C(C)C)n2O)c1Cl,IC50,43.0,nM,7.37,,CHEMBL3068208,9,CHEMBL2242740,CHEMBL3046350,8hxh,P93836
CHEMBL2251438,CCOc1c(S(=O)(=O)CC)ccc(C(=O)c2c(C)nc(CC)n2O)c1Cl,IC50,71.0,nM,7.15,,CHEMBL3068208,9,CHEMBL2242740,CHEMBL3046350,8hxh,P93836
CHEMBL2251437,CCOc1c(S(=O)(=O)CC)ccc(C(=O)c2c(C)nc(C)n2O)c1Cl,IC50,48.0,nM,7.32,,CHEMBL3068208,9,CHEMBL2242740,CHEMBL3046350,8hxh,P93836
CHEMBL2251436,CCOc1c(S(=O)(=O)CC)ccc(C(=O)c2c(C)ncn2O)c1Cl,IC50,20000.0,nM,4.7,,CHEMBL3068208,9,CHEMBL2242740,CHEMBL3046350,8hxh,P93836
CHEMBL2251435,CC(=O)/C(=N/O)C(=O)c1ccc(S(C)(=O)=O)c(C2=NOCC2)c1Cl,IC50,13000.0,nM,4.89,,CHEMBL3068208,9,CHEMBL2242740,CHEMBL3046350,8hxh,P93836
CHEMBL2251434,CSc1ccc(C(=O)/C(=N\O)C(C)=O)c(C)c1Cl,IC50,20000.0,nM,,,CHEMBL3068208,9,CHEMBL2242740,CHEMBL3046350,8hxh,P93836
CHEMBL2251433,COc1c(S(C)(=O)=O)ccc(C(=O)/C(=N\O)C(C)=O)c1C,IC50,20000.0,nM,,,CHEMBL3068208,9,CHEMBL2242740,CHEMBL3046350,8hxh,P93836
CHEMBL2251432,CCOc1c(S(=O)(=O)CC)ccc(C(=O)/C(=N\O)C(C)=O)c1Cl,IC50,20000.0,nM,4.7,,CHEMBL3068208,9,CHEMBL2242740,CHEMBL3046350,8hxh,P93836
CHEMBL1230604,COc1ccc(-c2c(S(C)(=O)=O)ccc(C(=O)c3cnn(C(C)(C)C)c3O)c2C)cc1,IC50,7.0,nM,8.15,,CHEMBL3052706,9,CHEMBL2242740,CHEMBL3046924,8hxh,P93836
CHEMBL1230467,CC(C)(C)n1nc(-c2ccc(Cl)cc2Cl)c(C(=O)c2ccc(S(C)(=O)=O)cc2Cl)c1O,IC50,12.0,nM,7.92,,CHEMBL3052706,9,CHEMBL2242740,CHEMBL3046924,8hxh,P93836
CHEMBL1230467,CC(C)(C)n1nc(-c2ccc(Cl)cc2Cl)c(C(=O)c2ccc(S(C)(=O)=O)cc2Cl)c1O,IC50,12.0,nM,7.92,,CHEMBL3052706,9,CHEMBL2242740,CHEMBL3046924,8hxh,P93836
CHEMBL3810189,CC1(C)C(=O)C(C(=O)CCc2ccccc2)=C(O)C(C)(C)C1=O,IC50,750.0,nM,6.12,,CHEMBL3810621,9,CHEMBL2242740,CHEMBL3808370,8hxh,P93836
CHEMBL1230467,CC(C)(C)n1nc(-c2ccc(Cl)cc2Cl)c(C(=O)c2ccc(S(C)(=O)=O)cc2Cl)c1O,IC50,12.0,nM,7.92,,CHEMBL4049525,9,CHEMBL2242740,CHEMBL4049382,8hxh,P93836
CHEMBL1230467,CC(C)(C)n1nc(-c2ccc(Cl)cc2Cl)c(C(=O)c2ccc(S(C)(=O)=O)cc2Cl)c1O,IC50,12.0,nM,7.92,,CHEMBL4049525,9,CHEMBL2242740,CHEMBL4049382,8hxh,P93836
CHEMBL2252422,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1,IC50,250.0,nM,6.6,,CHEMBL4049526,9,CHEMBL2242740,CHEMBL4049382,8hxh,P93836
CHEMBL4090482,CC(C)CC(=O)C1C(=O)C(C)(C)C(=O)C(C)(C)C1=O,IC50,11800.0,nM,4.93,,CHEMBL4049526,9,CHEMBL2242740,CHEMBL4049382,8hxh,P93836
CHEMBL4062499,CC1(C)C(=O)C(C(=O)CCc2ccccc2)C(=O)C(C)(C)C1=O,IC50,750.0,nM,6.12,,CHEMBL4049526,9,CHEMBL2242740,CHEMBL4049382,8hxh,P93836
CHEMBL4082652,CCCCCCCCCC(=O)C1C(=O)C(C)(C)C(=O)C(C)(C)C1=O,IC50,19.0,nM,7.72,,CHEMBL4049526,9,CHEMBL2242740,CHEMBL4049382,8hxh,P93836
CHEMBL367881,CC(=O)C1=C(O)C=C2Oc3c(C(C)=O)c(O)c(C)c(O)c3[C@@]2(C)C1=O,IC50,70.0,nM,7.16,,CHEMBL4049538,9,CHEMBL2242740,CHEMBL4049382,8hxh,P93836
CHEMBL399910,O=C1C[C@@H](c2ccccc2)Oc2cc(O)cc(O)c21,IC50,73000.0,nM,4.14,,CHEMBL4049538,9,CHEMBL2242740,CHEMBL4049382,8hxh,P93836
CHEMBL1873440,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c([N+](=O)[O-])c1,Ki,13.0,nM,7.89,,CHEMBL4049536,9,CHEMBL2242740,CHEMBL4049382,8hxh,P93836
CHEMBL4102251,CCn1c(=O)n(-c2ccccc2C)c(=O)c2cc(C(=O)C3C(=O)CCCC3=O)ccc21,Ki,5.0,nM,8.3,,CHEMBL4049536,9,CHEMBL2242740,CHEMBL4049382,8hxh,P93836
CHEMBL4080249,Cc1nc2c(C)cccc2cc1C(=O)C1C(=O)CCCC1=O,Ki,7.0,nM,8.15,,CHEMBL4049536,9,CHEMBL2242740,CHEMBL4049382,8hxh,P93836
