molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL346524,O=C(Nc1ccc2ccccc2c1)Nc1cc(Cl)ccc1C(=O)O,IC50,100000.0,nM,,,CHEMBL696972,8,CHEMBL4016,CHEMBL1145950,8i0b,P42262
CHEMBL154700,O=C(Nc1cccc(Br)c1)Nc1cc(Cl)ccc1C(=O)O,IC50,100000.0,nM,,,CHEMBL696972,8,CHEMBL4016,CHEMBL1145950,8i0b,P42262
CHEMBL222519,NS(=O)(=O)c1cccc2c1c([N+](=O)[O-])cc1nc(O)c(O)nc12,IC50,2500.0,nM,5.6,,CHEMBL865015,9,CHEMBL4016,CHEMBL1146072,8i0b,P42262
CHEMBL222519,NS(=O)(=O)c1cccc2c1c([N+](=O)[O-])cc1nc(O)c(O)nc12,IC50,2500.0,nM,5.6,,CHEMBL865015,9,CHEMBL4016,CHEMBL1146072,8i0b,P42262
CHEMBL222519,NS(=O)(=O)c1cccc2c1c([N+](=O)[O-])cc1nc(O)c(O)nc12,IC50,2500.0,nM,5.6,,CHEMBL865015,9,CHEMBL4016,CHEMBL1146072,8i0b,P42262
CHEMBL222519,NS(=O)(=O)c1cccc2c1c([N+](=O)[O-])cc1nc(O)c(O)nc12,IC50,2500.0,nM,5.6,,CHEMBL865015,9,CHEMBL4016,CHEMBL1146072,8i0b,P42262
CHEMBL379442,N[C@@H](Cn1ccc(=O)n(Cc2ccsc2C(=O)O)c1=O)C(=O)O,IC50,100000.0,nM,,,CHEMBL914410,9,CHEMBL4016,CHEMBL1142988,8i0b,P42262
CHEMBL373428,Cc1cn(C[C@H](N)C(=O)O)c(=O)n(Cc2ccsc2C(=O)O)c1=O,IC50,100000.0,nM,,,CHEMBL914410,9,CHEMBL4016,CHEMBL1142988,8i0b,P42262
CHEMBL373429,Cc1cn(C[C@H](N)C(=O)O)c(=O)n(Cc2cc(-c3ccccc3)sc2C(=O)O)c1=O,IC50,100000.0,nM,,,CHEMBL914410,9,CHEMBL4016,CHEMBL1142988,8i0b,P42262
CHEMBL222519,NS(=O)(=O)c1cccc2c1c([N+](=O)[O-])cc1nc(O)c(O)nc12,IC50,2500.0,nM,5.6,,CHEMBL914410,9,CHEMBL4016,CHEMBL1142988,8i0b,P42262
CHEMBL222519,NS(=O)(=O)c1cccc2c1c([N+](=O)[O-])cc1nc(O)c(O)nc12,IC50,2500.0,nM,5.6,,CHEMBL914410,9,CHEMBL4016,CHEMBL1142988,8i0b,P42262
CHEMBL222519,NS(=O)(=O)c1cccc2c1c([N+](=O)[O-])cc1nc(O)c(O)nc12,IC50,2500.0,nM,5.6,,CHEMBL914410,9,CHEMBL4016,CHEMBL1142988,8i0b,P42262
CHEMBL222519,NS(=O)(=O)c1cccc2c1c([N+](=O)[O-])cc1nc(O)c(O)nc12,IC50,2500.0,nM,5.6,,CHEMBL914410,9,CHEMBL4016,CHEMBL1142988,8i0b,P42262
CHEMBL372797,N[C@@H](Cn1ccc(=O)n(Cc2ccccc2C(=O)O)c1=O)C(=O)O,IC50,300000.0,nM,,,CHEMBL914410,9,CHEMBL4016,CHEMBL1142988,8i0b,P42262
CHEMBL506543,[N-]=[N+]=Nc1cc2[nH]c(=O)c(=O)[nH]c2cc1[N+](=O)[O-],IC50,1000.0,nM,6.0,,CHEMBL966974,8,CHEMBL4016,CHEMBL1140073,8i0b,P42262
CHEMBL462490,O=c1[nH]c2cc3no[n+]([O-])c3cc2[nH]c1=O,IC50,7600.0,nM,5.12,,CHEMBL966974,8,CHEMBL4016,CHEMBL1140073,8i0b,P42262
CHEMBL5202949,CCN(Cc1ccc(C(=O)N2CCC[C@@H]2C#N)s1)c1ccc(F)cc1,IC50,1200.0,nM,5.92,,CHEMBL5145394,9,CHEMBL4016,CHEMBL5143566,8i0b,P42262
CHEMBL5171984,N#C[C@H]1C[C@H]1c1c(C(F)(F)F)sc2nc(Cn3nc(C(F)(F)F)cc3Cl)cc(=O)n12,IC50,880.0,nM,6.06,,CHEMBL5145394,9,CHEMBL4016,CHEMBL5143566,8i0b,P42262
CHEMBL5180445,N#C[C@H]1C[C@H]1c1c(Cl)ccc2nc(Cn3nc(C(F)(F)F)cc3Cl)cc(=O)n12,IC50,380.0,nM,6.42,,CHEMBL5145394,9,CHEMBL4016,CHEMBL5143566,8i0b,P42262
CHEMBL5192117,CCN(Cc1cc2ccn(CC#N)c(=O)c2s1)c1ccc(F)cc1,IC50,30000.0,nM,,,CHEMBL5145404,9,CHEMBL4016,CHEMBL5143566,8i0b,P42262
CHEMBL5177597,CCN(Cc1cc2ccn(CCC#N)c(=O)c2s1)c1ccc(F)cc1,IC50,30000.0,nM,,,CHEMBL5145404,9,CHEMBL4016,CHEMBL5143566,8i0b,P42262
CHEMBL5197314,CCN(Cc1cc2c(=O)n(CCC#N)ccc2s1)c1ccc(F)cc1,IC50,610.0,nM,6.21,,CHEMBL5145404,9,CHEMBL4016,CHEMBL5143566,8i0b,P42262
CHEMBL5196482,CCN(Cc1cc2c(=O)n(CCC#N)ccn2n1)c1ccc(F)cc1,IC50,22000.0,nM,4.66,,CHEMBL5145404,9,CHEMBL4016,CHEMBL5143566,8i0b,P42262
CHEMBL5203039,CCN(Cc1cc2c(=O)n(CCC#N)cc(F)n2n1)c1ccc(F)cc1,IC50,2800.0,nM,5.55,,CHEMBL5145404,9,CHEMBL4016,CHEMBL5143566,8i0b,P42262
CHEMBL5189104,CCN(Cc1cc2c(C)cn(CCC#N)c(=O)c2s1)c1ccc(F)cc1,IC50,30000.0,nM,,,CHEMBL5145404,9,CHEMBL4016,CHEMBL5143566,8i0b,P42262
