molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL31574,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)ccc12,IC50,850.0,nM,6.07,,CHEMBL832923,9,CHEMBL2508,CHEMBL1141883,8i0m,Q00534
CHEMBL31574,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)ccc12,IC50,850.0,nM,6.07,,CHEMBL832923,9,CHEMBL2508,CHEMBL1141883,8i0m,Q00534
CHEMBL28,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,IC50,1700.0,nM,5.77,,CHEMBL832923,9,CHEMBL2508,CHEMBL1141883,8i0m,Q00534
CHEMBL28,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,IC50,1700.0,nM,5.77,,CHEMBL832923,9,CHEMBL2508,CHEMBL1141883,8i0m,Q00534
CHEMBL150,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,IC50,22000.0,nM,4.66,,CHEMBL832923,9,CHEMBL2508,CHEMBL1141883,8i0m,Q00534
CHEMBL150,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,IC50,22000.0,nM,4.66,,CHEMBL832923,9,CHEMBL2508,CHEMBL1141883,8i0m,Q00534
CHEMBL428690,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1,IC50,80.0,nM,7.1,,CHEMBL832923,9,CHEMBL2508,CHEMBL1141883,8i0m,Q00534
CHEMBL428690,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1,IC50,80.0,nM,7.1,,CHEMBL832923,9,CHEMBL2508,CHEMBL1141883,8i0m,Q00534
CHEMBL428690,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1,IC50,80.0,nM,7.1,,CHEMBL832923,9,CHEMBL2508,CHEMBL1141883,8i0m,Q00534
CHEMBL428690,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1,IC50,80.0,nM,7.1,,CHEMBL832923,9,CHEMBL2508,CHEMBL1141883,8i0m,Q00534
CHEMBL428690,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1,IC50,80.0,nM,7.1,,CHEMBL832923,9,CHEMBL2508,CHEMBL1141883,8i0m,Q00534
CHEMBL428690,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1,IC50,80.0,nM,7.1,,CHEMBL832923,9,CHEMBL2508,CHEMBL1141883,8i0m,Q00534
CHEMBL428690,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1,IC50,80.0,nM,7.1,,CHEMBL832923,9,CHEMBL2508,CHEMBL1141883,8i0m,Q00534
