molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL3781387,CC(C)(C)COc1ccnc(N)n1,IC50,53.0,nM,7.28,,CHEMBL3782136,9,CHEMBL3708265,CHEMBL3779767,8i1g,P36639
CHEMBL3781661,Cc1cnc(N)nc1OCC(C)(C)C,IC50,0.2,nM,9.7,,CHEMBL3782136,9,CHEMBL3708265,CHEMBL3779767,8i1g,P36639
CHEMBL3781661,Cc1cnc(N)nc1OCC(C)(C)C,IC50,0.2,nM,9.7,,CHEMBL3782136,9,CHEMBL3708265,CHEMBL3779767,8i1g,P36639
CHEMBL3780032,Cc1cnc(N)nc1OCC(C)(C)CO,IC50,0.6,nM,9.22,,CHEMBL3782136,9,CHEMBL3708265,CHEMBL3779767,8i1g,P36639
CHEMBL3782004,Nc1nc(NC2CC2)cc(-c2cccc(Cl)c2Cl)n1,IC50,5.0,nM,8.3,,CHEMBL3782137,9,CHEMBL3708265,CHEMBL3779767,8i1g,P36639
CHEMBL3782004,Nc1nc(NC2CC2)cc(-c2cccc(Cl)c2Cl)n1,IC50,5.0,nM,8.3,,CHEMBL3782137,9,CHEMBL3708265,CHEMBL3779767,8i1g,P36639
CHEMBL3782004,Nc1nc(NC2CC2)cc(-c2cccc(Cl)c2Cl)n1,IC50,5.0,nM,8.3,,CHEMBL3782137,9,CHEMBL3708265,CHEMBL3779767,8i1g,P36639
CHEMBL3782004,Nc1nc(NC2CC2)cc(-c2cccc(Cl)c2Cl)n1,IC50,5.0,nM,8.3,,CHEMBL3782137,9,CHEMBL3708265,CHEMBL3779767,8i1g,P36639
CHEMBL3782004,Nc1nc(NC2CC2)cc(-c2cccc(Cl)c2Cl)n1,IC50,5.0,nM,8.3,,CHEMBL3782137,9,CHEMBL3708265,CHEMBL3779767,8i1g,P36639
CHEMBL3782004,Nc1nc(NC2CC2)cc(-c2cccc(Cl)c2Cl)n1,IC50,5.0,nM,8.3,,CHEMBL3782137,9,CHEMBL3708265,CHEMBL3779767,8i1g,P36639
CHEMBL3782004,Nc1nc(NC2CC2)cc(-c2cccc(Cl)c2Cl)n1,IC50,5.0,nM,8.3,,CHEMBL3782137,9,CHEMBL3708265,CHEMBL3779767,8i1g,P36639
CHEMBL3782004,Nc1nc(NC2CC2)cc(-c2cccc(Cl)c2Cl)n1,IC50,5.0,nM,8.3,,CHEMBL3782137,9,CHEMBL3708265,CHEMBL3779767,8i1g,P36639
CHEMBL3782004,Nc1nc(NC2CC2)cc(-c2cccc(Cl)c2Cl)n1,IC50,5.0,nM,8.3,,CHEMBL3782137,9,CHEMBL3708265,CHEMBL3779767,8i1g,P36639
CHEMBL3782004,Nc1nc(NC2CC2)cc(-c2cccc(Cl)c2Cl)n1,IC50,5.0,nM,8.3,,CHEMBL3782137,9,CHEMBL3708265,CHEMBL3779767,8i1g,P36639
CHEMBL3782004,Nc1nc(NC2CC2)cc(-c2cccc(Cl)c2Cl)n1,IC50,5.0,nM,8.3,,CHEMBL3782137,9,CHEMBL3708265,CHEMBL3779767,8i1g,P36639
CHEMBL3782004,Nc1nc(NC2CC2)cc(-c2cccc(Cl)c2Cl)n1,IC50,5.0,nM,8.3,,CHEMBL3782137,9,CHEMBL3708265,CHEMBL3779767,8i1g,P36639
CHEMBL3782004,Nc1nc(NC2CC2)cc(-c2cccc(Cl)c2Cl)n1,IC50,5.0,nM,8.3,,CHEMBL3782137,9,CHEMBL3708265,CHEMBL3779767,8i1g,P36639
CHEMBL3781316,CNc1cc(-c2cccc(Cl)c2Cl)nc(N)n1,IC50,0.8,nM,9.1,,CHEMBL3782137,9,CHEMBL3708265,CHEMBL3779767,8i1g,P36639
CHEMBL3781316,CNc1cc(-c2cccc(Cl)c2Cl)nc(N)n1,IC50,0.8,nM,9.1,,CHEMBL3782137,9,CHEMBL3708265,CHEMBL3779767,8i1g,P36639
CHEMBL3781316,CNc1cc(-c2cccc(Cl)c2Cl)nc(N)n1,IC50,0.8,nM,9.1,,CHEMBL3782137,9,CHEMBL3708265,CHEMBL3779767,8i1g,P36639
CHEMBL3781316,CNc1cc(-c2cccc(Cl)c2Cl)nc(N)n1,IC50,0.8,nM,9.1,,CHEMBL3782137,9,CHEMBL3708265,CHEMBL3779767,8i1g,P36639
CHEMBL3781316,CNc1cc(-c2cccc(Cl)c2Cl)nc(N)n1,IC50,0.8,nM,9.1,,CHEMBL3782137,9,CHEMBL3708265,CHEMBL3779767,8i1g,P36639
CHEMBL3781316,CNc1cc(-c2cccc(Cl)c2Cl)nc(N)n1,IC50,0.8,nM,9.1,,CHEMBL3782137,9,CHEMBL3708265,CHEMBL3779767,8i1g,P36639
CHEMBL3781316,CNc1cc(-c2cccc(Cl)c2Cl)nc(N)n1,IC50,0.8,nM,9.1,,CHEMBL3782137,9,CHEMBL3708265,CHEMBL3779767,8i1g,P36639
CHEMBL3782004,Nc1nc(NC2CC2)cc(-c2cccc(Cl)c2Cl)n1,IC50,10.0,nM,8.0,,CHEMBL3782136,9,CHEMBL3708265,CHEMBL3779767,8i1g,P36639
CHEMBL3782004,Nc1nc(NC2CC2)cc(-c2cccc(Cl)c2Cl)n1,IC50,10.0,nM,8.0,,CHEMBL3782136,9,CHEMBL3708265,CHEMBL3779767,8i1g,P36639
CHEMBL3782004,Nc1nc(NC2CC2)cc(-c2cccc(Cl)c2Cl)n1,IC50,10.0,nM,8.0,,CHEMBL3782136,9,CHEMBL3708265,CHEMBL3779767,8i1g,P36639
CHEMBL3782004,Nc1nc(NC2CC2)cc(-c2cccc(Cl)c2Cl)n1,IC50,10.0,nM,8.0,,CHEMBL3782136,9,CHEMBL3708265,CHEMBL3779767,8i1g,P36639
CHEMBL3782004,Nc1nc(NC2CC2)cc(-c2cccc(Cl)c2Cl)n1,IC50,10.0,nM,8.0,,CHEMBL3782136,9,CHEMBL3708265,CHEMBL3779767,8i1g,P36639
CHEMBL3782004,Nc1nc(NC2CC2)cc(-c2cccc(Cl)c2Cl)n1,IC50,10.0,nM,8.0,,CHEMBL3782136,9,CHEMBL3708265,CHEMBL3779767,8i1g,P36639
CHEMBL3782004,Nc1nc(NC2CC2)cc(-c2cccc(Cl)c2Cl)n1,IC50,10.0,nM,8.0,,CHEMBL3782136,9,CHEMBL3708265,CHEMBL3779767,8i1g,P36639
CHEMBL3782004,Nc1nc(NC2CC2)cc(-c2cccc(Cl)c2Cl)n1,IC50,10.0,nM,8.0,,CHEMBL3782136,9,CHEMBL3708265,CHEMBL3779767,8i1g,P36639
CHEMBL3782004,Nc1nc(NC2CC2)cc(-c2cccc(Cl)c2Cl)n1,IC50,10.0,nM,8.0,,CHEMBL3782136,9,CHEMBL3708265,CHEMBL3779767,8i1g,P36639
CHEMBL3782004,Nc1nc(NC2CC2)cc(-c2cccc(Cl)c2Cl)n1,IC50,10.0,nM,8.0,,CHEMBL3782136,9,CHEMBL3708265,CHEMBL3779767,8i1g,P36639
CHEMBL3782004,Nc1nc(NC2CC2)cc(-c2cccc(Cl)c2Cl)n1,IC50,10.0,nM,8.0,,CHEMBL3782136,9,CHEMBL3708265,CHEMBL3779767,8i1g,P36639
CHEMBL3782004,Nc1nc(NC2CC2)cc(-c2cccc(Cl)c2Cl)n1,IC50,10.0,nM,8.0,,CHEMBL3782136,9,CHEMBL3708265,CHEMBL3779767,8i1g,P36639
CHEMBL3782004,Nc1nc(NC2CC2)cc(-c2cccc(Cl)c2Cl)n1,IC50,10.0,nM,8.0,,CHEMBL3782136,9,CHEMBL3708265,CHEMBL3779767,8i1g,P36639
CHEMBL3781316,CNc1cc(-c2cccc(Cl)c2Cl)nc(N)n1,IC50,1.6,nM,8.8,,CHEMBL3782136,9,CHEMBL3708265,CHEMBL3779767,8i1g,P36639
CHEMBL3781316,CNc1cc(-c2cccc(Cl)c2Cl)nc(N)n1,IC50,1.6,nM,8.8,,CHEMBL3782136,9,CHEMBL3708265,CHEMBL3779767,8i1g,P36639
CHEMBL3781316,CNc1cc(-c2cccc(Cl)c2Cl)nc(N)n1,IC50,1.6,nM,8.8,,CHEMBL3782136,9,CHEMBL3708265,CHEMBL3779767,8i1g,P36639
CHEMBL3781316,CNc1cc(-c2cccc(Cl)c2Cl)nc(N)n1,IC50,1.6,nM,8.8,,CHEMBL3782136,9,CHEMBL3708265,CHEMBL3779767,8i1g,P36639
CHEMBL3781316,CNc1cc(-c2cccc(Cl)c2Cl)nc(N)n1,IC50,1.6,nM,8.8,,CHEMBL3782136,9,CHEMBL3708265,CHEMBL3779767,8i1g,P36639
CHEMBL3781316,CNc1cc(-c2cccc(Cl)c2Cl)nc(N)n1,IC50,1.6,nM,8.8,,CHEMBL3782136,9,CHEMBL3708265,CHEMBL3779767,8i1g,P36639
CHEMBL3781316,CNc1cc(-c2cccc(Cl)c2Cl)nc(N)n1,IC50,1.6,nM,8.8,,CHEMBL3782136,9,CHEMBL3708265,CHEMBL3779767,8i1g,P36639
CHEMBL3780321,Cc1cnc(N)nc1CCC(C)(C)C,IC50,1.8,nM,8.74,,CHEMBL3782136,9,CHEMBL3708265,CHEMBL3779767,8i1g,P36639
CHEMBL3780962,Cc1cnc(N)nc1N(C)CC(C)(C)C,IC50,0.2,nM,9.7,,CHEMBL3782136,9,CHEMBL3708265,CHEMBL3779767,8i1g,P36639
CHEMBL3780596,Cc1cnc(N)nc1N(C)CC(C)(C)CO,IC50,0.5,nM,9.3,,CHEMBL3782136,9,CHEMBL3708265,CHEMBL3779767,8i1g,P36639
CHEMBL3780613,Cc1cnc(N)nc1NCC(C)(C)C,IC50,0.5,nM,9.3,,CHEMBL3782136,9,CHEMBL3708265,CHEMBL3779767,8i1g,P36639
CHEMBL3781917,Cc1cnc(N)nc1NCC(C)(C)CO,IC50,3.1,nM,8.51,,CHEMBL3782136,9,CHEMBL3708265,CHEMBL3779767,8i1g,P36639
CHEMBL3781861,CC(C)(C)CNc1ccnc(N)n1,IC50,84.0,nM,7.08,,CHEMBL3782136,9,CHEMBL3708265,CHEMBL3779767,8i1g,P36639
