molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL79968,c1ccc(CCNCc2cccc(COc3nn4c(C5CCCCC5)nnc4c4ccccc34)n2)cc1,IC50,145.0,nM,6.84,,CHEMBL641406,9,CHEMBL1919,CHEMBL1148420,8if3,P54289
CHEMBL84067,FC(F)(F)c1nnc2c3ccccc3c(OCc3cccc(CNCCc4ccccc4)n3)nn12,IC50,72.0,nM,7.14,,CHEMBL641406,9,CHEMBL1919,CHEMBL1148420,8if3,P54289
CHEMBL418920,CCc1nnc2c3ccccc3c(OCc3cccc(CNCCc4ccccc4)n3)nn12,IC50,241.0,nM,6.62,,CHEMBL641406,9,CHEMBL1919,CHEMBL1148420,8if3,P54289
CHEMBL84228,Cc1cccc(CCNCc2cccc(COc3nn4c(C(F)(F)F)nnc4c4ccccc34)n2)c1,IC50,15.0,nM,7.82,,CHEMBL815531,9,CHEMBL1919,CHEMBL1148420,8if3,P54289
CHEMBL79606,CC(CNCc1cccc(COc2nn3c(C(F)(F)F)nnc3c3ccccc23)n1)c1ccccc1,IC50,198.0,nM,6.7,,CHEMBL815531,9,CHEMBL1919,CHEMBL1148420,8if3,P54289
CHEMBL81141,Cc1cc(-c2nnc3c4ccccc4c(OCc4cccc(CNCCc5ccccc5)n4)nn23)no1,IC50,220.0,nM,6.66,,CHEMBL641406,9,CHEMBL1919,CHEMBL1148420,8if3,P54289
CHEMBL79559,Cc1ccc(CCNCc2cccc(COc3nn4c(C(F)(F)F)nnc4c4ccccc34)n2)cc1,IC50,260.0,nM,6.58,,CHEMBL815531,9,CHEMBL1919,CHEMBL1148420,8if3,P54289
CHEMBL81225,Cc1nnc2c3ccccc3c(OCc3cccc(CNCCc4ccccc4)n3)nn12,IC50,145.0,nM,6.84,,CHEMBL641406,9,CHEMBL1919,CHEMBL1148420,8if3,P54289
CHEMBL81850,COCc1nnc2c3ccccc3c(OCc3cccc(CNCCc4ccccc4)n3)nn12,IC50,131.0,nM,6.88,,CHEMBL641406,9,CHEMBL1919,CHEMBL1148420,8if3,P54289
CHEMBL420593,Fc1ccc(CCNCc2cccc(COc3nn4c(C(F)(F)F)nnc4c4ccccc34)n2)cc1,IC50,630.0,nM,6.2,,CHEMBL815531,9,CHEMBL1919,CHEMBL1148420,8if3,P54289
CHEMBL310121,C[C@H](NCCc1cccc(Br)c1)c1cccc(COc2nn3c(C(F)(F)F)nnc3c3ccccc23)n1,IC50,28.0,nM,7.55,,CHEMBL815531,9,CHEMBL1919,CHEMBL1148420,8if3,P54289
CHEMBL79762,Fc1cccc(CCNCc2cccc(COc3nn4c(C(F)(F)F)nnc4c4ccccc34)n2)c1,IC50,161.0,nM,6.79,,CHEMBL815531,9,CHEMBL1919,CHEMBL1148420,8if3,P54289
CHEMBL79400,CSc1nnc2c3ccccc3c(OCc3cccc(CNCCc4ccccc4)n3)nn12,IC50,194.0,nM,6.71,,CHEMBL641406,9,CHEMBL1919,CHEMBL1148420,8if3,P54289
CHEMBL81851,CC(C)c1nnc2c3ccccc3c(OCc3cccc(CNCCc4ccccc4)n3)nn12,IC50,342.0,nM,6.47,,CHEMBL641406,9,CHEMBL1919,CHEMBL1148420,8if3,P54289
CHEMBL430820,Cc1cccc(CCNC(C)c2cccc(COc3nn4c(C(F)(F)F)nnc4c4ccccc34)n2)c1,IC50,29.0,nM,7.54,,CHEMBL815531,9,CHEMBL1919,CHEMBL1148420,8if3,P54289
CHEMBL1169381,[3H]c1cccc(CCN[C@@H](C)c2cccc(COc3nn4c(C(F)(F)F)nnc4c4ccccc34)n2)c1,IC50,30.0,nM,7.52,,CHEMBL815531,9,CHEMBL1919,CHEMBL1148420,8if3,P54289
CHEMBL311519,CC(Cc1ccccc1)NCc1cccc(COc2nn3c(C(F)(F)F)nnc3c3ccccc23)n1,IC50,1369.0,nM,5.86,,CHEMBL815531,9,CHEMBL1919,CHEMBL1148420,8if3,P54289
CHEMBL79964,C[C@@H](Cc1ccccc1)NCc1cccc(COc2nn3c(C(F)(F)F)nnc3c3ccccc23)n1,IC50,700.0,nM,6.16,,CHEMBL815531,9,CHEMBL1919,CHEMBL1148420,8if3,P54289
CHEMBL79342,CC(C)(Cc1ccccc1)NCc1cccc(COc2nn3c(C(F)(F)F)nnc3c3ccccc23)n1,IC50,10000.0,nM,5.0,,CHEMBL815531,9,CHEMBL1919,CHEMBL1148420,8if3,P54289
CHEMBL309198,CC(C)C(NCCc1ccccc1)c1cccc(COc2nn3c(C(F)(F)F)nnc3c3ccccc23)n1,IC50,174.0,nM,6.76,,CHEMBL815531,9,CHEMBL1919,CHEMBL1148420,8if3,P54289
CHEMBL82891,c1ccc(CCNCc2cccc(COc3nn4c(C5CC5)nnc4c4ccccc34)n2)cc1,IC50,272.0,nM,6.57,,CHEMBL641406,9,CHEMBL1919,CHEMBL1148420,8if3,P54289
CHEMBL83372,C[C@@H](NCCc1ccccc1)c1cccc(COc2nn3c(C(F)(F)F)nnc3c3ccccc23)n1,IC50,10000.0,nM,5.0,,CHEMBL815531,9,CHEMBL1919,CHEMBL1148420,8if3,P54289
CHEMBL310316,FC(F)(F)c1nnc2c3ccccc3c(OCc3cccc(CNC4C[C@H]4c4ccccc4)n3)nn12,IC50,229.0,nM,6.64,,CHEMBL815531,9,CHEMBL1919,CHEMBL1148420,8if3,P54289
CHEMBL309390,COc1ccccc1CCNCc1cccc(COc2nn3c(C(F)(F)F)nnc3c3ccccc23)n1,IC50,3163.0,nM,5.5,,CHEMBL641406,9,CHEMBL1919,CHEMBL1148420,8if3,P54289
CHEMBL83029,Cc1ccccc1CCNCc1cccc(COc2nn3c(C(F)(F)F)nnc3c3ccccc23)n1,IC50,448.0,nM,6.35,,CHEMBL815531,9,CHEMBL1919,CHEMBL1148420,8if3,P54289
CHEMBL81495,CCC(NCCc1ccccc1)c1cccc(COc2nn3c(C(F)(F)F)nnc3c3ccccc23)n1,IC50,183.0,nM,6.74,,CHEMBL815531,9,CHEMBL1919,CHEMBL1148420,8if3,P54289
CHEMBL446627,C[C@H](NCCc1ccccc1)c1cccc(COc2nn3c(C(F)(F)F)nnc3c3ccccc23)n1,IC50,30.0,nM,7.52,,CHEMBL815531,9,CHEMBL1919,CHEMBL1148420,8if3,P54289
