molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL4855926,CSc1ccc(CNC(=O)c2ccc3nncn3c2)cc1,IC50,54000.0,nM,,,CHEMBL4810342,9,CHEMBL4296266,CHEMBL4808215,8iiy,O95619
CHEMBL4859531,CN(C)Cc1ccc(CNC(=O)c2ccc3nncn3c2)cc1,IC50,54000.0,nM,,,CHEMBL4810342,9,CHEMBL4296266,CHEMBL4808215,8iiy,O95619
CHEMBL4863719,O=C(NCc1ccc(CN2CCC2)cc1)c1ccc2nncn2c1,IC50,54000.0,nM,,,CHEMBL4810342,9,CHEMBL4296266,CHEMBL4808215,8iiy,O95619
CHEMBL4865432,O=C(NCc1ccc(CNc2ncc(F)cn2)cc1)c1ccc2nncn2c1,IC50,54000.0,nM,,,CHEMBL4810342,9,CHEMBL4296266,CHEMBL4808215,8iiy,O95619
CHEMBL4800073,C[C@H]1CCCN1Cc1nc2cc(NC(=O)c3ccc4cnccc4c3)ccc2[nH]1,IC50,20000.0,nM,,,CHEMBL5213741,9,CHEMBL4296266,CHEMBL5212743,8iiy,O95619
CHEMBL4752253,CN(C)C(=O)c1ccc(-c2cc(C(=O)N[C@@H]3CCc4ccccc43)no2)cc1O,IC50,40000.0,nM,,,CHEMBL5213750,9,CHEMBL4296266,CHEMBL5212743,8iiy,O95619
CHEMBL4752253,CN(C)C(=O)c1ccc(-c2cc(C(=O)N[C@@H]3CCc4ccccc43)no2)cc1O,IC50,40000.0,nM,,,CHEMBL5213750,9,CHEMBL4296266,CHEMBL5212743,8iiy,O95619
CHEMBL4752253,CN(C)C(=O)c1ccc(-c2cc(C(=O)N[C@@H]3CCc4ccccc43)no2)cc1O,IC50,40000.0,nM,,,CHEMBL5213750,9,CHEMBL4296266,CHEMBL5212743,8iiy,O95619
CHEMBL4752253,CN(C)C(=O)c1ccc(-c2cc(C(=O)N[C@@H]3CCc4ccccc43)no2)cc1O,IC50,40000.0,nM,,,CHEMBL5213750,9,CHEMBL4296266,CHEMBL5212743,8iiy,O95619
CHEMBL4762606,CN(C)C(=O)c1ccc(-c2cc(C(=O)N(C)C3CCCC3)no2)cc1O,IC50,30000.0,nM,,,CHEMBL5213755,9,CHEMBL4296266,CHEMBL5212743,8iiy,O95619
