molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL3408330,Cc1nn(C)c(O)c1C(=O)c1ccc2c(c1)n(C1CCCC1)c(=O)n2C,IC50,930.0,nM,6.03,,CHEMBL3412604,9,CHEMBL1861,CHEMBL3407412,8im3,P32754
CHEMBL3408331,Cc1nn(C)c(O)c1C(=O)c1ccc2c(c1)n(C(C)C)c(=O)n2C,IC50,940.0,nM,6.03,,CHEMBL3412604,9,CHEMBL1861,CHEMBL3407412,8im3,P32754
CHEMBL3408332,CCn1c(=O)n(C)c2ccc(C(=O)c3c(C)nn(C)c3O)cc21,IC50,970.0,nM,6.01,,CHEMBL3412604,9,CHEMBL1861,CHEMBL3407412,8im3,P32754
CHEMBL3408333,Cc1nn(C)c(O)c1C(=O)c1ccc2c(c1)n(C(C)(C)C)c(=O)n2C,IC50,990.0,nM,6.0,,CHEMBL3412604,9,CHEMBL1861,CHEMBL3407412,8im3,P32754
CHEMBL3408334,Cc1ccc(-n2c(=O)n(C)c3ccc(C(=O)c4c(C)nn(C)c4O)cc32)cc1,IC50,990.0,nM,6.0,,CHEMBL3412604,9,CHEMBL1861,CHEMBL3407412,8im3,P32754
CHEMBL3408335,Cc1nn(C)c(O)c1C(=O)c1ccc2c(c1)n(Cc1ccccc1)c(=O)n2C,IC50,670.0,nM,6.17,,CHEMBL3412604,9,CHEMBL1861,CHEMBL3407412,8im3,P32754
CHEMBL3408336,CCCn1c(=O)n(CC)c2ccc(C(=O)c3c(C)nn(C)c3O)cc21,IC50,880.0,nM,6.06,,CHEMBL3412604,9,CHEMBL1861,CHEMBL3407412,8im3,P32754
CHEMBL3408337,CCn1c(=O)n(CC)c2cc(C(=O)c3c(C)nn(C)c3O)ccc21,IC50,940.0,nM,6.03,,CHEMBL3412604,9,CHEMBL1861,CHEMBL3407412,8im3,P32754
CHEMBL3408338,CCn1c(=O)n(C(C)C)c2cc(C(=O)c3c(C)nn(C)c3O)ccc21,IC50,970.0,nM,6.01,,CHEMBL3412604,9,CHEMBL1861,CHEMBL3407412,8im3,P32754
CHEMBL3408156,CCC(=O)C(C(C)=O)C(=O)c1ccc(C(F)(F)F)cc1[N+](=O)[O-],IC50,68.0,nM,7.17,,CHEMBL3412604,9,CHEMBL1861,CHEMBL3407412,8im3,P32754
CHEMBL3408157,CCCn1c(=O)n(C)c2ccc(C(=O)c3cnn(C)c3O)cc21,IC50,59.0,nM,7.23,,CHEMBL3412604,9,CHEMBL1861,CHEMBL3407412,8im3,P32754
CHEMBL3408310,CCCCn1c(=O)n(C)c2ccc(C(=O)c3cnn(C)c3O)cc21,IC50,170.0,nM,6.77,,CHEMBL3412604,9,CHEMBL1861,CHEMBL3407412,8im3,P32754
CHEMBL3408311,CC(C)Cn1c(=O)n(C)c2ccc(C(=O)c3cnn(C)c3O)cc21,IC50,140.0,nM,6.85,,CHEMBL3412604,9,CHEMBL1861,CHEMBL3407412,8im3,P32754
CHEMBL3408312,Cn1ncc(C(=O)c2ccc3c(c2)n(C2CCCC2)c(=O)n3C)c1O,IC50,130.0,nM,6.89,,CHEMBL3412604,9,CHEMBL1861,CHEMBL3407412,8im3,P32754
CHEMBL3408313,CC(C)n1c(=O)n(C)c2ccc(C(=O)c3cnn(C)c3O)cc21,IC50,61.0,nM,7.21,,CHEMBL3412604,9,CHEMBL1861,CHEMBL3407412,8im3,P32754
CHEMBL3408314,CCn1c(=O)n(C)c2ccc(C(=O)c3cnn(C)c3O)cc21,IC50,22.0,nM,7.66,,CHEMBL3412604,9,CHEMBL1861,CHEMBL3407412,8im3,P32754
CHEMBL3408315,Cn1ncc(C(=O)c2ccc3c(c2)n(C(C)(C)C)c(=O)n3C)c1O,IC50,100.0,nM,7.0,,CHEMBL3412604,9,CHEMBL1861,CHEMBL3407412,8im3,P32754
CHEMBL3408316,Cc1ccc(-n2c(=O)n(C)c3ccc(C(=O)c4cnn(C)c4O)cc32)cc1,IC50,250.0,nM,6.6,,CHEMBL3412604,9,CHEMBL1861,CHEMBL3407412,8im3,P32754
