molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL3335789,O=C1c2ccccc2C(=O)c2c1cc(S(=O)(=O)Nc1ccc(C(F)(F)F)cc1)c(O)c2O,IC50,13100.0,nM,4.88,,CHEMBL3386524,9,CHEMBL3334418,CHEMBL3351282,8it8,P18669
CHEMBL3335789,O=C1c2ccccc2C(=O)c2c1cc(S(=O)(=O)Nc1ccc(C(F)(F)F)cc1)c(O)c2O,IC50,13100.0,nM,4.88,,CHEMBL3386524,9,CHEMBL3334418,CHEMBL3351282,8it8,P18669
CHEMBL3335789,O=C1c2ccccc2C(=O)c2c1cc(S(=O)(=O)Nc1ccc(C(F)(F)F)cc1)c(O)c2O,IC50,13100.0,nM,4.88,,CHEMBL3386524,9,CHEMBL3334418,CHEMBL3351282,8it8,P18669
CHEMBL3335789,O=C1c2ccccc2C(=O)c2c1cc(S(=O)(=O)Nc1ccc(C(F)(F)F)cc1)c(O)c2O,IC50,13100.0,nM,4.88,,CHEMBL3386524,9,CHEMBL3334418,CHEMBL3351282,8it8,P18669
CHEMBL3335789,O=C1c2ccccc2C(=O)c2c1cc(S(=O)(=O)Nc1ccc(C(F)(F)F)cc1)c(O)c2O,IC50,13100.0,nM,4.88,,CHEMBL3386524,9,CHEMBL3334418,CHEMBL3351282,8it8,P18669
CHEMBL3335789,O=C1c2ccccc2C(=O)c2c1cc(S(=O)(=O)Nc1ccc(C(F)(F)F)cc1)c(O)c2O,IC50,13100.0,nM,4.88,,CHEMBL3386524,9,CHEMBL3334418,CHEMBL3351282,8it8,P18669
CHEMBL3335789,O=C1c2ccccc2C(=O)c2c1cc(S(=O)(=O)Nc1ccc(C(F)(F)F)cc1)c(O)c2O,IC50,13100.0,nM,4.88,,CHEMBL3386524,9,CHEMBL3334418,CHEMBL3351282,8it8,P18669
CHEMBL3335789,O=C1c2ccccc2C(=O)c2c1cc(S(=O)(=O)Nc1ccc(C(F)(F)F)cc1)c(O)c2O,IC50,13100.0,nM,4.88,,CHEMBL3386524,9,CHEMBL3334418,CHEMBL3351282,8it8,P18669
CHEMBL3335789,O=C1c2ccccc2C(=O)c2c1cc(S(=O)(=O)Nc1ccc(C(F)(F)F)cc1)c(O)c2O,IC50,13100.0,nM,4.88,,CHEMBL3386524,9,CHEMBL3334418,CHEMBL3351282,8it8,P18669
CHEMBL4227227,O=c1c2c(O)cccc2oc2cc(NS(=O)(=O)c3ccc(N4CCCCC4)cc3)c(O)c(O)c12,IC50,1000.0,nM,6.0,,CHEMBL4222108,9,CHEMBL3334418,CHEMBL4219134,8it8,P18669
CHEMBL4227083,O=c1c2c(O)cccc2oc2cc(NS(=O)(=O)c3ccc(N4CCCC4)cc3)c(O)c(O)c12,IC50,2700.0,nM,5.57,,CHEMBL4222108,9,CHEMBL3334418,CHEMBL4219134,8it8,P18669
CHEMBL4228862,O=c1c2c(O)cccc2oc2cc(NS(=O)(=O)c3ccc(C4CCCCC4)cc3)c(O)c(O)c12,IC50,500.0,nM,6.3,,CHEMBL4222108,9,CHEMBL3334418,CHEMBL4219134,8it8,P18669
CHEMBL4225083,CC(C)(C)c1ccc(S(=O)(=O)Nc2cc3oc4cccc(O)c4c(=O)c3c(O)c2O)cc1,IC50,2600.0,nM,5.58,,CHEMBL4222108,9,CHEMBL3334418,CHEMBL4219134,8it8,P18669
CHEMBL4227876,O=c1c2c(O)cccc2oc2cc(NS(=O)(=O)c3ccc(-c4ccccc4)cc3)c(O)c(O)c12,IC50,1200.0,nM,5.92,,CHEMBL4222108,9,CHEMBL3334418,CHEMBL4219134,8it8,P18669
CHEMBL4226661,O=c1c2c(O)cccc2oc2cc(NS(=O)(=O)c3ccc4ccccc4c3)c(O)c(O)c12,IC50,1600.0,nM,5.8,,CHEMBL4222108,9,CHEMBL3334418,CHEMBL4219134,8it8,P18669
CHEMBL4227402,O=c1c2c(O)cccc2oc2cc(NS(=O)(=O)c3cccc4ccccc34)c(O)c(O)c12,IC50,1700.0,nM,5.77,,CHEMBL4222108,9,CHEMBL3334418,CHEMBL4219134,8it8,P18669
CHEMBL4226542,N#Cc1cccc(S(=O)(=O)Nc2cc3oc4cccc(O)c4c(=O)c3c(O)c2O)c1,IC50,2100.0,nM,5.68,,CHEMBL4222108,9,CHEMBL3334418,CHEMBL4219134,8it8,P18669
CHEMBL4226616,N#Cc1ccc(S(=O)(=O)Nc2cc3oc4cccc(O)c4c(=O)c3c(O)c2O)cc1,IC50,4200.0,nM,5.38,,CHEMBL4222108,9,CHEMBL3334418,CHEMBL4219134,8it8,P18669
CHEMBL4227616,O=c1c2c(O)cccc2oc2cc(NS(=O)(=O)c3ccc(I)cc3)c(O)c(O)c12,IC50,1900.0,nM,5.72,,CHEMBL4222108,9,CHEMBL3334418,CHEMBL4219134,8it8,P18669
CHEMBL4226752,O=c1c2c(O)cccc2oc2cc(NS(=O)(=O)c3ccc(Br)cc3)c(O)c(O)c12,IC50,2900.0,nM,5.54,,CHEMBL4222108,9,CHEMBL3334418,CHEMBL4219134,8it8,P18669
CHEMBL4228593,O=c1c2c(O)cccc2oc2cc(NS(=O)(=O)c3ccc(Cl)cc3)c(O)c(O)c12,IC50,3600.0,nM,5.44,,CHEMBL4222108,9,CHEMBL3334418,CHEMBL4219134,8it8,P18669
CHEMBL4229099,O=c1c2c(O)cccc2oc2cc(NS(=O)(=O)c3ccc(F)cc3)c(O)c(O)c12,IC50,5500.0,nM,5.26,,CHEMBL4222108,9,CHEMBL3334418,CHEMBL4219134,8it8,P18669
CHEMBL4228645,O=c1c2c(O)cccc2oc2cc(NS(=O)(=O)c3cccc(OC(F)(F)F)c3)c(O)c(O)c12,IC50,5800.0,nM,5.24,,CHEMBL4222108,9,CHEMBL3334418,CHEMBL4219134,8it8,P18669
CHEMBL4224876,O=c1c2c(O)cccc2oc2cc(NS(=O)(=O)c3cc(C(F)(F)F)ccc3C(F)(F)F)c(O)c(O)c12,IC50,6300.0,nM,5.2,,CHEMBL4222108,9,CHEMBL3334418,CHEMBL4219134,8it8,P18669
CHEMBL4228378,O=c1c2c(O)cccc2oc2cc(NS(=O)(=O)c3ccc(C(F)(F)F)cc3)c(O)c(O)c12,IC50,3500.0,nM,5.46,,CHEMBL4222108,9,CHEMBL3334418,CHEMBL4219134,8it8,P18669
CHEMBL4227498,O=c1c2c(O)cccc2oc2cc(NS(=O)(=O)Cc3ccccc3)c(O)c(O)c12,IC50,1900.0,nM,5.72,,CHEMBL4222108,9,CHEMBL3334418,CHEMBL4219134,8it8,P18669
CHEMBL4228479,Cc1ccc(S(=O)(=O)Nc2cc3oc4cccc(O)c4c(=O)c3c(O)c2O)cc1,IC50,7200.0,nM,5.14,,CHEMBL4222108,9,CHEMBL3334418,CHEMBL4219134,8it8,P18669
CHEMBL4228033,O=c1c2c(O)cccc2oc2cc(NS(=O)(=O)c3ccccc3)c(O)c(O)c12,IC50,2800.0,nM,5.55,,CHEMBL4222108,9,CHEMBL3334418,CHEMBL4219134,8it8,P18669
CHEMBL4226917,COc1c(NS(=O)(=O)c2ccc(N3CCCCC3)cc2)cc2oc3cccc(OC)c3c(=O)c2c1O,IC50,20000.0,nM,,,CHEMBL4222108,9,CHEMBL3334418,CHEMBL4219134,8it8,P18669
CHEMBL4228063,COc1c(NS(=O)(=O)c2ccc(N3CCCC3)cc2)cc2oc3cccc(OC)c3c(=O)c2c1O,IC50,20000.0,nM,,,CHEMBL4222108,9,CHEMBL3334418,CHEMBL4219134,8it8,P18669
CHEMBL4227900,COc1c(NS(=O)(=O)c2ccc(C3CCCCC3)cc2)cc2oc3cccc(OC)c3c(=O)c2c1O,IC50,20000.0,nM,,,CHEMBL4222108,9,CHEMBL3334418,CHEMBL4219134,8it8,P18669
CHEMBL4229175,COc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)cc2oc3cccc(OC)c3c(=O)c2c1O,IC50,20000.0,nM,,,CHEMBL4222108,9,CHEMBL3334418,CHEMBL4219134,8it8,P18669
CHEMBL4228674,COc1c(NS(=O)(=O)c2ccc(-c3ccccc3)cc2)cc2oc3cccc(OC)c3c(=O)c2c1O,IC50,20000.0,nM,,,CHEMBL4222108,9,CHEMBL3334418,CHEMBL4219134,8it8,P18669
CHEMBL4224907,COc1c(NS(=O)(=O)c2ccc3ccccc3c2)cc2oc3cccc(OC)c3c(=O)c2c1O,IC50,20000.0,nM,,,CHEMBL4222108,9,CHEMBL3334418,CHEMBL4219134,8it8,P18669
CHEMBL4228409,COc1c(NS(=O)(=O)c2cccc3ccccc23)cc2oc3cccc(OC)c3c(=O)c2c1O,IC50,20000.0,nM,,,CHEMBL4222108,9,CHEMBL3334418,CHEMBL4219134,8it8,P18669
CHEMBL4229244,COc1c(NS(=O)(=O)c2cccc(C#N)c2)cc2oc3cccc(OC)c3c(=O)c2c1O,IC50,20000.0,nM,,,CHEMBL4222108,9,CHEMBL3334418,CHEMBL4219134,8it8,P18669
CHEMBL4229190,COc1c(NS(=O)(=O)c2ccc(C#N)cc2)cc2oc3cccc(OC)c3c(=O)c2c1O,IC50,20000.0,nM,,,CHEMBL4222108,9,CHEMBL3334418,CHEMBL4219134,8it8,P18669
CHEMBL4225443,COc1c(NS(=O)(=O)c2ccc(I)cc2)cc2oc3cccc(OC)c3c(=O)c2c1O,IC50,20000.0,nM,,,CHEMBL4222108,9,CHEMBL3334418,CHEMBL4219134,8it8,P18669
CHEMBL4228936,COc1c(NS(=O)(=O)c2ccc(Br)cc2)cc2oc3cccc(OC)c3c(=O)c2c1O,IC50,20000.0,nM,,,CHEMBL4222108,9,CHEMBL3334418,CHEMBL4219134,8it8,P18669
CHEMBL4225168,COc1c(NS(=O)(=O)c2ccc(Cl)cc2)cc2oc3cccc(OC)c3c(=O)c2c1O,IC50,20000.0,nM,,,CHEMBL4222108,9,CHEMBL3334418,CHEMBL4219134,8it8,P18669
CHEMBL4226153,COc1c(NS(=O)(=O)c2ccc(F)cc2)cc2oc3cccc(OC)c3c(=O)c2c1O,IC50,20000.0,nM,,,CHEMBL4222108,9,CHEMBL3334418,CHEMBL4219134,8it8,P18669
CHEMBL4225308,COc1c(NS(=O)(=O)c2cccc(OC(F)(F)F)c2)cc2oc3cccc(OC)c3c(=O)c2c1O,IC50,20000.0,nM,,,CHEMBL4222108,9,CHEMBL3334418,CHEMBL4219134,8it8,P18669
CHEMBL4227960,COc1c(NS(=O)(=O)c2cc(C(F)(F)F)ccc2C(F)(F)F)cc2oc3cccc(OC)c3c(=O)c2c1O,IC50,20000.0,nM,,,CHEMBL4222108,9,CHEMBL3334418,CHEMBL4219134,8it8,P18669
CHEMBL4225568,COc1c(NS(=O)(=O)c2ccc(C(F)(F)F)cc2)cc2oc3cccc(OC)c3c(=O)c2c1O,IC50,20000.0,nM,,,CHEMBL4222108,9,CHEMBL3334418,CHEMBL4219134,8it8,P18669
CHEMBL4226677,COc1c(NS(=O)(=O)Cc2ccccc2)cc2oc3cccc(OC)c3c(=O)c2c1O,IC50,20000.0,nM,,,CHEMBL4222108,9,CHEMBL3334418,CHEMBL4219134,8it8,P18669
CHEMBL4225835,COc1c(NS(=O)(=O)c2ccc(C)cc2)cc2oc3cccc(OC)c3c(=O)c2c1O,IC50,20000.0,nM,,,CHEMBL4222108,9,CHEMBL3334418,CHEMBL4219134,8it8,P18669
CHEMBL4226938,COc1c(NS(=O)(=O)c2ccccc2)cc2oc3cccc(OC)c3c(=O)c2c1O,IC50,20000.0,nM,,,CHEMBL4222108,9,CHEMBL3334418,CHEMBL4219134,8it8,P18669
CHEMBL1206015,O=C1c2ccccc2C(=O)c2c1cc(S(=O)(=O)O)c(O)c2O,IC50,2300.0,nM,5.64,,CHEMBL4222107,9,CHEMBL3334418,CHEMBL4219134,8it8,P18669
CHEMBL4224885,C#CCCCC(=O)OC(C)(C)[C@H]1CC[C@]2(CO2)[C@@H](OC(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)OCc2ccccc2)C1,IC50,33000.0,nM,4.48,,CHEMBL4222106,9,CHEMBL3334418,CHEMBL4219134,8it8,P18669
CHEMBL4224885,C#CCCCC(=O)OC(C)(C)[C@H]1CC[C@]2(CO2)[C@@H](OC(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)OCc2ccccc2)C1,IC50,33000.0,nM,4.48,,CHEMBL4222106,9,CHEMBL3334418,CHEMBL4219134,8it8,P18669
CHEMBL3335789,O=C1c2ccccc2C(=O)c2c1cc(S(=O)(=O)Nc1ccc(C(F)(F)F)cc1)c(O)c2O,IC50,13100.0,nM,4.88,,CHEMBL4222125,9,CHEMBL3334418,CHEMBL4219134,8it8,P18669
CHEMBL3335789,O=C1c2ccccc2C(=O)c2c1cc(S(=O)(=O)Nc1ccc(C(F)(F)F)cc1)c(O)c2O,IC50,13100.0,nM,4.88,,CHEMBL4222125,9,CHEMBL3334418,CHEMBL4219134,8it8,P18669
CHEMBL3335789,O=C1c2ccccc2C(=O)c2c1cc(S(=O)(=O)Nc1ccc(C(F)(F)F)cc1)c(O)c2O,IC50,13100.0,nM,4.88,,CHEMBL4222125,9,CHEMBL3334418,CHEMBL4219134,8it8,P18669
CHEMBL3335789,O=C1c2ccccc2C(=O)c2c1cc(S(=O)(=O)Nc1ccc(C(F)(F)F)cc1)c(O)c2O,IC50,13100.0,nM,4.88,,CHEMBL4222125,9,CHEMBL3334418,CHEMBL4219134,8it8,P18669
CHEMBL3335789,O=C1c2ccccc2C(=O)c2c1cc(S(=O)(=O)Nc1ccc(C(F)(F)F)cc1)c(O)c2O,IC50,13100.0,nM,4.88,,CHEMBL4222125,9,CHEMBL3334418,CHEMBL4219134,8it8,P18669
CHEMBL3335789,O=C1c2ccccc2C(=O)c2c1cc(S(=O)(=O)Nc1ccc(C(F)(F)F)cc1)c(O)c2O,IC50,13100.0,nM,4.88,,CHEMBL4222125,9,CHEMBL3334418,CHEMBL4219134,8it8,P18669
CHEMBL3335789,O=C1c2ccccc2C(=O)c2c1cc(S(=O)(=O)Nc1ccc(C(F)(F)F)cc1)c(O)c2O,IC50,13100.0,nM,4.88,,CHEMBL4222125,9,CHEMBL3334418,CHEMBL4219134,8it8,P18669
CHEMBL3335789,O=C1c2ccccc2C(=O)c2c1cc(S(=O)(=O)Nc1ccc(C(F)(F)F)cc1)c(O)c2O,IC50,13100.0,nM,4.88,,CHEMBL4222125,9,CHEMBL3334418,CHEMBL4219134,8it8,P18669
CHEMBL3335789,O=C1c2ccccc2C(=O)c2c1cc(S(=O)(=O)Nc1ccc(C(F)(F)F)cc1)c(O)c2O,IC50,13100.0,nM,4.88,,CHEMBL4222125,9,CHEMBL3334418,CHEMBL4219134,8it8,P18669
CHEMBL297453,O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,IC50,490.0,nM,6.31,,CHEMBL4222127,9,CHEMBL3334418,CHEMBL4219134,8it8,P18669
CHEMBL297453,O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,IC50,490.0,nM,6.31,,CHEMBL4222127,9,CHEMBL3334418,CHEMBL4219134,8it8,P18669
CHEMBL4793513,CC1CC(C)CN(c2ccc(S(=O)(=O)Nc3cc4c(c(O)c3O)C(=O)c3ccccc3C4=O)cc2)C1,IC50,2600.0,nM,5.58,,CHEMBL4666358,9,CHEMBL3334418,CHEMBL4665630,8it8,P18669
CHEMBL4749380,CN1CCN(c2ccc(S(=O)(=O)Nc3cc4c(c(O)c3O)C(=O)c3ccccc3C4=O)cc2)CC1,IC50,10000.0,nM,,,CHEMBL4666358,9,CHEMBL3334418,CHEMBL4665630,8it8,P18669
CHEMBL4742013,O=C1c2ccccc2C(=O)c2c1cc(NS(=O)(=O)c1ccc(N3CCCCC3)cc1)c(O)c2O,IC50,330.0,nM,6.48,,CHEMBL4666358,9,CHEMBL3334418,CHEMBL4665630,8it8,P18669
CHEMBL4763924,O=C1c2ccccc2C(=O)c2c1cc(NS(=O)(=O)c1ccc(-c3ccc(Cl)cc3)cc1)c(O)c2O,IC50,140.0,nM,6.85,,CHEMBL4666358,9,CHEMBL3334418,CHEMBL4665630,8it8,P18669
CHEMBL4784572,O=C1c2ccccc2C(=O)c2c1cc(NS(=O)(=O)c1ccc(-c3ccc(F)cc3)cc1)c(O)c2O,IC50,260.0,nM,6.58,,CHEMBL4666358,9,CHEMBL3334418,CHEMBL4665630,8it8,P18669
CHEMBL4741748,O=C1c2ccccc2C(=O)c2c1cc(NS(=O)(=O)c1ccc(-c3ccccc3)cc1)c(O)c2O,IC50,250.0,nM,6.6,,CHEMBL4666358,9,CHEMBL3334418,CHEMBL4665630,8it8,P18669
CHEMBL4760337,O=C1c2ccccc2C(=O)c2c1cc(NS(=O)(=O)c1ccc(C3CCCCC3)cc1)c(O)c2O,IC50,97.0,nM,7.01,,CHEMBL4666358,9,CHEMBL3334418,CHEMBL4665630,8it8,P18669
CHEMBL4790666,O=C1c2ccccc2C(=O)c2c1cc(NS(=O)(=O)c1cccc3cccnc13)c(O)c2O,IC50,2050.0,nM,5.69,,CHEMBL4666358,9,CHEMBL3334418,CHEMBL4665630,8it8,P18669
CHEMBL4752963,O=C1c2ccccc2C(=O)c2c1cc(NS(=O)(=O)c1cccc3ccccc13)c(O)c2O,IC50,1290.0,nM,5.89,,CHEMBL4666358,9,CHEMBL3334418,CHEMBL4665630,8it8,P18669
CHEMBL4789955,O=C1c2ccccc2C(=O)c2c1cc(NS(=O)(=O)c1ccc3ccccc3c1)c(O)c2O,IC50,190.0,nM,6.72,,CHEMBL4666358,9,CHEMBL3334418,CHEMBL4665630,8it8,P18669
CHEMBL4752163,CC(C)(C)c1ccc(S(=O)(=O)Nc2cc3c(c(O)c2O)C(=O)c2ccccc2C3=O)cc1,IC50,490.0,nM,6.31,,CHEMBL4666358,9,CHEMBL3334418,CHEMBL4665630,8it8,P18669
