molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL5567823,CC(C)c1ccc(-n2nc(-c3cc(F)ccc3OCCCC(=O)O)cc2-c2ccccc2Cl)cc1,IC50,20.0,nM,7.7,,CHEMBL5522729,9,CHEMBL3826863,CHEMBL5518239,8ivf,O15540
CHEMBL4277988,O=C(O)[C@H]1[C@H](c2ccccc2)[C@H](C(=O)O)[C@H]1c1ccccc1,Ki,10000.0,nM,,,CHEMBL4271808,9,CHEMBL3826863,CHEMBL4270525,8ivf,O15540
CHEMBL4288654,COc1ccc([C@H]2[C@H](C(=O)O)[C@H](c3ccc(OC)c(OC)c3)[C@H]2C(=O)O)cc1OC,Ki,10000.0,nM,,,CHEMBL4271808,9,CHEMBL3826863,CHEMBL4270525,8ivf,O15540
CHEMBL4281444,COc1cc([C@H]2[C@H](C(=O)O)[C@H](c3ccc(O)c(OC)c3)[C@H]2C(=O)O)ccc1O,Ki,10000.0,nM,,,CHEMBL4271808,9,CHEMBL3826863,CHEMBL4270525,8ivf,O15540
CHEMBL4292072,O=C(O)C1C(c2ccccc2)C(C(=O)Oc2cccc3ccccc23)C1c1ccccc1,Ki,450.0,nM,6.35,,CHEMBL4271808,9,CHEMBL3826863,CHEMBL4270525,8ivf,O15540
CHEMBL4292072,O=C(O)C1C(c2ccccc2)C(C(=O)Oc2cccc3ccccc23)C1c1ccccc1,Ki,450.0,nM,6.35,,CHEMBL4271808,9,CHEMBL3826863,CHEMBL4270525,8ivf,O15540
CHEMBL4289745,O=C(O)[C@H]1[C@@H](c2ccccc2)[C@H](C(=O)Oc2cccc3ccccc23)[C@@H]1c1ccccc1,Ki,890.0,nM,6.05,,CHEMBL4271808,9,CHEMBL3826863,CHEMBL4270525,8ivf,O15540
CHEMBL4289745,O=C(O)[C@H]1[C@@H](c2ccccc2)[C@H](C(=O)Oc2cccc3ccccc23)[C@@H]1c1ccccc1,Ki,890.0,nM,6.05,,CHEMBL4271808,9,CHEMBL3826863,CHEMBL4270525,8ivf,O15540
CHEMBL4281879,O=C(O)[C@H]1[C@H](c2ccccc2)[C@H](C(=O)Oc2cccc3ccccc23)[C@H]1c1ccccc1,Ki,450.0,nM,6.35,,CHEMBL4271808,9,CHEMBL3826863,CHEMBL4270525,8ivf,O15540
CHEMBL4293131,O=C(O)[C@H]1[C@H](c2ccccc2)[C@H](C(=O)OCc2ccccc2)[C@H]1c1ccccc1,Ki,530.0,nM,6.28,,CHEMBL4271808,9,CHEMBL3826863,CHEMBL4270525,8ivf,O15540
CHEMBL4285313,COc1ccc(COC(=O)[C@H]2[C@@H](c3ccccc3)[C@H](C(=O)O)[C@@H]2c2ccccc2)cc1,Ki,1140.0,nM,5.94,,CHEMBL4271808,9,CHEMBL3826863,CHEMBL4270525,8ivf,O15540
CHEMBL4282959,O=C(O)[C@H]1[C@H](c2ccccc2)[C@H](C(=O)OCc2ccc(F)cc2)[C@H]1c1ccccc1,Ki,1650.0,nM,5.78,,CHEMBL4271808,9,CHEMBL3826863,CHEMBL4270525,8ivf,O15540
CHEMBL4293553,O=C(O)[C@H]1[C@H](c2ccccc2)[C@H](C(=O)OCc2ccc(Br)cc2)[C@H]1c1ccccc1,Ki,1250.0,nM,5.9,,CHEMBL4271808,9,CHEMBL3826863,CHEMBL4270525,8ivf,O15540
CHEMBL4283759,O=C(O)[C@H]1[C@H](c2ccccc2)[C@H](C(=O)Oc2ccccc2I)[C@H]1c1ccccc1,Ki,940.0,nM,6.03,,CHEMBL4271808,9,CHEMBL3826863,CHEMBL4270525,8ivf,O15540
