molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL2402207,COc1ccc(S(=O)(=O)Nc2ccc(NS(=O)(=O)c3ccc(OC)cc3)c3ccccc23)cc1,IC50,2700.0,nM,5.57,,CHEMBL2406877,9,CHEMBL2069156,CHEMBL2401631,8ixs,Q14145
CHEMBL2402207,COc1ccc(S(=O)(=O)Nc2ccc(NS(=O)(=O)c3ccc(OC)cc3)c3ccccc23)cc1,IC50,2700.0,nM,5.57,,CHEMBL2406877,9,CHEMBL2069156,CHEMBL2401631,8ixs,Q14145
CHEMBL2402207,COc1ccc(S(=O)(=O)Nc2ccc(NS(=O)(=O)c3ccc(OC)cc3)c3ccccc23)cc1,IC50,2700.0,nM,5.57,,CHEMBL2406877,9,CHEMBL2069156,CHEMBL2401631,8ixs,Q14145
CHEMBL2402207,COc1ccc(S(=O)(=O)Nc2ccc(NS(=O)(=O)c3ccc(OC)cc3)c3ccccc23)cc1,IC50,2700.0,nM,5.57,,CHEMBL2406877,9,CHEMBL2069156,CHEMBL2401631,8ixs,Q14145
CHEMBL2402207,COc1ccc(S(=O)(=O)Nc2ccc(NS(=O)(=O)c3ccc(OC)cc3)c3ccccc23)cc1,IC50,2700.0,nM,5.57,,CHEMBL2406877,9,CHEMBL2069156,CHEMBL2401631,8ixs,Q14145
CHEMBL2402207,COc1ccc(S(=O)(=O)Nc2ccc(NS(=O)(=O)c3ccc(OC)cc3)c3ccccc23)cc1,IC50,2700.0,nM,5.57,,CHEMBL2406877,9,CHEMBL2069156,CHEMBL2401631,8ixs,Q14145
CHEMBL2402207,COc1ccc(S(=O)(=O)Nc2ccc(NS(=O)(=O)c3ccc(OC)cc3)c3ccccc23)cc1,IC50,2700.0,nM,5.57,,CHEMBL2406877,9,CHEMBL2069156,CHEMBL2401631,8ixs,Q14145
CHEMBL2402207,COc1ccc(S(=O)(=O)Nc2ccc(NS(=O)(=O)c3ccc(OC)cc3)c3ccccc23)cc1,IC50,2700.0,nM,5.57,,CHEMBL2406877,9,CHEMBL2069156,CHEMBL2401631,8ixs,Q14145
CHEMBL2402206,Cc1ccc(S(=O)(=O)c2cnc(SCC(=O)Nc3ccccc3C(F)(F)F)[nH]c2=O)c(C)c1,IC50,118000.0,nM,,,CHEMBL2406877,9,CHEMBL2069156,CHEMBL2401631,8ixs,Q14145
CHEMBL2402206,Cc1ccc(S(=O)(=O)c2cnc(SCC(=O)Nc3ccccc3C(F)(F)F)[nH]c2=O)c(C)c1,IC50,118000.0,nM,,,CHEMBL2406877,9,CHEMBL2069156,CHEMBL2401631,8ixs,Q14145
CHEMBL2402206,Cc1ccc(S(=O)(=O)c2cnc(SCC(=O)Nc3ccccc3C(F)(F)F)[nH]c2=O)c(C)c1,IC50,118000.0,nM,,,CHEMBL2406877,9,CHEMBL2069156,CHEMBL2401631,8ixs,Q14145
