molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL5759269,NS(=O)(=O)OC[C@H]1C[C@@H](Nc2ccnc3cc(-c4ccccc4)nn23)[C@H](O)[C@@H]1O,IC50,55.0,nM,7.26,646445,CHEMBL5732360,8,CHEMBL4105876,CHEMBL5726263,8iya,P51965
CHEMBL6020119,NS(=O)(=O)OC[C@H]1C[C@@H](Nc2ccnc3cc(-c4cccc5ccccc45)nn23)[C@H](O)[C@@H]1O,IC50,10.0,nM,,646446,CHEMBL5732360,8,CHEMBL4105876,CHEMBL5726263,8iya,P51965
CHEMBL6020119,NS(=O)(=O)OC[C@H]1C[C@@H](Nc2ccnc3cc(-c4cccc5ccccc45)nn23)[C@H](O)[C@@H]1O,IC50,10.0,nM,,646446,CHEMBL5732360,8,CHEMBL4105876,CHEMBL5726263,8iya,P51965
CHEMBL5917491,NS(=O)(=O)OC[C@H]1C[C@@H](Nc2ccnc3cc(-c4cccc(-c5ccccc5)c4)nn23)[C@H](O)[C@@H]1O,IC50,10.0,nM,,646447,CHEMBL5732360,8,CHEMBL4105876,CHEMBL5726263,8iya,P51965
CHEMBL5793677,Cc1cc(N[C@@H]2C[C@H](COS(N)(=O)=O)[C@@H](O)[C@H]2O)n2nc(-c3ccccc3)cc2n1,IC50,550.0,nM,6.26,646448,CHEMBL5732360,8,CHEMBL4105876,CHEMBL5726263,8iya,P51965
CHEMBL6012674,NS(=O)(=O)OC[C@H]1C[C@@H](Nc2ccnc3cc(-c4cccc(Cl)c4)nn23)[C@H](O)[C@@H]1O,IC50,10.0,nM,,646449,CHEMBL5732360,8,CHEMBL4105876,CHEMBL5726263,8iya,P51965
CHEMBL5743820,NS(=O)(=O)OC[C@H]1C[C@@H](Nc2cc(Cl)nc3cc(-c4ccccc4)nn23)[C@H](O)[C@@H]1O,IC50,550.0,nM,6.26,646450,CHEMBL5732360,8,CHEMBL4105876,CHEMBL5726263,8iya,P51965
CHEMBL6001422,NS(=O)(=O)OC[C@H]1C[C@@H](Nc2ccnc3cc(-c4cccc(C(F)(F)F)c4)nn23)[C@H](O)[C@@H]1O,IC50,10.0,nM,,646451,CHEMBL5732360,8,CHEMBL4105876,CHEMBL5726263,8iya,P51965
CHEMBL5866556,NS(=O)(=O)OC[C@H]1C[C@@H](Nc2cc(Cl)nc3cc(-c4ccc(Br)cc4)nn23)[C@H](O)[C@@H]1O,IC50,550.0,nM,6.26,646452,CHEMBL5732360,8,CHEMBL4105876,CHEMBL5726263,8iya,P51965
CHEMBL5799754,NS(=O)(=O)OC[C@H]1C[C@@H](Nc2cc(Cl)nc3cc(-c4cccc5ccccc45)nn23)[C@H](O)[C@@H]1O,IC50,550.0,nM,6.26,646453,CHEMBL5732360,8,CHEMBL4105876,CHEMBL5726263,8iya,P51965
