molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL122071,CC(=O)O[C@@H]1CC(=O)N1C(=O)NC(C)C,IC50,100000.0,nM,,,CHEMBL884029,8,CHEMBL3771,CHEMBL1130748,8j3t,P16753
CHEMBL124107,CCCCNC(=O)N1C(=O)C[C@H]1OC(C)=O,IC50,68000.0,nM,4.17,,CHEMBL884029,8,CHEMBL3771,CHEMBL1130748,8j3t,P16753
CHEMBL120853,C[C@@H]1C(=O)N(C(=O)NCc2ccccc2)[C@@H]1Oc1ccc(C(=O)O)cc1,IC50,100000.0,nM,,,CHEMBL884029,8,CHEMBL3771,CHEMBL1130748,8j3t,P16753
CHEMBL122296,CC(=O)O[C@@H]1[C@@H](C)C(=O)N1C(=O)NCc1ccccc1,IC50,6500.0,nM,5.19,,CHEMBL884029,8,CHEMBL3771,CHEMBL1130748,8j3t,P16753
CHEMBL333734,CC(=O)O[C@@H]1[C@H](C)C(=O)N1C(=O)NCc1ccccc1,IC50,27000.0,nM,4.57,,CHEMBL884029,8,CHEMBL3771,CHEMBL1130748,8j3t,P16753
CHEMBL74483,CC[C@@H]1C(=O)N(C(=O)NCc2ccccc2)[C@@H]1Oc1ccc(C(=O)O)cc1,IC50,100000.0,nM,,,CHEMBL884029,8,CHEMBL3771,CHEMBL1130748,8j3t,P16753
CHEMBL333117,CC(C)NC(=O)N1C(=O)C[C@H]1Oc1ccc(C(=O)O)cc1,IC50,100000.0,nM,4.0,,CHEMBL884029,8,CHEMBL3771,CHEMBL1130748,8j3t,P16753
CHEMBL334176,O=C(O)c1ccc(O[C@@H]2CC(=O)N2C(=O)Nc2ccccc2)cc1,IC50,100000.0,nM,,,CHEMBL884029,8,CHEMBL3771,CHEMBL1130748,8j3t,P16753
CHEMBL122983,C[C@H]1C(=O)N(C(=O)NCc2ccccc2)[C@@H]1Oc1ccc(C(=O)C(C)(C)C)cc1,IC50,17000.0,nM,4.77,,CHEMBL884029,8,CHEMBL3771,CHEMBL1130748,8j3t,P16753
CHEMBL122731,CCC1(CC)C(=O)N(C(=O)NC)[C@@H]1OC(C)=O,IC50,100000.0,nM,,,CHEMBL884029,8,CHEMBL3771,CHEMBL1130748,8j3t,P16753
CHEMBL123589,CC(=O)O[C@@H]1[C@@H](C)C(=O)N1C(=O)Nc1ccccc1,IC50,86000.0,nM,4.07,,CHEMBL884029,8,CHEMBL3771,CHEMBL1130748,8j3t,P16753
