molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL140954,O=P(O)(O)C(F)(F)c1ccc(COc2ccc(OCc3ccc(C(F)(F)P(=O)(O)O)cc3)cc2)cc1,IC50,15000.0,nM,4.82,,CHEMBL765610,8,CHEMBL2706,CHEMBL1134320,8jbn,P23467
CHEMBL344437,N.N.N.N.O=P(O)(O)C(F)(F)c1ccc(COCCOCc2ccc(C(F)(F)P(=O)(O)O)cc2)cc1,IC50,300000.0,nM,,,CHEMBL765610,8,CHEMBL2706,CHEMBL1134320,8jbn,P23467
CHEMBL1161222,O=P(O)(O)C(F)(F)c1ccc(CCCCc2ccc(C(F)(F)P(=O)(O)O)cc2)cc1,IC50,342000.0,nM,,,CHEMBL765610,8,CHEMBL2706,CHEMBL1134320,8jbn,P23467
CHEMBL140524,O=P(O)(O)C(F)(F)c1ccc(COc2cccc(OCc3ccc(C(F)(F)P(=O)(O)O)cc3)c2)cc1,IC50,77000.0,nM,4.11,,CHEMBL765610,8,CHEMBL2706,CHEMBL1134320,8jbn,P23467
CHEMBL337604,O=P(O)(O)C(F)(F)c1ccc(COc2ccccc2OCc2ccc(C(F)(F)P(=O)(O)O)cc2)cc1,IC50,77000.0,nM,4.11,,CHEMBL765610,8,CHEMBL2706,CHEMBL1134320,8jbn,P23467
CHEMBL324232,O=C(O)[C@@H](Cc1ccccc1)Oc1c(Br)cc(-c2c3ccccc3c(Br)c3oc4ccccc4c23)cc1Br,IC50,500.0,nM,6.3,,CHEMBL771319,8,CHEMBL2706,CHEMBL1132177,8jbn,P23467
CHEMBL108721,O=C(O)COc1c(Br)cc(-c2c3ccccc3c(Br)c3sc4ccccc4c23)cc1Br,IC50,600.0,nM,6.22,,CHEMBL771319,8,CHEMBL2706,CHEMBL1132177,8jbn,P23467
CHEMBL204337,CNC(=O)[C@@H]1Cc2ccc(NS(=O)(=O)O)cc2CN1C(=O)CCc1cccc(NS(=O)(=O)O)c1,IC50,20700.0,nM,4.68,,CHEMBL869487,9,CHEMBL2706,CHEMBL1139672,8jbn,P23467
CHEMBL213727,COC(=O)C(Cc1ccc(NS(=O)(=O)O)cc1)(Cc1ccc(OC)cc1)C(=O)OC.N,IC50,390.0,nM,6.41,,CHEMBL868027,9,CHEMBL2706,CHEMBL1146847,8jbn,P23467
CHEMBL209527,COC(=O)C(Cc1ccc(NS(=O)(=O)O)cc1)(Cc1ccc(C(=O)O)cc1)C(=O)OC.N,IC50,140.0,nM,6.85,,CHEMBL868027,9,CHEMBL2706,CHEMBL1146847,8jbn,P23467
