molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL69638,Nc1ncnc2c1c(-c1cccc(Oc3ccccc3)c1)cn2C1CCCC1,IC50,1000.0,nM,,,CHEMBL844999,9,CHEMBL267,CHEMBL1132739,8jf3,P12931
CHEMBL419082,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCCC1O,IC50,40.0,nM,7.4,,CHEMBL844999,9,CHEMBL267,CHEMBL1132739,8jf3,P12931
CHEMBL304760,c1ccc(Oc2ccc(Nc3ncnc4ccccc34)cc2)cc1,IC50,,nM,,Not Determined,CHEMBL845000,9,CHEMBL267,CHEMBL1132739,8jf3,P12931
CHEMBL307982,CC(C)n1cc(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc21,IC50,48.0,nM,7.32,,CHEMBL844999,9,CHEMBL267,CHEMBL1132739,8jf3,P12931
CHEMBL68774,Nc1ncnc2c1c(-c1ccccc1Oc1ccccc1)cn2C1CCCC1,IC50,,nM,,Not Determined,CHEMBL845000,9,CHEMBL267,CHEMBL1132739,8jf3,P12931
CHEMBL69129,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCC(O)C1,IC50,88.0,nM,7.06,,CHEMBL844999,9,CHEMBL267,CHEMBL1132739,8jf3,P12931
CHEMBL69827,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CC(O)C(O)C1,IC50,84.0,nM,7.08,,CHEMBL844999,9,CHEMBL267,CHEMBL1132739,8jf3,P12931
CHEMBL306380,Cc1ccc(-c2nn(C(C)(C)C)c3ncnc(N)c23)cc1,IC50,170.0,nM,6.77,,CHEMBL844999,9,CHEMBL267,CHEMBL1132739,8jf3,P12931
CHEMBL306380,Cc1ccc(-c2nn(C(C)(C)C)c3ncnc(N)c23)cc1,IC50,170.0,nM,6.77,,CHEMBL844999,9,CHEMBL267,CHEMBL1132739,8jf3,P12931
CHEMBL306380,Cc1ccc(-c2nn(C(C)(C)C)c3ncnc(N)c23)cc1,IC50,170.0,nM,6.77,,CHEMBL844999,9,CHEMBL267,CHEMBL1132739,8jf3,P12931
CHEMBL306380,Cc1ccc(-c2nn(C(C)(C)C)c3ncnc(N)c23)cc1,IC50,170.0,nM,6.77,,CHEMBL844999,9,CHEMBL267,CHEMBL1132739,8jf3,P12931
CHEMBL306380,Cc1ccc(-c2nn(C(C)(C)C)c3ncnc(N)c23)cc1,IC50,170.0,nM,6.77,,CHEMBL844999,9,CHEMBL267,CHEMBL1132739,8jf3,P12931
CHEMBL306380,Cc1ccc(-c2nn(C(C)(C)C)c3ncnc(N)c23)cc1,IC50,170.0,nM,6.77,,CHEMBL844999,9,CHEMBL267,CHEMBL1132739,8jf3,P12931
CHEMBL306012,CC(C)(C)n1cc(-c2ccc(Cl)cc2)c2c(N)ncnc21,IC50,150.0,nM,6.82,,CHEMBL844999,9,CHEMBL267,CHEMBL1132739,8jf3,P12931
CHEMBL47940,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCCC1,IC50,70.0,nM,7.16,,CHEMBL844999,9,CHEMBL267,CHEMBL1132739,8jf3,P12931
CHEMBL47940,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCCC1,IC50,70.0,nM,7.16,,CHEMBL844999,9,CHEMBL267,CHEMBL1132739,8jf3,P12931
CHEMBL302281,CC(C)(C)n1cc(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc21,IC50,610.0,nM,6.21,,CHEMBL844999,9,CHEMBL267,CHEMBL1132739,8jf3,P12931
CHEMBL104215,Nc1ncnc2c1c(-c1cccc(O)c1)cn2-c1ccc(CCOP(=O)(O)CP(=O)(O)O)cc1,IC50,60.0,nM,7.22,,CHEMBL805362,8,CHEMBL267,CHEMBL1136208,8jf3,P12931
CHEMBL321569,COc1cccc(-c2cn(-c3ccc(C(=O)Nc4ccc(P(=O)(O)O)c(P(=O)(O)O)c4)cc3)c3ncnc(N)c23)c1,IC50,870.0,nM,6.06,,CHEMBL805362,8,CHEMBL267,CHEMBL1136208,8jf3,P12931
CHEMBL103293,COc1cc(Nc2c(C#N)cnc3cc(-c4cccc(CCN5CCOCC5)c4)ccc23)c(Cl)cc1Cl,IC50,29.0,nM,7.54,,CHEMBL882727,8,CHEMBL267,CHEMBL1134917,8jf3,P12931
CHEMBL321779,Cc1ccc(-c2cn(C(C)(C)C)c3ncnc(N)c23)cc1,IC50,120.0,nM,6.92,,CHEMBL805362,8,CHEMBL267,CHEMBL1136208,8jf3,P12931
CHEMBL103454,CCN1CCN(CCc2ccc(-c3ccc4c(Nc5cc(OC)c(Cl)cc5Cl)c(C#N)cnc4c3)cc2)CC1,IC50,3.7,nM,8.43,,CHEMBL882727,8,CHEMBL267,CHEMBL1134917,8jf3,P12931
CHEMBL102595,COc1cc(Nc2c(C#N)cnc3cc(-c4cccc(CN5CCN(C)CC5)c4)ccc23)c(Cl)cc1Cl,IC50,14.0,nM,7.85,,CHEMBL882727,8,CHEMBL267,CHEMBL1134917,8jf3,P12931
CHEMBL419171,COc1cc(Nc2c(C#N)cnc3cc(-c4cccc(CCN5CCOCC5)c4)c(OC)cc23)c(Cl)cc1Cl,IC50,74.0,nM,7.13,,CHEMBL882727,8,CHEMBL267,CHEMBL1134917,8jf3,P12931
CHEMBL102165,COc1cc(Nc2c(C#N)cnc3cc(-c4ccc(CCN5CCOCC5)cc4)ccc23)c(Cl)cc1Cl,IC50,14.0,nM,7.85,,CHEMBL882727,8,CHEMBL267,CHEMBL1134917,8jf3,P12931
CHEMBL105056,CN(CCO)CCc1ccc(-n2cc(-c3cccc(O)c3)c3c(N)ncnc32)cc1,IC50,40.0,nM,7.4,,CHEMBL805362,8,CHEMBL267,CHEMBL1136208,8jf3,P12931
CHEMBL288441,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,IC50,1.3,nM,8.89,,CHEMBL882727,8,CHEMBL267,CHEMBL1134917,8jf3,P12931
CHEMBL288441,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,IC50,1.3,nM,8.89,,CHEMBL882727,8,CHEMBL267,CHEMBL1134917,8jf3,P12931
CHEMBL288441,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,IC50,1.3,nM,8.89,,CHEMBL882727,8,CHEMBL267,CHEMBL1134917,8jf3,P12931
CHEMBL288441,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,IC50,1.3,nM,8.89,,CHEMBL882727,8,CHEMBL267,CHEMBL1134917,8jf3,P12931
CHEMBL288441,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,IC50,1.3,nM,8.89,,CHEMBL882727,8,CHEMBL267,CHEMBL1134917,8jf3,P12931
CHEMBL288441,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,IC50,1.3,nM,8.89,,CHEMBL882727,8,CHEMBL267,CHEMBL1134917,8jf3,P12931
CHEMBL288441,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,IC50,1.3,nM,8.89,,CHEMBL882727,8,CHEMBL267,CHEMBL1134917,8jf3,P12931
CHEMBL288441,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,IC50,1.3,nM,8.89,,CHEMBL882727,8,CHEMBL267,CHEMBL1134917,8jf3,P12931
CHEMBL288441,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,IC50,1.3,nM,8.89,,CHEMBL882727,8,CHEMBL267,CHEMBL1134917,8jf3,P12931
