molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL2424677,CCN1Cc2ccc(NC(=O)c3ccc(C(=O)N4CCC(C5CCCN5)CC4)c(Nc4ccccc4)c3)cc2C1,IC50,10000.0,nM,,,CHEMBL2429073,9,CHEMBL2424510,CHEMBL2424619,8jig,Q96T88
CHEMBL2426376,CCN1Cc2ccc(NC(=O)c3ccc(C(=O)N4CCC(C5CCCN5)CC4)cc3Nc3ccccc3)cc2C1,IC50,10000.0,nM,,,CHEMBL2429073,9,CHEMBL2424510,CHEMBL2424619,8jig,Q96T88
CHEMBL2426375,CCN1Cc2ccc(NC(=O)c3ccc(C(=O)N4CCC(C5CCCN5)CC4)cc3)cc2C1,IC50,10000.0,nM,,,CHEMBL2429073,9,CHEMBL2424510,CHEMBL2424619,8jig,Q96T88
CHEMBL2426374,CCN1Cc2ccc(NC(=O)c3ccc(C(=O)N4CC5CCC(C4)C5N4CCCC4)cc3)cc2C1,IC50,10000.0,nM,,,CHEMBL2429073,9,CHEMBL2424510,CHEMBL2424619,8jig,Q96T88
CHEMBL2426373,CCN1Cc2ccc(NC(=O)c3ccc(C(=O)N4CCC(N5CCCC5)CC4)cc3)cc2C1,IC50,10000.0,nM,,,CHEMBL2429073,9,CHEMBL2424510,CHEMBL2424619,8jig,Q96T88
CHEMBL2426368,O=C(c1ccc(C(=O)N2CCC(N3CCCC3)CC2)c(-c2ccccc2)c1)N1CCC(N2CCCC2)CC1,IC50,10000.0,nM,,,CHEMBL2429073,9,CHEMBL2424510,CHEMBL2424619,8jig,Q96T88
CHEMBL2426367,O=C(c1ccc(C(=O)N2CCC(N3CCCC3)CC2)c(Oc2ccccc2)c1)N1CCC(N2CCCC2)CC1,IC50,10000.0,nM,,,CHEMBL2429073,9,CHEMBL2424510,CHEMBL2424619,8jig,Q96T88
CHEMBL2426366,O=C(c1ccc(C(=O)N2CCC(N3CCCC3)CC2)c(Cc2ccccc2)c1)N1CCC(N2CCCC2)CC1,IC50,10000.0,nM,,,CHEMBL2429073,9,CHEMBL2424510,CHEMBL2424619,8jig,Q96T88
CHEMBL2426365,O=C(c1ccc(C(=O)N2CCC(N3CCCC3)CC2)c(NCc2ccccc2)c1)N1CCC(N2CCCC2)CC1,IC50,10000.0,nM,,,CHEMBL2429073,9,CHEMBL2424510,CHEMBL2424619,8jig,Q96T88
CHEMBL2426364,O=C(c1ccc(C(=O)N2CCC(N3CCCC3)CC2)c(Nc2ccccc2)c1)N1CCC(N2CCCC2)CC1,IC50,10000.0,nM,,,CHEMBL2429073,9,CHEMBL2424510,CHEMBL2424619,8jig,Q96T88
CHEMBL2426364,O=C(c1ccc(C(=O)N2CCC(N3CCCC3)CC2)c(Nc2ccccc2)c1)N1CCC(N2CCCC2)CC1,IC50,10000.0,nM,,,CHEMBL2429073,9,CHEMBL2424510,CHEMBL2424619,8jig,Q96T88
CHEMBL2426364,O=C(c1ccc(C(=O)N2CCC(N3CCCC3)CC2)c(Nc2ccccc2)c1)N1CCC(N2CCCC2)CC1,IC50,10000.0,nM,,,CHEMBL2429073,9,CHEMBL2424510,CHEMBL2424619,8jig,Q96T88
CHEMBL2426363,O=C(c1ccc(C(=O)N2CCC(N3CCCC3)CC2)s1)N1CCC(N2CCCC2)CC1,IC50,10000.0,nM,,,CHEMBL2429073,9,CHEMBL2424510,CHEMBL2424619,8jig,Q96T88
CHEMBL2426362,O=C(c1ccc(C(=O)N2CCC(N3CCCC3)CC2)o1)N1CCC(N2CCCC2)CC1,IC50,10000.0,nM,,,CHEMBL2429073,9,CHEMBL2424510,CHEMBL2424619,8jig,Q96T88
CHEMBL2426361,O=C(c1ccc2cc(C(=O)N3CCC(N4CCCC4)CC3)ccc2c1)N1CCC(N2CCCC2)CC1,IC50,10000.0,nM,,,CHEMBL2429073,9,CHEMBL2424510,CHEMBL2424619,8jig,Q96T88
CHEMBL2426360,O=C(c1ccc(C(=O)N2CCC(N3CCCC3)CC2)c2ccccc12)N1CCC(N2CCCC2)CC1,IC50,10000.0,nM,,,CHEMBL2429073,9,CHEMBL2424510,CHEMBL2424619,8jig,Q96T88
CHEMBL2426359,Cc1cc(C(=O)N2CCC(N3CCCC3)CC2)c(C)cc1C(=O)N1CCC(N2CCCC2)CC1,IC50,10000.0,nM,,,CHEMBL2429073,9,CHEMBL2424510,CHEMBL2424619,8jig,Q96T88
CHEMBL2426358,O=C(c1c(F)c(F)c(C(=O)N2CCC(N3CCCC3)CC2)c(F)c1F)N1CCC(N2CCCC2)CC1,IC50,10000.0,nM,,,CHEMBL2429073,9,CHEMBL2424510,CHEMBL2424619,8jig,Q96T88
CHEMBL2426478,Nc1cc(C(=O)N2CCC(N3CCCC3)CC2)ccc1C(=O)N1CCC(N2CCCC2)CC1,IC50,10000.0,nM,,,CHEMBL2429073,9,CHEMBL2424510,CHEMBL2424619,8jig,Q96T88
CHEMBL2426477,O=C(c1ccc(C(=O)N2CCC(N3CCCC3)CC2)c([N+](=O)[O-])c1)N1CCC(N2CCCC2)CC1,IC50,10000.0,nM,,,CHEMBL2429073,9,CHEMBL2424510,CHEMBL2424619,8jig,Q96T88
CHEMBL2426476,O=C(c1ccc(C(=O)N2CCC(N3CCCC3)CC2)c(Br)c1)N1CCC(N2CCCC2)CC1,IC50,10000.0,nM,,,CHEMBL2429073,9,CHEMBL2424510,CHEMBL2424619,8jig,Q96T88
CHEMBL2424678,O=C(c1ccc(C(=O)N2CCC(N3CCCC3)CC2)nc1)N1CCC(N2CCCC2)CC1,IC50,10000.0,nM,,,CHEMBL2429073,9,CHEMBL2424510,CHEMBL2424619,8jig,Q96T88
