molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL387536,O=C(O)c1cc(-c2ccccc2)cc(Br)c1O,IC50,460.0,nM,6.34,,CHEMBL968790,9,CHEMBL5905,CHEMBL1138501,8jp2,Q04828
CHEMBL387536,O=C(O)c1cc(-c2ccccc2)cc(Br)c1O,IC50,460.0,nM,6.34,,CHEMBL968790,9,CHEMBL5905,CHEMBL1138501,8jp2,Q04828
CHEMBL387536,O=C(O)c1cc(-c2ccccc2)cc(Br)c1O,IC50,460.0,nM,6.34,,CHEMBL968790,9,CHEMBL5905,CHEMBL1138501,8jp2,Q04828
CHEMBL387536,O=C(O)c1cc(-c2ccccc2)cc(Br)c1O,IC50,460.0,nM,6.34,,CHEMBL968790,9,CHEMBL5905,CHEMBL1138501,8jp2,Q04828
CHEMBL387536,O=C(O)c1cc(-c2ccccc2)cc(Br)c1O,IC50,460.0,nM,6.34,,CHEMBL968790,9,CHEMBL5905,CHEMBL1138501,8jp2,Q04828
CHEMBL387536,O=C(O)c1cc(-c2ccccc2)cc(Br)c1O,IC50,460.0,nM,6.34,,CHEMBL968790,9,CHEMBL5905,CHEMBL1138501,8jp2,Q04828
CHEMBL387536,O=C(O)c1cc(-c2ccccc2)cc(Br)c1O,IC50,460.0,nM,6.34,,CHEMBL968790,9,CHEMBL5905,CHEMBL1138501,8jp2,Q04828
CHEMBL447448,O=C(O)c1cc(Br)cc(Br)c1O,IC50,2300.0,nM,5.64,,CHEMBL968790,9,CHEMBL5905,CHEMBL1138501,8jp2,Q04828
CHEMBL447448,O=C(O)c1cc(Br)cc(Br)c1O,IC50,2300.0,nM,5.64,,CHEMBL968790,9,CHEMBL5905,CHEMBL1138501,8jp2,Q04828
CHEMBL521800,O=C1OC(c2cc(Br)c(O)c(Br)c2)(c2cc(Br)c(O)c(Br)c2)c2ccccc21,IC50,33.0,nM,7.48,,CHEMBL980737,8,CHEMBL5905,CHEMBL1138501,8jp2,Q04828
CHEMBL388590,CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1,IC50,48.0,nM,7.32,,CHEMBL980737,8,CHEMBL5905,CHEMBL1138501,8jp2,Q04828
CHEMBL449129,O=C(O)c1cc(Cl)cc(Cl)c1O,IC50,6.0,nM,8.22,,CHEMBL980737,8,CHEMBL5905,CHEMBL1138501,8jp2,Q04828
CHEMBL449129,O=C(O)c1cc(Cl)cc(Cl)c1O,IC50,6.0,nM,8.22,,CHEMBL980737,8,CHEMBL5905,CHEMBL1138501,8jp2,Q04828
CHEMBL449129,O=C(O)c1cc(Cl)cc(Cl)c1O,IC50,6.0,nM,8.22,,CHEMBL980737,8,CHEMBL5905,CHEMBL1138501,8jp2,Q04828
CHEMBL449129,O=C(O)c1cc(Cl)cc(Cl)c1O,IC50,6.0,nM,8.22,,CHEMBL980737,8,CHEMBL5905,CHEMBL1138501,8jp2,Q04828
CHEMBL449129,O=C(O)c1cc(Cl)cc(Cl)c1O,IC50,6.0,nM,8.22,,CHEMBL980737,8,CHEMBL5905,CHEMBL1138501,8jp2,Q04828
CHEMBL449129,O=C(O)c1cc(Cl)cc(Cl)c1O,IC50,6.0,nM,8.22,,CHEMBL980737,8,CHEMBL5905,CHEMBL1138501,8jp2,Q04828
CHEMBL449129,O=C(O)c1cc(Cl)cc(Cl)c1O,IC50,6.0,nM,8.22,,CHEMBL980737,8,CHEMBL5905,CHEMBL1138501,8jp2,Q04828
CHEMBL449129,O=C(O)c1cc(Cl)cc(Cl)c1O,IC50,6.0,nM,8.22,,CHEMBL980737,8,CHEMBL5905,CHEMBL1138501,8jp2,Q04828
CHEMBL449129,O=C(O)c1cc(Cl)cc(Cl)c1O,IC50,6.0,nM,8.22,,CHEMBL980737,8,CHEMBL5905,CHEMBL1138501,8jp2,Q04828
CHEMBL449129,O=C(O)c1cc(Cl)cc(Cl)c1O,IC50,6.0,nM,8.22,,CHEMBL980737,8,CHEMBL5905,CHEMBL1138501,8jp2,Q04828
CHEMBL449129,O=C(O)c1cc(Cl)cc(Cl)c1O,IC50,6.0,nM,8.22,,CHEMBL980737,8,CHEMBL5905,CHEMBL1138501,8jp2,Q04828
CHEMBL562352,O=C1CCC/C1=C\c1ccc(Cl)cc1,IC50,35000.0,nM,4.46,,CHEMBL1033526,9,CHEMBL5905,CHEMBL1158398,8jp2,Q04828
CHEMBL562352,O=C1CCC/C1=C\c1ccc(Cl)cc1,IC50,35000.0,nM,4.46,,CHEMBL1033526,9,CHEMBL5905,CHEMBL1158398,8jp2,Q04828
CHEMBL538612,CCOC1CCC/C1=C\c1ccc(Cl)cc1,IC50,62100.0,nM,4.21,,CHEMBL1033526,9,CHEMBL5905,CHEMBL1158398,8jp2,Q04828
CHEMBL538612,CCOC1CCC/C1=C\c1ccc(Cl)cc1,IC50,62100.0,nM,4.21,,CHEMBL1033526,9,CHEMBL5905,CHEMBL1158398,8jp2,Q04828
CHEMBL554283,O=C(O)C1CCC(c2ccccc2)C1,IC50,98600.0,nM,4.01,,CHEMBL1033526,9,CHEMBL5905,CHEMBL1158398,8jp2,Q04828
CHEMBL554283,O=C(O)C1CCC(c2ccccc2)C1,IC50,98600.0,nM,4.01,,CHEMBL1033526,9,CHEMBL5905,CHEMBL1158398,8jp2,Q04828
CHEMBL554543,O=C(O)C1(c2ccccc2)CCCC1,IC50,72900.0,nM,4.14,,CHEMBL1033526,9,CHEMBL5905,CHEMBL1158398,8jp2,Q04828
CHEMBL554543,O=C(O)C1(c2ccccc2)CCCC1,IC50,72900.0,nM,4.14,,CHEMBL1033526,9,CHEMBL5905,CHEMBL1158398,8jp2,Q04828
CHEMBL1275703,O=C(O)c1cc(-c2ccccc2)cc(Cl)c1O,IC50,100.0,nM,7.0,,CHEMBL1285655,9,CHEMBL5905,CHEMBL1275324,8jp2,Q04828
CHEMBL1275703,O=C(O)c1cc(-c2ccccc2)cc(Cl)c1O,IC50,100.0,nM,7.0,,CHEMBL1285655,9,CHEMBL5905,CHEMBL1275324,8jp2,Q04828
CHEMBL1275703,O=C(O)c1cc(-c2ccccc2)cc(Cl)c1O,IC50,100.0,nM,7.0,,CHEMBL1285655,9,CHEMBL5905,CHEMBL1275324,8jp2,Q04828
CHEMBL1275703,O=C(O)c1cc(-c2ccccc2)cc(Cl)c1O,IC50,100.0,nM,7.0,,CHEMBL1285655,9,CHEMBL5905,CHEMBL1275324,8jp2,Q04828
CHEMBL1275703,O=C(O)c1cc(-c2ccccc2)cc(Cl)c1O,IC50,100.0,nM,7.0,,CHEMBL1285655,9,CHEMBL5905,CHEMBL1275324,8jp2,Q04828
CHEMBL1275703,O=C(O)c1cc(-c2ccccc2)cc(Cl)c1O,IC50,100.0,nM,7.0,,CHEMBL1285655,9,CHEMBL5905,CHEMBL1275324,8jp2,Q04828
CHEMBL1275703,O=C(O)c1cc(-c2ccccc2)cc(Cl)c1O,IC50,100.0,nM,7.0,,CHEMBL1285655,9,CHEMBL5905,CHEMBL1275324,8jp2,Q04828
CHEMBL1275703,O=C(O)c1cc(-c2ccccc2)cc(Cl)c1O,IC50,100.0,nM,7.0,,CHEMBL1285655,9,CHEMBL5905,CHEMBL1275324,8jp2,Q04828
CHEMBL1275725,O=C(O)c1cc(-c2ccccc2)cc(F)c1O,IC50,300.0,nM,6.52,,CHEMBL1285655,9,CHEMBL5905,CHEMBL1275324,8jp2,Q04828
CHEMBL1275725,O=C(O)c1cc(-c2ccccc2)cc(F)c1O,IC50,300.0,nM,6.52,,CHEMBL1285655,9,CHEMBL5905,CHEMBL1275324,8jp2,Q04828
CHEMBL387536,O=C(O)c1cc(-c2ccccc2)cc(Br)c1O,IC50,460.0,nM,6.34,,CHEMBL1285655,9,CHEMBL5905,CHEMBL1275324,8jp2,Q04828
CHEMBL387536,O=C(O)c1cc(-c2ccccc2)cc(Br)c1O,IC50,460.0,nM,6.34,,CHEMBL1285655,9,CHEMBL5905,CHEMBL1275324,8jp2,Q04828
CHEMBL387536,O=C(O)c1cc(-c2ccccc2)cc(Br)c1O,IC50,460.0,nM,6.34,,CHEMBL1285655,9,CHEMBL5905,CHEMBL1275324,8jp2,Q04828
CHEMBL387536,O=C(O)c1cc(-c2ccccc2)cc(Br)c1O,IC50,460.0,nM,6.34,,CHEMBL1285655,9,CHEMBL5905,CHEMBL1275324,8jp2,Q04828
CHEMBL387536,O=C(O)c1cc(-c2ccccc2)cc(Br)c1O,IC50,460.0,nM,6.34,,CHEMBL1285655,9,CHEMBL5905,CHEMBL1275324,8jp2,Q04828
CHEMBL387536,O=C(O)c1cc(-c2ccccc2)cc(Br)c1O,IC50,460.0,nM,6.34,,CHEMBL1285655,9,CHEMBL5905,CHEMBL1275324,8jp2,Q04828
CHEMBL387536,O=C(O)c1cc(-c2ccccc2)cc(Br)c1O,IC50,460.0,nM,6.34,,CHEMBL1285655,9,CHEMBL5905,CHEMBL1275324,8jp2,Q04828
CHEMBL23588,O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1,IC50,,,,Not Determined,CHEMBL2025086,8,CHEMBL5905,CHEMBL2021904,8jp2,Q04828
CHEMBL23588,O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1,IC50,,,,Not Determined,CHEMBL2025086,8,CHEMBL5905,CHEMBL2021904,8jp2,Q04828
CHEMBL23588,O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1,IC50,,,,Not Determined,CHEMBL2025086,8,CHEMBL5905,CHEMBL2021904,8jp2,Q04828
CHEMBL23588,O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1,IC50,,,,Not Determined,CHEMBL2025086,8,CHEMBL5905,CHEMBL2021904,8jp2,Q04828
CHEMBL1682202,O=C(O)c1cccc(Nc2ccc(C(F)(F)F)cc2)c1,IC50,22700.0,nM,4.64,,CHEMBL2025086,8,CHEMBL5905,CHEMBL2021904,8jp2,Q04828
CHEMBL1682202,O=C(O)c1cccc(Nc2ccc(C(F)(F)F)cc2)c1,IC50,22700.0,nM,4.64,,CHEMBL2025086,8,CHEMBL5905,CHEMBL2021904,8jp2,Q04828
