molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL3582257,COc1cc(OCc2cccc(-c3ccccc3)c2C)cc(OC)c1CNC(CO)(CO)CO,IC50,6.0,nM,8.22,,CHEMBL3583018,9,CHEMBL3580522,CHEMBL3580542,8k5n,Q9NZQ7
CHEMBL3582257,COc1cc(OCc2cccc(-c3ccccc3)c2C)cc(OC)c1CNC(CO)(CO)CO,IC50,6.0,nM,8.22,,CHEMBL3583018,9,CHEMBL3580522,CHEMBL3580542,8k5n,Q9NZQ7
CHEMBL3582256,COc1cc(OCc2cccc(-c3ccccc3)c2C#N)cc(OC)c1CN1CCCC[C@H]1C(=O)O,IC50,6.0,nM,8.22,,CHEMBL3583018,9,CHEMBL3580522,CHEMBL3580542,8k5n,Q9NZQ7
CHEMBL3582255,Cc1c(COc2ccc(CNCC3CCC(=O)N3)cc2)cccc1-c1ccccc1,IC50,1010.0,nM,6.0,,CHEMBL3583018,9,CHEMBL3580522,CHEMBL3580542,8k5n,Q9NZQ7
CHEMBL3582255,Cc1c(COc2ccc(CNCC3CCC(=O)N3)cc2)cccc1-c1ccccc1,IC50,1010.0,nM,6.0,,CHEMBL3583018,9,CHEMBL3580522,CHEMBL3580542,8k5n,Q9NZQ7
CHEMBL3582255,Cc1c(COc2ccc(CNCC3CCC(=O)N3)cc2)cccc1-c1ccccc1,IC50,1010.0,nM,6.0,,CHEMBL3583018,9,CHEMBL3580522,CHEMBL3580542,8k5n,Q9NZQ7
CHEMBL3582254,Cc1c(COc2ccc(CN[C@H](C)C(=O)O)cc2Cl)cccc1-c1ccccc1,IC50,6.0,nM,8.22,,CHEMBL3583018,9,CHEMBL3580522,CHEMBL3580542,8k5n,Q9NZQ7
CHEMBL3582254,Cc1c(COc2ccc(CN[C@H](C)C(=O)O)cc2Cl)cccc1-c1ccccc1,IC50,6.0,nM,8.22,,CHEMBL3583018,9,CHEMBL3580522,CHEMBL3580542,8k5n,Q9NZQ7
CHEMBL3582253,Cc1cc(CN2CCC(C(=O)NCCO)CC2)ccc1OCc1cccc(-c2ccccc2)c1C,IC50,110.0,nM,6.96,,CHEMBL3583018,9,CHEMBL3580522,CHEMBL3580542,8k5n,Q9NZQ7
CHEMBL3582252,COc1cc(OCc2cccc(-c3ccccc3)c2C)cc(OC)c1CN1CCCC[C@H]1C(=O)O,IC50,6.0,nM,8.22,,CHEMBL3583018,9,CHEMBL3580522,CHEMBL3580542,8k5n,Q9NZQ7
CHEMBL3582252,COc1cc(OCc2cccc(-c3ccccc3)c2C)cc(OC)c1CN1CCCC[C@H]1C(=O)O,IC50,6.0,nM,8.22,,CHEMBL3583018,9,CHEMBL3580522,CHEMBL3580542,8k5n,Q9NZQ7
CHEMBL4081869,COc1cc(OCc2cccc(-c3ccccc3)c2C)cc(OC)c1CNCCNC(C)=O,IC50,6.0,nM,8.22,,CHEMBL4017391,9,CHEMBL3580522,CHEMBL4014356,8k5n,Q9NZQ7
CHEMBL4081869,COc1cc(OCc2cccc(-c3ccccc3)c2C)cc(OC)c1CNCCNC(C)=O,IC50,6.0,nM,8.22,,CHEMBL4017391,9,CHEMBL3580522,CHEMBL4014356,8k5n,Q9NZQ7
CHEMBL4081869,COc1cc(OCc2cccc(-c3ccccc3)c2C)cc(OC)c1CNCCNC(C)=O,IC50,6.0,nM,8.22,,CHEMBL4017391,9,CHEMBL3580522,CHEMBL4014356,8k5n,Q9NZQ7
CHEMBL4081869,COc1cc(OCc2cccc(-c3ccccc3)c2C)cc(OC)c1CNCCNC(C)=O,IC50,6.0,nM,8.22,,CHEMBL4017391,9,CHEMBL3580522,CHEMBL4014356,8k5n,Q9NZQ7
CHEMBL4081869,COc1cc(OCc2cccc(-c3ccccc3)c2C)cc(OC)c1CNCCNC(C)=O,IC50,6.0,nM,8.22,,CHEMBL4017391,9,CHEMBL3580522,CHEMBL4014356,8k5n,Q9NZQ7
CHEMBL4099869,Cc1c(COc2ccc(CN3CCCCC3C(=O)O)cc2Br)cccc1-c1ccccc1,IC50,146.0,nM,6.84,,CHEMBL4017391,9,CHEMBL3580522,CHEMBL4014356,8k5n,Q9NZQ7
CHEMBL4099869,Cc1c(COc2ccc(CN3CCCCC3C(=O)O)cc2Br)cccc1-c1ccccc1,IC50,146.0,nM,6.84,,CHEMBL4017391,9,CHEMBL3580522,CHEMBL4014356,8k5n,Q9NZQ7
