molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL80814,COc1ccc(CCN2CCC(C(=O)NO)(S(=O)(=O)c3ccc(OC)cc3)CC2)cc1,IC50,34.0,nM,7.47,,CHEMBL715225,8,CHEMBL321,CHEMBL1145787,8k5w,P14780
CHEMBL276119,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3cccc(OC)c3)CC2)cc1,IC50,9.0,nM,8.05,,CHEMBL715225,8,CHEMBL321,CHEMBL1145787,8k5w,P14780
CHEMBL78934,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc(Cl)c(Cl)c3)CC2)cc1,IC50,20.0,nM,7.7,,CHEMBL715225,8,CHEMBL321,CHEMBL1145787,8k5w,P14780
CHEMBL78369,O=C(NO)C1(S(=O)(=O)c2ccc(OCc3ccccc3)cc2)CCN(Cc2ccccc2)CC1,IC50,3.0,nM,8.52,,CHEMBL715225,8,CHEMBL321,CHEMBL1145787,8k5w,P14780
CHEMBL78369,O=C(NO)C1(S(=O)(=O)c2ccc(OCc3ccccc3)cc2)CCN(Cc2ccccc2)CC1,IC50,3.0,nM,8.52,,CHEMBL715225,8,CHEMBL321,CHEMBL1145787,8k5w,P14780
CHEMBL514138,COc1ccc(S(=O)(=O)N(Cc2cccnc2)[C@@H](C(=O)NO)C(C)C)cc1.Cl,IC50,9.0,nM,8.05,,CHEMBL715225,8,CHEMBL321,CHEMBL1145787,8k5w,P14780
CHEMBL514138,COc1ccc(S(=O)(=O)N(Cc2cccnc2)[C@@H](C(=O)NO)C(C)C)cc1.Cl,IC50,9.0,nM,8.05,,CHEMBL715225,8,CHEMBL321,CHEMBL1145787,8k5w,P14780
CHEMBL514138,COc1ccc(S(=O)(=O)N(Cc2cccnc2)[C@@H](C(=O)NO)C(C)C)cc1.Cl,IC50,9.0,nM,8.05,,CHEMBL715225,8,CHEMBL321,CHEMBL1145787,8k5w,P14780
CHEMBL514138,COc1ccc(S(=O)(=O)N(Cc2cccnc2)[C@@H](C(=O)NO)C(C)C)cc1.Cl,IC50,9.0,nM,8.05,,CHEMBL715225,8,CHEMBL321,CHEMBL1145787,8k5w,P14780
CHEMBL514138,COc1ccc(S(=O)(=O)N(Cc2cccnc2)[C@@H](C(=O)NO)C(C)C)cc1.Cl,IC50,9.0,nM,8.05,,CHEMBL715225,8,CHEMBL321,CHEMBL1145787,8k5w,P14780
CHEMBL514138,COc1ccc(S(=O)(=O)N(Cc2cccnc2)[C@@H](C(=O)NO)C(C)C)cc1.Cl,IC50,9.0,nM,8.05,,CHEMBL715225,8,CHEMBL321,CHEMBL1145787,8k5w,P14780
CHEMBL514138,COc1ccc(S(=O)(=O)N(Cc2cccnc2)[C@@H](C(=O)NO)C(C)C)cc1.Cl,IC50,9.0,nM,8.05,,CHEMBL715225,8,CHEMBL321,CHEMBL1145787,8k5w,P14780
CHEMBL514138,COc1ccc(S(=O)(=O)N(Cc2cccnc2)[C@@H](C(=O)NO)C(C)C)cc1.Cl,IC50,9.0,nM,8.05,,CHEMBL715225,8,CHEMBL321,CHEMBL1145787,8k5w,P14780
CHEMBL514138,COc1ccc(S(=O)(=O)N(Cc2cccnc2)[C@@H](C(=O)NO)C(C)C)cc1.Cl,IC50,9.0,nM,8.05,,CHEMBL715225,8,CHEMBL321,CHEMBL1145787,8k5w,P14780
CHEMBL514138,COc1ccc(S(=O)(=O)N(Cc2cccnc2)[C@@H](C(=O)NO)C(C)C)cc1.Cl,IC50,9.0,nM,8.05,,CHEMBL715225,8,CHEMBL321,CHEMBL1145787,8k5w,P14780
CHEMBL514138,COc1ccc(S(=O)(=O)N(Cc2cccnc2)[C@@H](C(=O)NO)C(C)C)cc1.Cl,IC50,9.0,nM,8.05,,CHEMBL715225,8,CHEMBL321,CHEMBL1145787,8k5w,P14780
CHEMBL514138,COc1ccc(S(=O)(=O)N(Cc2cccnc2)[C@@H](C(=O)NO)C(C)C)cc1.Cl,IC50,9.0,nM,8.05,,CHEMBL715225,8,CHEMBL321,CHEMBL1145787,8k5w,P14780
CHEMBL514138,COc1ccc(S(=O)(=O)N(Cc2cccnc2)[C@@H](C(=O)NO)C(C)C)cc1.Cl,IC50,9.0,nM,8.05,,CHEMBL715225,8,CHEMBL321,CHEMBL1145787,8k5w,P14780
CHEMBL514138,COc1ccc(S(=O)(=O)N(Cc2cccnc2)[C@@H](C(=O)NO)C(C)C)cc1.Cl,IC50,9.0,nM,8.05,,CHEMBL715225,8,CHEMBL321,CHEMBL1145787,8k5w,P14780
CHEMBL514138,COc1ccc(S(=O)(=O)N(Cc2cccnc2)[C@@H](C(=O)NO)C(C)C)cc1.Cl,IC50,9.0,nM,8.05,,CHEMBL715225,8,CHEMBL321,CHEMBL1145787,8k5w,P14780
