molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL2396719,O=C(COc1ccc(-c2oc3cc(O)c(C(=O)O)cc3c2C#Cc2cccc(Cl)c2)cc1)NC1CC1,IC50,13000.0,nM,4.89,,CHEMBL2401194,9,CHEMBL2396509,CHEMBL2396532,8oep,P26045
CHEMBL2396718,CCCNC(=O)COc1ccc(-c2oc3cc(O)c(C(=O)O)cc3c2C#Cc2cccc(Cl)c2)cc1,IC50,1600.0,nM,5.8,,CHEMBL2401194,9,CHEMBL2396509,CHEMBL2396532,8oep,P26045
CHEMBL3319356,Cn1c(-c2cccc(NC(=O)C(=O)Nc3ccc(-c4ccsc4)cc3)c2)c(I)c2cc(C(=O)O)c(O)cc21,IC50,1070.0,nM,5.97,,CHEMBL3369285,9,CHEMBL2396509,CHEMBL3352034,8oep,P26045
CHEMBL3319356,Cn1c(-c2cccc(NC(=O)C(=O)Nc3ccc(-c4ccsc4)cc3)c2)c(I)c2cc(C(=O)O)c(O)cc21,IC50,1070.0,nM,5.97,,CHEMBL3369285,9,CHEMBL2396509,CHEMBL3352034,8oep,P26045
CHEMBL3426913,CCCCC(Oc1cc(O)c(C(=O)O)cc1C#Cc1ccccc1OC(F)(F)F)C(=O)NC1CCCCC1,IC50,13900.0,nM,4.86,,CHEMBL3428556,9,CHEMBL2396509,CHEMBL3425498,8oep,P26045
CHEMBL3978384,COc1cc(CC(=O)NCC(NC(=O)C(CCCNC(=O)c2cccc(I)c2)NC(=O)C(Cc2ccc(C(F)(F)P(=O)(O)O)cc2)NC(=O)c2ccc(C)c(Br)c2)C(N)=O)ccc1O,IC50,10000.0,nM,,403287.0,CHEMBL3888481,8,CHEMBL2396509,CHEMBL3886725,8oep,P26045
CHEMBL5219519,Cc1c(Br)cc(NC(=O)CS(=O)(=O)O)cc1Br,IC50,100000.0,nM,,,CHEMBL5217143,9,CHEMBL2396509,CHEMBL5214960,8oep,P26045
CHEMBL5218807,Cc1c(Br)cc(NC(=O)NS(=O)(=O)O)cc1Br,IC50,10000.0,nM,,,CHEMBL5217143,9,CHEMBL2396509,CHEMBL5214960,8oep,P26045
CHEMBL4794972,Cc1c(Br)cc(NC(=O)C(c2ccccc2)S(=O)(=O)O)cc1Br,IC50,200000.0,nM,,,CHEMBL5217143,9,CHEMBL2396509,CHEMBL5214960,8oep,P26045
CHEMBL3319356,Cn1c(-c2cccc(NC(=O)C(=O)Nc3ccc(-c4ccsc4)cc3)c2)c(I)c2cc(C(=O)O)c(O)cc21,IC50,1070.0,nM,5.97,453460.0,CHEMBL5730443,8,CHEMBL2396509,CHEMBL5725278,8oep,P26045
CHEMBL3319356,Cn1c(-c2cccc(NC(=O)C(=O)Nc3ccc(-c4ccsc4)cc3)c2)c(I)c2cc(C(=O)O)c(O)cc21,IC50,1070.0,nM,5.97,453460.0,CHEMBL5730443,8,CHEMBL2396509,CHEMBL5725278,8oep,P26045
