molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL426,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,IC50,50.0,nM,7.3,,CHEMBL5148453,8,CHEMBL5228,CHEMBL5143713,8of2,Q581W1
CHEMBL1232702,COC(=O)C1CCN(C(=O)c2ccc(N(C)Cc3cnc4nc(N)nc(N)c4n3)cc2)CC1,IC50,50.0,nM,7.3,,CHEMBL5148453,8,CHEMBL5228,CHEMBL5143713,8of2,Q581W1
CHEMBL1232399,COC(=O)C1CCN(C(=O)c2ccc(NCc3cnc4nc(N)nc(N)c4n3)cc2)CC1,IC50,110.0,nM,6.96,,CHEMBL5148453,8,CHEMBL5228,CHEMBL5143713,8of2,Q581W1
CHEMBL2178602,COC(=O)C1CCN(C(=O)c2ccc(N(CCO)Cc3cnc4nc(N)nc(N)c4n3)cc2)CC1,IC50,200.0,nM,6.7,,CHEMBL5148453,8,CHEMBL5228,CHEMBL5143713,8of2,Q581W1
CHEMBL2178600,COC(=O)C1CCN(C(=O)c2ccc(NCc3cnc4nc(N)nc(N)c4n3)cn2)CC1,IC50,550.0,nM,6.26,,CHEMBL5148453,8,CHEMBL5228,CHEMBL5143713,8of2,Q581W1
CHEMBL2178604,Nc1nc(N)c2nc(CNc3ccc(C(=O)N4CCC(C(=O)O)CC4)cc3)cnc2n1,IC50,1720.0,nM,5.76,,CHEMBL5148453,8,CHEMBL5228,CHEMBL5143713,8of2,Q581W1
CHEMBL2178599,NC(=O)C1CCN(C(=O)c2ccc(NCc3cnc4nc(N)nc(N)c4n3)cc2)CC1,IC50,820.0,nM,6.09,,CHEMBL5148453,8,CHEMBL5228,CHEMBL5143713,8of2,Q581W1
CHEMBL5182291,CCOC(=O)C1CCCN1C(=O)c1ccc(NCc2cnc3nc(N)nc(N)c3n2)cc1,IC50,133400.0,nM,,,CHEMBL5148453,8,CHEMBL5228,CHEMBL5143713,8of2,Q581W1
CHEMBL5180552,CCN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N2CCC(C(=O)OC)CC2)cc1,IC50,90.0,nM,7.05,,CHEMBL5148453,8,CHEMBL5228,CHEMBL5143713,8of2,Q581W1
CHEMBL5193564,C#CCN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N2CCC(C(=O)OC)CC2)cc1,IC50,40.0,nM,7.4,,CHEMBL5148453,8,CHEMBL5228,CHEMBL5143713,8of2,Q581W1
CHEMBL5184936,COC(=O)C1CCN(C(=O)c2ccc(N(Cc3ccccc3)Cc3cnc4nc(N)nc(N)c4n3)cc2)CC1,IC50,0.1,nM,10.0,,CHEMBL5148453,8,CHEMBL5228,CHEMBL5143713,8of2,Q581W1
CHEMBL5182125,COC(=O)C1CCN(C(=O)c2ccc(SCc3cnc4nc(N)nc(N)c4n3)nc2)CC1,IC50,1.0,nM,9.0,,CHEMBL5148453,8,CHEMBL5228,CHEMBL5143713,8of2,Q581W1
CHEMBL5171609,COC(=O)C1CCN(C(=O)c2ccc(N(CCCO)Cc3cnc4nc(N)nc(N)c4n3)cc2)CC1,IC50,30.0,nM,7.52,,CHEMBL5148453,8,CHEMBL5228,CHEMBL5143713,8of2,Q581W1
CHEMBL5183748,COC(=O)C1CCN(C(=O)Cc2ccc(NCc3cnc4nc(N)nc(N)c4n3)cc2)CC1,IC50,140.0,nM,6.85,,CHEMBL5148453,8,CHEMBL5228,CHEMBL5143713,8of2,Q581W1
CHEMBL5170968,COC(=O)C1CCN(C(=O)c2cccc(NCc3cnc4nc(N)nc(N)c4n3)c2)CC1,IC50,150.0,nM,6.82,,CHEMBL5148453,8,CHEMBL5228,CHEMBL5143713,8of2,Q581W1
CHEMBL26006,Nc1nc(N)c2nc(CNc3cccc4ccccc34)cnc2n1,IC50,10.0,nM,8.0,,CHEMBL5148453,8,CHEMBL5228,CHEMBL5143713,8of2,Q581W1
CHEMBL5198855,Nc1nc(N)c2nc(C(=O)NCc3ccccc3)cnc2n1,IC50,10.0,nM,8.0,,CHEMBL5148453,8,CHEMBL5228,CHEMBL5143713,8of2,Q581W1
CHEMBL5175397,Nc1nc(N)c2nc(C(=O)NCc3cccc(C(F)(F)F)c3)cnc2n1,IC50,10.0,nM,8.0,,CHEMBL5148453,8,CHEMBL5228,CHEMBL5143713,8of2,Q581W1
CHEMBL5206994,CCOC(=O)C1CCN(C(=O)c2ccc(N(C)Cc3cnc4nc(N)nc(N)c4n3)cc2)CC1,IC50,40.0,nM,7.4,,CHEMBL5148453,8,CHEMBL5228,CHEMBL5143713,8of2,Q581W1
CHEMBL5205559,CCCOC(=O)C1CCN(C(=O)c2ccc(N(C)Cc3cnc4nc(N)nc(N)c4n3)cc2)CC1,IC50,30.0,nM,7.52,,CHEMBL5148453,8,CHEMBL5228,CHEMBL5143713,8of2,Q581W1
CHEMBL5197107,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N2CCCCC2)cc1,IC50,10.0,nM,8.0,,CHEMBL5148453,8,CHEMBL5228,CHEMBL5143713,8of2,Q581W1
CHEMBL5175012,Nc1nc(N)c2nc(CNc3ccc(C(=O)c4ccccc4)cc3)cnc2n1,IC50,1.0,nM,9.0,,CHEMBL5148453,8,CHEMBL5228,CHEMBL5143713,8of2,Q581W1
CHEMBL5204239,Nc1nc(N)c2nc(CNc3ccc(C(=O)NCCc4ccccc4)cc3)cnc2n1,IC50,0.1,nM,10.0,,CHEMBL5148453,8,CHEMBL5228,CHEMBL5143713,8of2,Q581W1
CHEMBL5208403,COc1ccc(CNC(=O)c2ccc(CNCc3cnc4nc(N)nc(N)c4n3)cc2)cc1,IC50,130.0,nM,6.89,,CHEMBL5148453,8,CHEMBL5228,CHEMBL5143713,8of2,Q581W1
