molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL5413155,NC(=O)C[C@H](NC(=O)c1c[nH]nc1-c1ccccc1)c1ccccc1,Kd,16400.0,nM,4.79,,CHEMBL5383577,9,CHEMBL5465521,CHEMBL5380828,8ogb,Q9Y4B6
CHEMBL5418547,NC(=O)C[C@@H](NC(=O)c1c[nH]nc1-c1ccccc1F)c1cccc(Cl)c1,Kd,11500.0,nM,4.94,,CHEMBL5383577,9,CHEMBL5465521,CHEMBL5380828,8ogb,Q9Y4B6
CHEMBL5418547,NC(=O)C[C@@H](NC(=O)c1c[nH]nc1-c1ccccc1F)c1cccc(Cl)c1,Kd,11500.0,nM,4.94,,CHEMBL5383577,9,CHEMBL5465521,CHEMBL5380828,8ogb,Q9Y4B6
CHEMBL5412474,NC(=O)C[C@H](NC(=O)c1c[nH]nc1-c1ccccc1F)c1cccc(Cl)c1,Kd,490.0,nM,6.31,,CHEMBL5383577,9,CHEMBL5465521,CHEMBL5380828,8ogb,Q9Y4B6
CHEMBL5412474,NC(=O)C[C@H](NC(=O)c1c[nH]nc1-c1ccccc1F)c1cccc(Cl)c1,Kd,490.0,nM,6.31,,CHEMBL5383577,9,CHEMBL5465521,CHEMBL5380828,8ogb,Q9Y4B6
CHEMBL5418143,Cn1cc(C(=O)N[C@@H](CC(N)=O)c2cccc(Cl)c2)c(-c2ccccc2)n1,Kd,9900.0,nM,5.0,,CHEMBL5383577,9,CHEMBL5465521,CHEMBL5380828,8ogb,Q9Y4B6
CHEMBL5409506,Cn1ncc(C(=O)N[C@@H](CC(N)=O)c2cccc(Cl)c2)c1-c1ccccc1,Kd,50000.0,nM,,,CHEMBL5383577,9,CHEMBL5465521,CHEMBL5380828,8ogb,Q9Y4B6
CHEMBL5406860,N#CC[C@H](NC(=O)c1c[nH]nc1-c1ccccc1F)c1cccc(Cl)c1,Kd,2890.0,nM,5.54,,CHEMBL5383577,9,CHEMBL5465521,CHEMBL5380828,8ogb,Q9Y4B6
CHEMBL5417676,NC(=O)C[C@H](NC(=O)c1c[nH]nc1-c1ccccc1)c1ccccc1Cl,Kd,21940.0,nM,4.66,,CHEMBL5383577,9,CHEMBL5465521,CHEMBL5380828,8ogb,Q9Y4B6
CHEMBL5398414,NC(=O)C[C@H](NC(=O)c1c[nH]nc1-c1ccccc1)c1cccc(Cl)c1,Kd,4000.0,nM,5.4,,CHEMBL5383577,9,CHEMBL5465521,CHEMBL5380828,8ogb,Q9Y4B6
CHEMBL5399714,Cc1ccc([C@H](CC(N)=O)NC(=O)c2c[nH]nc2-c2ccccc2)cc1,Kd,6800.0,nM,5.17,,CHEMBL5383577,9,CHEMBL5465521,CHEMBL5380828,8ogb,Q9Y4B6
CHEMBL5428241,NC(=O)C[C@H](NC(=O)c1c[nH]nc1-c1ccccc1)c1ccccc1F,Kd,15500.0,nM,4.81,,CHEMBL5383577,9,CHEMBL5465521,CHEMBL5380828,8ogb,Q9Y4B6
CHEMBL5437187,NC(=O)C[C@H](NC(=O)c1c[nH]nc1-c1ccccc1)c1ccc(F)cc1,Kd,16400.0,nM,4.79,,CHEMBL5383577,9,CHEMBL5465521,CHEMBL5380828,8ogb,Q9Y4B6
CHEMBL5413113,NC(=O)C[C@H](NC(=O)c1c[nH]nc1-c1ccccc1Cl)c1ccccc1,Kd,4000.0,nM,5.4,,CHEMBL5383577,9,CHEMBL5465521,CHEMBL5380828,8ogb,Q9Y4B6
CHEMBL5410029,NC(=O)C[C@H](NC(=O)c1c[nH]nc1-c1cccc(Cl)c1)c1ccccc1,Kd,11100.0,nM,4.96,,CHEMBL5383577,9,CHEMBL5465521,CHEMBL5380828,8ogb,Q9Y4B6
CHEMBL5395769,NC(=O)C[C@H](NC(=O)c1c[nH]nc1-c1ccc(Cl)cc1)c1ccccc1,Kd,2890.0,nM,5.54,,CHEMBL5383577,9,CHEMBL5465521,CHEMBL5380828,8ogb,Q9Y4B6
CHEMBL5396812,NC(=O)C[C@H](NC(=O)c1c[nH]nc1-c1ccccc1F)c1ccccc1,Kd,3400.0,nM,5.47,,CHEMBL5383577,9,CHEMBL5465521,CHEMBL5380828,8ogb,Q9Y4B6
CHEMBL5405479,NC(=O)C[C@H](NC(=O)c1c[nH]nc1-c1cccc(F)c1)c1ccccc1,Kd,15700.0,nM,4.8,,CHEMBL5383577,9,CHEMBL5465521,CHEMBL5380828,8ogb,Q9Y4B6
CHEMBL5435870,NC(=O)C[C@H](NC(=O)c1c[nH]nc1-c1ccc(F)cc1)c1ccccc1,Kd,12960.0,nM,4.89,,CHEMBL5383577,9,CHEMBL5465521,CHEMBL5380828,8ogb,Q9Y4B6
CHEMBL5398634,COc1ccc(-c2n[nH]cc2C(=O)N[C@@H](CC(N)=O)c2ccccc2)cc1,Kd,34700.0,nM,4.46,,CHEMBL5383577,9,CHEMBL5465521,CHEMBL5380828,8ogb,Q9Y4B6
CHEMBL5399541,N#Cc1cccc(-c2n[nH]cc2C(=O)N[C@@H](CC(N)=O)c2ccccc2)c1,Kd,24900.0,nM,4.6,,CHEMBL5383577,9,CHEMBL5465521,CHEMBL5380828,8ogb,Q9Y4B6
CHEMBL5435533,NC(=O)C[C@H](NC(=O)c1c[nH]nc1-c1ccc(F)c(Cl)c1)c1ccccc1,Kd,15800.0,nM,4.8,,CHEMBL5383577,9,CHEMBL5465521,CHEMBL5380828,8ogb,Q9Y4B6
CHEMBL5394730,NC(=O)C[C@H](NC(=O)c1c[nH]nc1-c1ccccc1F)c1ccc(F)c(Cl)c1,Kd,170.0,nM,6.77,,CHEMBL5383577,9,CHEMBL5465521,CHEMBL5380828,8ogb,Q9Y4B6
CHEMBL5415393,NC(=O)C[C@H](NC(=O)c1c[nH]nc1-c1ccccc1F)c1ccc(Cl)c(Cl)c1,Kd,200.0,nM,6.7,,CHEMBL5383577,9,CHEMBL5465521,CHEMBL5380828,8ogb,Q9Y4B6
CHEMBL5404025,NC(=O)C[C@H](NC(=O)c1c[nH]nc1-c1ccc(F)cc1F)c1cccc(Cl)c1,Kd,265.0,nM,6.58,,CHEMBL5383577,9,CHEMBL5465521,CHEMBL5380828,8ogb,Q9Y4B6
CHEMBL5413067,NC(=O)C[C@H](NC(=O)c1c[nH]nc1-c1ccc(Cl)cc1F)c1cccc(Cl)c1,Kd,85.0,nM,7.07,,CHEMBL5383577,9,CHEMBL5465521,CHEMBL5380828,8ogb,Q9Y4B6
CHEMBL5407645,NC(=O)C[C@H](NC(=O)c1c[nH]nc1-c1ccc(Cl)cc1F)c1ccc(F)c(Cl)c1,Kd,38.0,nM,7.42,,CHEMBL5383577,9,CHEMBL5465521,CHEMBL5380828,8ogb,Q9Y4B6
CHEMBL5407645,NC(=O)C[C@H](NC(=O)c1c[nH]nc1-c1ccc(Cl)cc1F)c1ccc(F)c(Cl)c1,Kd,38.0,nM,7.42,,CHEMBL5383577,9,CHEMBL5465521,CHEMBL5380828,8ogb,Q9Y4B6
CHEMBL5418547,NC(=O)C[C@@H](NC(=O)c1c[nH]nc1-c1ccccc1F)c1cccc(Cl)c1,Kd,9000.0,nM,5.05,,CHEMBL5383578,9,CHEMBL5465521,CHEMBL5380828,8ogb,Q9Y4B6
CHEMBL5418547,NC(=O)C[C@@H](NC(=O)c1c[nH]nc1-c1ccccc1F)c1cccc(Cl)c1,Kd,9000.0,nM,5.05,,CHEMBL5383578,9,CHEMBL5465521,CHEMBL5380828,8ogb,Q9Y4B6
CHEMBL5412474,NC(=O)C[C@H](NC(=O)c1c[nH]nc1-c1ccccc1F)c1cccc(Cl)c1,Kd,932.0,nM,6.03,,CHEMBL5383578,9,CHEMBL5465521,CHEMBL5380828,8ogb,Q9Y4B6
CHEMBL5412474,NC(=O)C[C@H](NC(=O)c1c[nH]nc1-c1ccccc1F)c1cccc(Cl)c1,Kd,932.0,nM,6.03,,CHEMBL5383578,9,CHEMBL5465521,CHEMBL5380828,8ogb,Q9Y4B6
CHEMBL5407645,NC(=O)C[C@H](NC(=O)c1c[nH]nc1-c1ccc(Cl)cc1F)c1ccc(F)c(Cl)c1,Kd,216.0,nM,6.67,,CHEMBL5383578,9,CHEMBL5465521,CHEMBL5380828,8ogb,Q9Y4B6
CHEMBL5407645,NC(=O)C[C@H](NC(=O)c1c[nH]nc1-c1ccc(Cl)cc1F)c1ccc(F)c(Cl)c1,Kd,216.0,nM,6.67,,CHEMBL5383578,9,CHEMBL5465521,CHEMBL5380828,8ogb,Q9Y4B6
