molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL207660,CCCCCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1ccccc1)C(=O)O)[C@@H](C)O)C(C)C)[C@@H](C)O,Ki,315000.0,nM,,,CHEMBL859725,8,CHEMBL4206,CHEMBL1148514,8ohz,P22141
CHEMBL207660,CCCCCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1ccccc1)C(=O)O)[C@@H](C)O)C(C)C)[C@@H](C)O,Ki,315000.0,nM,,,CHEMBL859725,8,CHEMBL4206,CHEMBL1148514,8ohz,P30656
CHEMBL209258,CCCCCCCCCCCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1ccccc1)C(=O)O)[C@@H](C)O)C(C)C)[C@@H](C)O,Ki,68000.0,nM,4.17,,CHEMBL859725,8,CHEMBL4206,CHEMBL1148514,8ohz,P22141
CHEMBL209258,CCCCCCCCCCCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1ccccc1)C(=O)O)[C@@H](C)O)C(C)C)[C@@H](C)O,Ki,68000.0,nM,4.17,,CHEMBL859725,8,CHEMBL4206,CHEMBL1148514,8ohz,P30656
CHEMBL209275,CCCCCCCCCCCCCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1ccccc1)C(=O)O)[C@@H](C)O)C(C)C)[C@@H](C)O,Ki,80000.0,nM,4.1,,CHEMBL859725,8,CHEMBL4206,CHEMBL1148514,8ohz,P22141
CHEMBL425052,CCCCCCCCCCCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O)[C@@H](C)O)[C@@H](C)CC)[C@@H](C)O,Ki,80000.0,nM,,,CHEMBL859725,8,CHEMBL4206,CHEMBL1148514,8ohz,P22141
CHEMBL425052,CCCCCCCCCCCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O)[C@@H](C)O)[C@@H](C)CC)[C@@H](C)O,Ki,80000.0,nM,,,CHEMBL859725,8,CHEMBL4206,CHEMBL1148514,8ohz,P23724
CHEMBL425052,CCCCCCCCCCCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O)[C@@H](C)O)[C@@H](C)CC)[C@@H](C)O,Ki,80000.0,nM,,,CHEMBL859725,8,CHEMBL4206,CHEMBL1148514,8ohz,P30656
CHEMBL209196,CCCCCCCCCCCCCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O)[C@@H](C)O)[C@@H](C)CC)[C@@H](C)O,Ki,78000.0,nM,4.11,,CHEMBL859725,8,CHEMBL4206,CHEMBL1148514,8ohz,P22141
CHEMBL210871,CCCCCCCCCCCCCCCC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)O,Ki,80000.0,nM,,,CHEMBL859725,8,CHEMBL4206,CHEMBL1148514,8ohz,P22141
