molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL3288322,C[n+]1cc2ccccc2c2ccccc21.[Cl-],IC50,400000.0,nM,,,CHEMBL3295577,9,CHEMBL1843,CHEMBL3286121,8ora,P20711
CHEMBL295124,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,IC50,,,,Not Active,CHEMBL3295577,9,CHEMBL1843,CHEMBL3286121,8ora,P20711
CHEMBL465678,CN1Cc2c(ccc3c2OCO3)-c2ccc3cc4c(cc3c21)OCO4,IC50,,,,Not Active,CHEMBL3295577,9,CHEMBL1843,CHEMBL3286121,8ora,P20711
CHEMBL176008,COc1cc2c[n+](C)c3c4cc5c(cc4ccc3c2cc1OC)OCO5,IC50,1340000.0,nM,,,CHEMBL3295577,9,CHEMBL1843,CHEMBL3286121,8ora,P20711
CHEMBL13045,COc1ccc2c(c[n+](C)c3c4cc5c(cc4ccc23)OCO5)c1OC,IC50,1280000.0,nM,,,CHEMBL3295577,9,CHEMBL1843,CHEMBL3286121,8ora,P20711
CHEMBL490129,C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3.[Cl-],IC50,200000.0,nM,,,CHEMBL3295577,9,CHEMBL1843,CHEMBL3286121,8ora,P20711
CHEMBL3248107,COc1cc2c[n+](C)c3ccccc3c2cc1OC.[Cl-],IC50,3500000.0,nM,,,CHEMBL3295577,9,CHEMBL1843,CHEMBL3286121,8ora,P20711
CHEMBL3288323,COc1cc2c[n+](C)c3ccc(F)cc3c2cc1OC.[Cl-],IC50,2690000.0,nM,,,CHEMBL3295577,9,CHEMBL1843,CHEMBL3286121,8ora,P20711
CHEMBL3288324,COc1cc2c[n+](C)c3ccc(Cl)cc3c2cc1OC.[Cl-],IC50,1390000.0,nM,,,CHEMBL3295577,9,CHEMBL1843,CHEMBL3286121,8ora,P20711
CHEMBL3288325,COc1cc2c[n+](C)c3ccc(C)cc3c2cc1OC.[Cl-],IC50,1490000.0,nM,,,CHEMBL3295577,9,CHEMBL1843,CHEMBL3286121,8ora,P20711
CHEMBL2323153,COc1ccc2c(c1)c1cc(OC)c(OC)cc1c[n+]2C.[Cl-],IC50,1170000.0,nM,,,CHEMBL3295577,9,CHEMBL1843,CHEMBL3286121,8ora,P20711
CHEMBL3288326,COc1ccc2c(c1)c[n+](C)c1ccccc21.[Cl-],IC50,950000.0,nM,,,CHEMBL3295577,9,CHEMBL1843,CHEMBL3286121,8ora,P20711
CHEMBL3288327,COc1ccc2c(c1)c[n+](C)c1ccc(F)cc21.[Cl-],IC50,570000.0,nM,,,CHEMBL3295577,9,CHEMBL1843,CHEMBL3286121,8ora,P20711
CHEMBL3288328,COc1ccc2c(c1)c[n+](C)c1ccc(Cl)cc21.[Cl-],IC50,930000.0,nM,,,CHEMBL3295577,9,CHEMBL1843,CHEMBL3286121,8ora,P20711
CHEMBL3288329,COc1ccc2c(c1)c[n+](C)c1ccc(C)cc21.[Cl-],IC50,600000.0,nM,,,CHEMBL3295577,9,CHEMBL1843,CHEMBL3286121,8ora,P20711
CHEMBL2323151,COc1ccc2c(c1)c[n+](C)c1ccc(OC)cc21.[Cl-],IC50,190000.0,nM,,,CHEMBL3295577,9,CHEMBL1843,CHEMBL3286121,8ora,P20711
CHEMBL2323160,COc1ccc2c(c1)c[n+](C)c1ccc(O)cc21.[Cl-],IC50,120000.0,nM,,,CHEMBL3295577,9,CHEMBL1843,CHEMBL3286121,8ora,P20711
CHEMBL5653589,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2nn(C)cc12,Kd,1524.08,nM,5.82,,CHEMBL5651251,9,CHEMBL1843,CHEMBL5649169,8ora,P20711
CHEMBL3752910,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2c1cnn2C,Kd,40.88,nM,7.39,,CHEMBL5651251,9,CHEMBL1843,CHEMBL5649169,8ora,P20711
