molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL217926,O=C(Nc1ccccc1)C1CC(=O)N(C2CCCCC2)C1,IC50,10660.0,nM,4.97,,CHEMBL907779,9,CHEMBL1849,CHEMBL1137386,8otn,P9WGR1
CHEMBL217926,O=C(Nc1ccccc1)C1CC(=O)N(C2CCCCC2)C1,IC50,10660.0,nM,4.97,,CHEMBL907779,9,CHEMBL1849,CHEMBL1137386,8otn,P9WGR1
CHEMBL216547,O=C(Nc1ccccc1Br)C1CC(=O)N(C2CCCCC2)C1,IC50,100000.0,nM,,,CHEMBL907779,9,CHEMBL1849,CHEMBL1137386,8otn,P9WGR1
CHEMBL213720,O=C(Nc1ccc2c(c1)OCCO2)C1CC(=O)N(C2CCCCC2)C1,IC50,100000.0,nM,,,CHEMBL907779,9,CHEMBL1849,CHEMBL1137386,8otn,P9WGR1
CHEMBL217274,Cc1cccc(C)c1NC(=O)C1CC(=O)N(C2CCCCC2)C1,IC50,100000.0,nM,,,CHEMBL907779,9,CHEMBL1849,CHEMBL1137386,8otn,P9WGR1
CHEMBL217773,O=C(Nc1ccc(Oc2ccccc2)cc1)C1CC(=O)N(C2CCCCC2)C1,IC50,100000.0,nM,,,CHEMBL907779,9,CHEMBL1849,CHEMBL1137386,8otn,P9WGR1
CHEMBL217273,CCOc1ccc(NC(=O)C2CC(=O)N(C3CCCCC3)C2)cc1,IC50,100000.0,nM,,,CHEMBL907779,9,CHEMBL1849,CHEMBL1137386,8otn,P9WGR1
CHEMBL216781,CC(=O)Nc1cccc(NC(=O)C2CC(=O)N(C3CCCCC3)C2)c1,IC50,75000.0,nM,,,CHEMBL907779,9,CHEMBL1849,CHEMBL1137386,8otn,P9WGR1
CHEMBL265016,O=C(Nc1ccc(Cl)cc1)C1CC(=O)N(C2CCCCC2)C1,IC50,100000.0,nM,,,CHEMBL907779,9,CHEMBL1849,CHEMBL1137386,8otn,P9WGR1
CHEMBL217524,O=C(Nc1ccc(F)c(Cl)c1)C1CC(=O)N(C2CCCCC2)C1,IC50,14830.0,nM,4.83,,CHEMBL907779,9,CHEMBL1849,CHEMBL1137386,8otn,P9WGR1
CHEMBL384149,COc1ccc(Cl)cc1NC(=O)C1CC(=O)N(C2CCCCC2)C1,IC50,1600.0,nM,5.8,,CHEMBL907779,9,CHEMBL1849,CHEMBL1137386,8otn,P9WGR1
CHEMBL216339,O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)C1CC(=O)N(C2CCCCC2)C1,IC50,3670.0,nM,5.43,,CHEMBL907779,9,CHEMBL1849,CHEMBL1137386,8otn,P9WGR1
CHEMBL216704,COc1cc(NC(=O)C2CC(=O)N(C3CCCCC3)C2)cc(C(F)(F)F)c1,IC50,1300.0,nM,5.89,,CHEMBL907779,9,CHEMBL1849,CHEMBL1137386,8otn,P9WGR1
CHEMBL386324,O=C(Nc1cc(Br)cc(C(F)(F)F)c1)C1CC(=O)N(C2CCCCC2)C1,IC50,850.0,nM,6.07,,CHEMBL907779,9,CHEMBL1849,CHEMBL1137386,8otn,P9WGR1
CHEMBL216807,O=C(Nc1cc(Cl)cc(Cl)c1)C1CC(=O)N(C2CCCCC2)C1,IC50,390.0,nM,6.41,,CHEMBL907779,9,CHEMBL1849,CHEMBL1137386,8otn,P9WGR1
CHEMBL216807,O=C(Nc1cc(Cl)cc(Cl)c1)C1CC(=O)N(C2CCCCC2)C1,IC50,390.0,nM,6.41,,CHEMBL907779,9,CHEMBL1849,CHEMBL1137386,8otn,P9WGR1
CHEMBL216807,O=C(Nc1cc(Cl)cc(Cl)c1)C1CC(=O)N(C2CCCCC2)C1,IC50,390.0,nM,6.41,,CHEMBL907779,9,CHEMBL1849,CHEMBL1137386,8otn,P9WGR1
CHEMBL216807,O=C(Nc1cc(Cl)cc(Cl)c1)C1CC(=O)N(C2CCCCC2)C1,IC50,390.0,nM,6.41,,CHEMBL907779,9,CHEMBL1849,CHEMBL1137386,8otn,P9WGR1
CHEMBL385294,O=C(Nc1cc(F)cc(F)c1)C1CC(=O)N(C2CCCCC2)C1,IC50,1490.0,nM,5.83,,CHEMBL907779,9,CHEMBL1849,CHEMBL1137386,8otn,P9WGR1
CHEMBL217617,Cc1cc([N+](=O)[O-])ccc1NC(=O)C1CC(=O)N(C2CCCCC2)C1,IC50,31370.0,nM,4.5,,CHEMBL907779,9,CHEMBL1849,CHEMBL1137386,8otn,P9WGR1
CHEMBL444361,Cc1c(Cl)cccc1NC(=O)C1CC(=O)N(C2CCCCC2)C1,IC50,23120.0,nM,4.64,,CHEMBL907779,9,CHEMBL1849,CHEMBL1137386,8otn,P9WGR1
CHEMBL444361,Cc1c(Cl)cccc1NC(=O)C1CC(=O)N(C2CCCCC2)C1,IC50,23120.0,nM,4.64,,CHEMBL907779,9,CHEMBL1849,CHEMBL1137386,8otn,P9WGR1
CHEMBL387186,Cc1cc(C)cc(NC(=O)C2CC(=O)N(C3CCCCC3)C2)c1,IC50,3140.0,nM,5.5,,CHEMBL907779,9,CHEMBL1849,CHEMBL1137386,8otn,P9WGR1
CHEMBL216887,Cc1ccc(C)c(NC(=O)C2CC(=O)N(C3CCCCC3)C2)c1,IC50,10050.0,nM,5.0,,CHEMBL907779,9,CHEMBL1849,CHEMBL1137386,8otn,P9WGR1
CHEMBL216748,Cc1cc(NC(=O)C2CC(=O)N(C3CCCCC3)C2)ccc1Br,IC50,37410.0,nM,4.43,,CHEMBL907779,9,CHEMBL1849,CHEMBL1137386,8otn,P9WGR1
CHEMBL425259,Cc1ccc(Cl)cc1NC(=O)C1CC(=O)N(C2CCCCC2)C1,IC50,970.0,nM,6.01,,CHEMBL907779,9,CHEMBL1849,CHEMBL1137386,8otn,P9WGR1
CHEMBL425259,Cc1ccc(Cl)cc1NC(=O)C1CC(=O)N(C2CCCCC2)C1,IC50,970.0,nM,6.01,,CHEMBL907779,9,CHEMBL1849,CHEMBL1137386,8otn,P9WGR1
