molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL109480,C=CCNC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,IC50,8700.0,nM,5.06,,CHEMBL828486,8,CHEMBL3536,CHEMBL1140247,8oxu,P02829
CHEMBL109480,C=CCNC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,IC50,8700.0,nM,5.06,,CHEMBL828486,8,CHEMBL3536,CHEMBL1140247,8oxu,P02829
CHEMBL109480,C=CCNC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,IC50,6600.0,nM,5.18,,CHEMBL828486,8,CHEMBL3536,CHEMBL1140247,8oxu,P02829
CHEMBL109480,C=CCNC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,IC50,6600.0,nM,5.18,,CHEMBL828486,8,CHEMBL3536,CHEMBL1140247,8oxu,P02829
CHEMBL399530,CCc1cc(-c2[nH]nc(C)c2-c2ccc3c(c2)OCCO3)c(O)cc1O,IC50,8900.0,nM,5.05,,CHEMBL828486,8,CHEMBL3536,CHEMBL1140247,8oxu,P02829
CHEMBL399530,CCc1cc(-c2[nH]nc(C)c2-c2ccc3c(c2)OCCO3)c(O)cc1O,IC50,8900.0,nM,5.05,,CHEMBL828486,8,CHEMBL3536,CHEMBL1140247,8oxu,P02829
CHEMBL399530,CCc1cc(-c2[nH]nc(C)c2-c2ccc3c(c2)OCCO3)c(O)cc1O,IC50,8900.0,nM,5.05,,CHEMBL828486,8,CHEMBL3536,CHEMBL1140247,8oxu,P02829
CHEMBL399530,CCc1cc(-c2[nH]nc(C)c2-c2ccc3c(c2)OCCO3)c(O)cc1O,IC50,7100.0,nM,5.15,,CHEMBL828486,8,CHEMBL3536,CHEMBL1140247,8oxu,P02829
CHEMBL399530,CCc1cc(-c2[nH]nc(C)c2-c2ccc3c(c2)OCCO3)c(O)cc1O,IC50,7100.0,nM,5.15,,CHEMBL828486,8,CHEMBL3536,CHEMBL1140247,8oxu,P02829
CHEMBL399530,CCc1cc(-c2[nH]nc(C)c2-c2ccc3c(c2)OCCO3)c(O)cc1O,IC50,7100.0,nM,5.15,,CHEMBL828486,8,CHEMBL3536,CHEMBL1140247,8oxu,P02829
CHEMBL190919,CCC(C)c1cc(-c2[nH]nc(C)c2-c2ccc3c(c2)OCCO3)c(O)cc1O,IC50,46100.0,nM,4.34,,CHEMBL828486,8,CHEMBL3536,CHEMBL1140247,8oxu,P02829
CHEMBL188773,Cc1n[nH]c(-c2cc(Cl)c(O)cc2O)c1-c1ccc(OCCCC#N)cc1,IC50,1000.0,nM,,,CHEMBL828486,8,CHEMBL3536,CHEMBL1140247,8oxu,P02829
CHEMBL191074,Cc1[nH]nc(-c2cc(Cl)c(O)cc2O)c1-c1ccc2c(c1)OCCO2,IC50,1000.0,nM,,,CHEMBL828486,8,CHEMBL3536,CHEMBL1140247,8oxu,P02829
CHEMBL191074,Cc1[nH]nc(-c2cc(Cl)c(O)cc2O)c1-c1ccc2c(c1)OCCO2,IC50,1000.0,nM,,,CHEMBL828486,8,CHEMBL3536,CHEMBL1140247,8oxu,P02829
CHEMBL364882,Cc1n[nH]c(-c2cc(Cl)c(O)cc2O)c1-c1ccccc1,IC50,1650.0,nM,5.78,,CHEMBL828486,8,CHEMBL3536,CHEMBL1140247,8oxu,P02829
CHEMBL278315,COC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,IC50,4800.0,nM,5.32,,CHEMBL828486,8,CHEMBL3536,CHEMBL1140247,8oxu,P02829
CHEMBL278315,COC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,IC50,4800.0,nM,5.32,,CHEMBL828486,8,CHEMBL3536,CHEMBL1140247,8oxu,P02829
CHEMBL278315,COC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,IC50,4800.0,nM,5.32,,CHEMBL828486,8,CHEMBL3536,CHEMBL1140247,8oxu,P02829
CHEMBL278315,COC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,IC50,4800.0,nM,5.32,,CHEMBL828486,8,CHEMBL3536,CHEMBL1140247,8oxu,P02829
CHEMBL278315,COC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,IC50,4800.0,nM,5.32,,CHEMBL828486,8,CHEMBL3536,CHEMBL1140247,8oxu,P02829
CHEMBL278315,COC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,IC50,4800.0,nM,5.32,,CHEMBL828486,8,CHEMBL3536,CHEMBL1140247,8oxu,P02829
CHEMBL278315,COC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,IC50,4800.0,nM,5.32,,CHEMBL828486,8,CHEMBL3536,CHEMBL1140247,8oxu,P02829
CHEMBL278315,COC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,IC50,4800.0,nM,5.32,,CHEMBL828486,8,CHEMBL3536,CHEMBL1140247,8oxu,P02829
CHEMBL188495,N#CCCCOc1cccc(-c2cn[nH]c2-c2cc(Cl)c(O)cc2O)c1,IC50,2400.0,nM,5.62,,CHEMBL828486,8,CHEMBL3536,CHEMBL1140247,8oxu,P02829
CHEMBL187408,N#CCCCOc1ccc(-c2cn[nH]c2-c2cc(Cl)c(O)cc2O)cc1,IC50,1000.0,nM,,,CHEMBL828486,8,CHEMBL3536,CHEMBL1140247,8oxu,P02829
CHEMBL191228,Oc1cc(O)c(-c2[nH]ncc2-c2ccc3c(c2)OCCO3)cc1Cl,IC50,1600.0,nM,5.8,,CHEMBL828486,8,CHEMBL3536,CHEMBL1140247,8oxu,P02829
CHEMBL362576,COc1ccc(-c2cn(C)nc2-c2cc(Cl)c(O)cc2O)cc1OC,IC50,100000.0,nM,,,CHEMBL828486,8,CHEMBL3536,CHEMBL1140247,8oxu,P02829
