molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL4559828,Clc1ccc(CC2(COc3cccnc3)CCNCC2)cc1Cl,IC50,105.6,nM,6.98,,CHEMBL4383378,9,CHEMBL6084,CHEMBL4382203,8p11,P58154
CHEMBL4559828,Clc1ccc(CC2(COc3cccnc3)CCNCC2)cc1Cl,IC50,105.6,nM,6.98,,CHEMBL4383378,9,CHEMBL6084,CHEMBL4382203,8p11,P58154
CHEMBL5202162,CCCC[C@@H]1NC(=O)[C@H](CO)NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](CCCC)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)[C@@H](C)O)CSSC[C@@H]2NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@@H]3CSSC[C@@H](C(=O)N4CCC[C@H]4C(=O)NCC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@H](CSSC[C@H](NC(=O)[C@H](CO)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(N)=O)C(=O)NCC(=O)N3)NC(=O)CNC(=O)[C@H](Cc1cnc[nH]1)NC(=O)CNC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc1c[nH]c3ccccc13)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](C(C)C)NC2=O,IC50,20000.0,nM,4.7,,CHEMBL5107630,9,CHEMBL6084,CHEMBL5104215,8p11,P58154
CHEMBL5176133,CCCC[C@@H]1N[C@@H](CO)C(=O)NCC(=O)N[C@H]2CSSC[C@@H]3NC(=O)[C@H](C(C)C)NC(=O)[C@H](Cc4ccc(O)cc4)NC(=O)[C@H](Cc4cnc[nH]4)NC(=O)[C@H](Cc4c[nH]c5ccccc45)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)CNC(=O)[C@H](Cc4cnc[nH]4)NC(=O)CNC(=O)[C@@H]4CSSC[C@H](NC(=O)[C@@H]5CCCN5C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)[C@H](CSSC[C@H](NC(=O)[C@@H]5CCCN5C(=O)CN)C(=O)N[C@@H](CO)C(=O)N4)NC(=O)[C@H]([C@@H](C)O)NC3=O)C(=O)N[C@@H](CSSC[C@@H](C(=O)O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCCNC(=N)N)N[C@@H](CCCC)C(=O)NC2=O)C(=O)NC1=O,IC50,10000.0,nM,5.0,,CHEMBL5107630,9,CHEMBL6084,CHEMBL5104215,8p11,P58154
CHEMBL5170487,CC[C@H](C)[C@@H]1NC(=O)[C@H](CC(N)=O)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)CNC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CSSC[C@H](N)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CO)C(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H](C(=O)O)CSSC[C@@H](C(=O)O)NC(=O)[C@H]([C@@H](C)CC)NC1=O,IC50,,,,ND,CHEMBL5107630,9,CHEMBL6084,CHEMBL5104215,8p11,P58154
CHEMBL5180704,CC[C@H](C)[C@@H]1NC(=O)[C@H](CC(N)=O)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)CNC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CSSC[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](N)CC(=O)O)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CO)C(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H](C(=O)O)CSSC[C@@H](C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)O)NC(=O)[C@H]([C@@H](C)CC)NC1=O,IC50,,,,ND,CHEMBL5107630,9,CHEMBL6084,CHEMBL5104215,8p11,P58154
CHEMBL510519,CC(C)C[C@@H]1NC(=O)[C@H](C)NC(=O)[C@@H]2CSSC[C@H](NC(=O)CN)C(=O)N[C@@H](CSSC[C@@H](C(=O)O)NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H]3CCCN3C(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N2,Ki,43.0,nM,7.37,,CHEMBL966982,9,CHEMBL6084,CHEMBL1140075,8p11,P58154
CHEMBL443173,CC(C)C[C@@H]1NC(=O)[C@H](C)NC(=O)[C@@H]2CSSC[C@H](NC(=O)CN)C(=O)N[C@@H](CSSC[C@@H](C(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H]3CCCN3C(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N2,Ki,3100.0,nM,5.51,,CHEMBL966982,9,CHEMBL6084,CHEMBL1140075,8p11,P58154
CHEMBL500367,CC(C)C[C@@H]1NC(=O)[C@H](C)NC(=O)[C@@H]2CSSC[C@H](NC(=O)CN)C(=O)N[C@@H](CSSC[C@@H](C(=O)O)NC(=O)[C@@H]3CCCN3C(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N2,Ki,4600.0,nM,5.34,,CHEMBL966982,9,CHEMBL6084,CHEMBL1140075,8p11,P58154
CHEMBL460988,CC(C)C[C@@H]1NC(=O)[C@H](C)NC(=O)[C@@H]2CSSC[C@H](NC(=O)CN)C(=O)N[C@@H](CSSC[C@@H](C(=O)O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N2,Ki,4500.0,nM,5.35,,CHEMBL966982,9,CHEMBL6084,CHEMBL1140075,8p11,P58154
