molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL1140,NC(=O)c1cccnc1,IC50,43800.0,nM,4.36,,CHEMBL4422579,9,CHEMBL4523350,CHEMBL4421736,8p2l,Q6SZW1
CHEMBL2004241,Br.CN(C)c1n/c(=N/Cc2ccco2)ss1,IC50,150.0,nM,,,CHEMBL4422580,9,CHEMBL4523350,CHEMBL4421736,8p2l,Q6SZW1
CHEMBL1201863,Cc1c(OCC(F)(F)F)ccnc1C[S@@+]([O-])c1nc2ccccc2[nH]1,IC50,3500.0,nM,5.46,,CHEMBL4422590,9,CHEMBL4523350,CHEMBL4421736,8p2l,Q6SZW1
CHEMBL1201863,Cc1c(OCC(F)(F)F)ccnc1C[S@@+]([O-])c1nc2ccccc2[nH]1,IC50,3500.0,nM,5.46,,CHEMBL4422590,9,CHEMBL4523350,CHEMBL4421736,8p2l,Q6SZW1
CHEMBL4458111,Cc1cnc(C[S@@+]([O-])c2nc3ccccc3[nH]2)c(C)c1OCC(F)(F)F,IC50,21400.0,nM,4.67,,CHEMBL4422590,9,CHEMBL4523350,CHEMBL4421736,8p2l,Q6SZW1
CHEMBL4458111,Cc1cnc(C[S@@+]([O-])c2nc3ccccc3[nH]2)c(C)c1OCC(F)(F)F,IC50,21400.0,nM,4.67,,CHEMBL4422590,9,CHEMBL4523350,CHEMBL4421736,8p2l,Q6SZW1
CHEMBL1219,COCCCOc1ccnc(C[S+]([O-])c2nc3ccccc3[nH]2)c1C,IC50,3300.0,nM,5.48,,CHEMBL4422590,9,CHEMBL4523350,CHEMBL4421736,8p2l,Q6SZW1
CHEMBL1219,COCCCOc1ccnc(C[S+]([O-])c2nc3ccccc3[nH]2)c1C,IC50,3300.0,nM,5.48,,CHEMBL4422590,9,CHEMBL4523350,CHEMBL4421736,8p2l,Q6SZW1
CHEMBL1475252,COc1ccc2[nH]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2n1,IC50,7400.0,nM,5.13,,CHEMBL4422590,9,CHEMBL4523350,CHEMBL4421736,8p2l,Q6SZW1
CHEMBL1475252,COc1ccc2[nH]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2n1,IC50,7400.0,nM,5.13,,CHEMBL4422590,9,CHEMBL4523350,CHEMBL4421736,8p2l,Q6SZW1
CHEMBL2009370,CN(C)c1n/c(=N/Cc2ccco2)ss1,IC50,150.0,nM,6.82,,CHEMBL4422590,9,CHEMBL4523350,CHEMBL4421736,8p2l,Q6SZW1
CHEMBL2009483,CN(C)c1n/c(=N/c2cccc(Cl)c2)ss1,IC50,700.0,nM,6.16,,CHEMBL4422590,9,CHEMBL4523350,CHEMBL4421736,8p2l,Q6SZW1
CHEMBL1201863,Cc1c(OCC(F)(F)F)ccnc1C[S@@+]([O-])c1nc2ccccc2[nH]1,IC50,3300.0,nM,5.48,,CHEMBL4422591,9,CHEMBL4523350,CHEMBL4421736,8p2l,Q6SZW1
CHEMBL1201863,Cc1c(OCC(F)(F)F)ccnc1C[S@@+]([O-])c1nc2ccccc2[nH]1,IC50,3300.0,nM,5.48,,CHEMBL4422591,9,CHEMBL4523350,CHEMBL4421736,8p2l,Q6SZW1
CHEMBL4458111,Cc1cnc(C[S@@+]([O-])c2nc3ccccc3[nH]2)c(C)c1OCC(F)(F)F,IC50,28300.0,nM,4.55,,CHEMBL4422591,9,CHEMBL4523350,CHEMBL4421736,8p2l,Q6SZW1
CHEMBL4458111,Cc1cnc(C[S@@+]([O-])c2nc3ccccc3[nH]2)c(C)c1OCC(F)(F)F,IC50,28300.0,nM,4.55,,CHEMBL4422591,9,CHEMBL4523350,CHEMBL4421736,8p2l,Q6SZW1
CHEMBL1219,COCCCOc1ccnc(C[S+]([O-])c2nc3ccccc3[nH]2)c1C,IC50,3200.0,nM,5.5,,CHEMBL4422591,9,CHEMBL4523350,CHEMBL4421736,8p2l,Q6SZW1
CHEMBL1219,COCCCOc1ccnc(C[S+]([O-])c2nc3ccccc3[nH]2)c1C,IC50,3200.0,nM,5.5,,CHEMBL4422591,9,CHEMBL4523350,CHEMBL4421736,8p2l,Q6SZW1
CHEMBL1475252,COc1ccc2[nH]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2n1,IC50,8700.0,nM,5.06,,CHEMBL4422591,9,CHEMBL4523350,CHEMBL4421736,8p2l,Q6SZW1
CHEMBL1475252,COc1ccc2[nH]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2n1,IC50,8700.0,nM,5.06,,CHEMBL4422591,9,CHEMBL4523350,CHEMBL4421736,8p2l,Q6SZW1
CHEMBL12089,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2.[Cl-],IC50,140000.0,nM,,,CHEMBL4729679,9,CHEMBL4523350,CHEMBL4725376,8p2l,Q6SZW1
CHEMBL12089,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2.[Cl-],IC50,140000.0,nM,,,CHEMBL4729679,9,CHEMBL4523350,CHEMBL4725376,8p2l,Q6SZW1
CHEMBL12089,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2.[Cl-],IC50,140000.0,nM,,,CHEMBL4729679,9,CHEMBL4523350,CHEMBL4725376,8p2l,Q6SZW1
