molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL3143238,COc1cccc(C(=O)N[C@@H]2[C@H](O)[C@@H](CO)O[C@H]2n2cnc3c(NCc4ccccc4)ncnc32)c1,IC50,530000.0,nM,,,CHEMBL684215,8,CHEMBL2284,CHEMBL1131193,8p5f,P04406
CHEMBL404779,CCCCCNc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,IC50,,nM,,Not Active,CHEMBL681386,8,CHEMBL2284,CHEMBL1131193,8p5f,P04406
CHEMBL605702,CCCC(C)Nc1ncnc2c1ncn2C1O[C@H](CO)[C@@H](O)[C@H]1O,IC50,,nM,,Not Active,CHEMBL681386,8,CHEMBL2284,CHEMBL1131193,8p5f,P04406
CHEMBL605488,CC(C)(C)Nc1ncnc2c1ncn2C1O[C@H](CO)[C@@H](O)[C@H]1O,IC50,,nM,,Not Active,CHEMBL681386,8,CHEMBL2284,CHEMBL1131193,8p5f,P04406
CHEMBL3143237,COc1cccc(C(=O)N[C@@H]2[C@H](O)[C@@H](CO)O[C@H]2n2cnc3c(NCc4ccccc4C)ncnc32)c1,IC50,270000.0,nM,,,CHEMBL684215,8,CHEMBL2284,CHEMBL1131193,8p5f,P04406
CHEMBL3143242,COc1cccc(C(=O)N[C@@H]2[C@H](O)[C@@H](CO)O[C@H]2n2cnc3c(NCc4ccccc4OC)ncnc32)c1,IC50,,nM,,Not Determined,CHEMBL684216,8,CHEMBL2284,CHEMBL1131193,8p5f,P04406
CHEMBL3143240,COc1cccc(C(=O)N[C@@H]2[C@H](O)[C@@H](CO)O[C@H]2n2cnc3c(NCc4cc(C)ccc4C)ncnc32)c1,IC50,,nM,,Not Determined,CHEMBL684216,8,CHEMBL2284,CHEMBL1131193,8p5f,P04406
CHEMBL260167,CC(C)Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,IC50,,nM,,Not Active,CHEMBL681384,8,CHEMBL2284,CHEMBL1131193,8p5f,P04406
CHEMBL3143239,COc1cccc(C(=O)N[C@@H]2[C@H](O)[C@@H](CO)O[C@H]2n2cnc3c(NCc4cccc(C)c4C)ncnc32)c1,IC50,,nM,,Not Determined,CHEMBL684216,8,CHEMBL2284,CHEMBL1131193,8p5f,P04406
CHEMBL2347288,Cc1nc(N)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1,IC50,10000.0,nM,,,CHEMBL684096,8,CHEMBL2284,CHEMBL1127859,8p5f,P04406
CHEMBL3142962,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1NC(=O)c1ccccc1,IC50,10000.0,nM,,,CHEMBL684096,8,CHEMBL2284,CHEMBL1127859,8p5f,P04406
CHEMBL3142963,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1NC(=O)c1cccs1,IC50,10000.0,nM,,,CHEMBL684096,8,CHEMBL2284,CHEMBL1127859,8p5f,P04406
CHEMBL477,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,IC50,35000.0,nM,4.46,,CHEMBL684096,8,CHEMBL2284,CHEMBL1127859,8p5f,P04406
CHEMBL477,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,IC50,35000.0,nM,4.46,,CHEMBL684096,8,CHEMBL2284,CHEMBL1127859,8p5f,P04406
