molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL3605057,O=C(NCCCNc1nc(Nc2cccc(CN3CCOCC3)c2)ncc1C1CC1)C1CCC1,IC50,170.0,nM,6.77,,CHEMBL3606871,9,CHEMBL6006,CHEMBL3603808,8p5j,O75385
CHEMBL3605057,O=C(NCCCNc1nc(Nc2cccc(CN3CCOCC3)c2)ncc1C1CC1)C1CCC1,IC50,170.0,nM,6.77,,CHEMBL3606871,9,CHEMBL6006,CHEMBL3603808,8p5j,O75385
CHEMBL3605057,O=C(NCCCNc1nc(Nc2cccc(CN3CCOCC3)c2)ncc1C1CC1)C1CCC1,IC50,170.0,nM,6.77,,CHEMBL3606871,9,CHEMBL6006,CHEMBL3603808,8p5j,O75385
CHEMBL3605057,O=C(NCCCNc1nc(Nc2cccc(CN3CCOCC3)c2)ncc1C1CC1)C1CCC1,IC50,170.0,nM,6.77,,CHEMBL3606871,9,CHEMBL6006,CHEMBL3603808,8p5j,O75385
CHEMBL3605057,O=C(NCCCNc1nc(Nc2cccc(CN3CCOCC3)c2)ncc1C1CC1)C1CCC1,IC50,170.0,nM,6.77,,CHEMBL3606871,9,CHEMBL6006,CHEMBL3603808,8p5j,O75385
CHEMBL3605056,NCCCNc1nc(Nc2cccc(NC(=O)N3CCCC3)c2)ncc1I,IC50,120.0,nM,6.92,,CHEMBL3606871,9,CHEMBL6006,CHEMBL3603808,8p5j,O75385
CHEMBL3603853,O=C(NCCCNc1nc(Nc2cccc(NC(=O)N3CCCC3)c2)ncc1I)C1CC1,IC50,67.0,nM,7.17,,CHEMBL3606871,9,CHEMBL6006,CHEMBL3603808,8p5j,O75385
CHEMBL577784,O=C(NCCCNc1nc(Nc2cccc(NC(=O)N3CCCC3)c2)ncc1I)c1cccs1,IC50,87.0,nM,7.06,,CHEMBL3606871,9,CHEMBL6006,CHEMBL3603808,8p5j,O75385
CHEMBL3605055,c1ccc2c(Nc3cc(C4CCC4)[nH]n3)nc(Nc3ccc4[nH]cnc4c3)nc2c1,IC50,5.3,nM,8.28,,CHEMBL3606871,9,CHEMBL6006,CHEMBL3603808,8p5j,O75385
CHEMBL3605055,c1ccc2c(Nc3cc(C4CCC4)[nH]n3)nc(Nc3ccc4[nH]cnc4c3)nc2c1,IC50,5.3,nM,8.28,,CHEMBL3606871,9,CHEMBL6006,CHEMBL3603808,8p5j,O75385
CHEMBL3605055,c1ccc2c(Nc3cc(C4CCC4)[nH]n3)nc(Nc3ccc4[nH]cnc4c3)nc2c1,IC50,5.3,nM,8.28,,CHEMBL3606871,9,CHEMBL6006,CHEMBL3603808,8p5j,O75385
CHEMBL3605055,c1ccc2c(Nc3cc(C4CCC4)[nH]n3)nc(Nc3ccc4[nH]cnc4c3)nc2c1,IC50,5.3,nM,8.28,,CHEMBL3606871,9,CHEMBL6006,CHEMBL3603808,8p5j,O75385
CHEMBL3605055,c1ccc2c(Nc3cc(C4CCC4)[nH]n3)nc(Nc3ccc4[nH]cnc4c3)nc2c1,IC50,5.3,nM,8.28,,CHEMBL3606871,9,CHEMBL6006,CHEMBL3603808,8p5j,O75385
CHEMBL3745885,Cn1c(=O)c(S(=O)(=O)c2ccc(F)cc2F)cc2cnc(Nc3ccc4[nH]ccc4c3)nc21,IC50,10000.0,nM,,,CHEMBL3750199,9,CHEMBL6006,CHEMBL3745707,8p5j,O75385
CHEMBL4083249,C[C@@H](c1ccc(F)cc1)n1nnc2cnc3ccc(-c4ccc5ocnc5c4)cc3c21,IC50,10000.0,nM,,,CHEMBL4014124,9,CHEMBL6006,CHEMBL4011657,8p5j,O75385
CHEMBL3605055,c1ccc2c(Nc3cc(C4CCC4)[nH]n3)nc(Nc3ccc4[nH]cnc4c3)nc2c1,IC50,8.0,nM,8.1,,CHEMBL4121191,9,CHEMBL6006,CHEMBL4118108,8p5j,O75385
CHEMBL3605055,c1ccc2c(Nc3cc(C4CCC4)[nH]n3)nc(Nc3ccc4[nH]cnc4c3)nc2c1,IC50,8.0,nM,8.1,,CHEMBL4121191,9,CHEMBL6006,CHEMBL4118108,8p5j,O75385
CHEMBL3605055,c1ccc2c(Nc3cc(C4CCC4)[nH]n3)nc(Nc3ccc4[nH]cnc4c3)nc2c1,IC50,8.0,nM,8.1,,CHEMBL4121191,9,CHEMBL6006,CHEMBL4118108,8p5j,O75385
CHEMBL3605055,c1ccc2c(Nc3cc(C4CCC4)[nH]n3)nc(Nc3ccc4[nH]cnc4c3)nc2c1,IC50,8.0,nM,8.1,,CHEMBL4121191,9,CHEMBL6006,CHEMBL4118108,8p5j,O75385
CHEMBL3605055,c1ccc2c(Nc3cc(C4CCC4)[nH]n3)nc(Nc3ccc4[nH]cnc4c3)nc2c1,IC50,8.0,nM,8.1,,CHEMBL4121191,9,CHEMBL6006,CHEMBL4118108,8p5j,O75385
CHEMBL4128069,CNC(=O)c1ccccc1Oc1nc(Nc2cc(OC)c(OC)c(OC)c2)ncc1Br,IC50,108.0,nM,6.97,,CHEMBL4121192,9,CHEMBL6006,CHEMBL4118108,8p5j,O75385
CHEMBL4128069,CNC(=O)c1ccccc1Oc1nc(Nc2cc(OC)c(OC)c(OC)c2)ncc1Br,IC50,108.0,nM,6.97,,CHEMBL4121192,9,CHEMBL6006,CHEMBL4118108,8p5j,O75385
CHEMBL4128069,CNC(=O)c1ccccc1Oc1nc(Nc2cc(OC)c(OC)c(OC)c2)ncc1Br,IC50,108.0,nM,6.97,,CHEMBL4121192,9,CHEMBL6006,CHEMBL4118108,8p5j,O75385
