molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL1934757,Nc1nc2c(ncn2[C@@H]2O[C@H](COC(=O)NCCc3c[nH]c4ccccc34)[C@@H](O)[C@H]2O)c(=O)[nH]1,IC50,25500.0,nM,4.59,,CHEMBL4432902,9,CHEMBL5878,CHEMBL4431377,8pa6,P49773
CHEMBL1934757,Nc1nc2c(ncn2[C@@H]2O[C@H](COC(=O)NCCc3c[nH]c4ccccc34)[C@@H](O)[C@H]2O)c(=O)[nH]1,IC50,25500.0,nM,4.59,,CHEMBL4432902,9,CHEMBL5878,CHEMBL4431377,8pa6,P49773
CHEMBL1934757,Nc1nc2c(ncn2[C@@H]2O[C@H](COC(=O)NCCc3c[nH]c4ccccc34)[C@@H](O)[C@H]2O)c(=O)[nH]1,IC50,25500.0,nM,4.59,,CHEMBL4432902,9,CHEMBL5878,CHEMBL4431377,8pa6,P49773
CHEMBL1934757,Nc1nc2c(ncn2[C@@H]2O[C@H](COC(=O)NCCc3c[nH]c4ccccc34)[C@@H](O)[C@H]2O)c(=O)[nH]1,IC50,25500.0,nM,4.59,,CHEMBL4432902,9,CHEMBL5878,CHEMBL4431377,8pa6,P49773
CHEMBL1934757,Nc1nc2c(ncn2[C@@H]2O[C@H](COC(=O)NCCc3c[nH]c4ccccc34)[C@@H](O)[C@H]2O)c(=O)[nH]1,IC50,25500.0,nM,4.59,,CHEMBL4432902,9,CHEMBL5878,CHEMBL4431377,8pa6,P49773
CHEMBL3140272,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CNS(=O)(=O)NC(=O)CCCC[C@@H]2SC[C@@H]3NC(=O)N[C@@H]32)[C@@H](O)[C@H]1O,IC50,1000.0,nM,6.0,,CHEMBL4432902,9,CHEMBL5878,CHEMBL4431377,8pa6,P49773
CHEMBL3140272,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CNS(=O)(=O)NC(=O)CCCC[C@@H]2SC[C@@H]3NC(=O)N[C@@H]32)[C@@H](O)[C@H]1O,IC50,1000.0,nM,6.0,,CHEMBL4432902,9,CHEMBL5878,CHEMBL4431377,8pa6,P49773
CHEMBL3140272,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CNS(=O)(=O)NC(=O)CCCC[C@@H]2SC[C@@H]3NC(=O)N[C@@H]32)[C@@H](O)[C@H]1O,IC50,1000.0,nM,6.0,,CHEMBL4432902,9,CHEMBL5878,CHEMBL4431377,8pa6,P49773
CHEMBL3140272,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CNS(=O)(=O)NC(=O)CCCC[C@@H]2SC[C@@H]3NC(=O)N[C@@H]32)[C@@H](O)[C@H]1O,IC50,25500.0,nM,4.59,,CHEMBL4476967,9,CHEMBL5878,CHEMBL4476871,8pa6,P49773
CHEMBL3140272,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CNS(=O)(=O)NC(=O)CCCC[C@@H]2SC[C@@H]3NC(=O)N[C@@H]32)[C@@H](O)[C@H]1O,IC50,25500.0,nM,4.59,,CHEMBL4476967,9,CHEMBL5878,CHEMBL4476871,8pa6,P49773
CHEMBL3140272,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CNS(=O)(=O)NC(=O)CCCC[C@@H]2SC[C@@H]3NC(=O)N[C@@H]32)[C@@H](O)[C@H]1O,IC50,25500.0,nM,4.59,,CHEMBL4476967,9,CHEMBL5878,CHEMBL4476871,8pa6,P49773
CHEMBL1934757,Nc1nc2c(ncn2[C@@H]2O[C@H](COC(=O)NCCc3c[nH]c4ccccc34)[C@@H](O)[C@H]2O)c(=O)[nH]1,IC50,1000.0,nM,6.0,,CHEMBL4476967,9,CHEMBL5878,CHEMBL4476871,8pa6,P49773
CHEMBL1934757,Nc1nc2c(ncn2[C@@H]2O[C@H](COC(=O)NCCc3c[nH]c4ccccc34)[C@@H](O)[C@H]2O)c(=O)[nH]1,IC50,1000.0,nM,6.0,,CHEMBL4476967,9,CHEMBL5878,CHEMBL4476871,8pa6,P49773
CHEMBL1934757,Nc1nc2c(ncn2[C@@H]2O[C@H](COC(=O)NCCc3c[nH]c4ccccc34)[C@@H](O)[C@H]2O)c(=O)[nH]1,IC50,1000.0,nM,6.0,,CHEMBL4476967,9,CHEMBL5878,CHEMBL4476871,8pa6,P49773
CHEMBL1934757,Nc1nc2c(ncn2[C@@H]2O[C@H](COC(=O)NCCc3c[nH]c4ccccc34)[C@@H](O)[C@H]2O)c(=O)[nH]1,IC50,1000.0,nM,6.0,,CHEMBL4476967,9,CHEMBL5878,CHEMBL4476871,8pa6,P49773
CHEMBL1934757,Nc1nc2c(ncn2[C@@H]2O[C@H](COC(=O)NCCc3c[nH]c4ccccc34)[C@@H](O)[C@H]2O)c(=O)[nH]1,IC50,1000.0,nM,6.0,,CHEMBL4476967,9,CHEMBL5878,CHEMBL4476871,8pa6,P49773
CHEMBL1934752,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COC(=O)CCc2c[nH]c3ccccc23)[C@@H](O)[C@H]1O,Ki,400000.0,nM,,,CHEMBL1936048,9,CHEMBL5878,CHEMBL1933064,8pa6,P49773
